,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
TSGHoffenheim_5709,28.0,18.0,8.0,1.0,4.0,5.0,3.0,40.0,17.0,7.0,3.0,27.0,4.0,16.0,220.0,57.72727272727273
TSGHoffenheim_5731,43.0,15.5,9.0,3.0,3.5,6.0,2.5,48.5,18.0,5.0,2.5,25.5,6.0,26.5,357.5,65.63131313131314
TSGHoffenheim_5741,40.333333333333336,15.333333333333334,9.333333333333334,3.6666666666666665,4.0,5.666666666666667,2.3333333333333335,44.0,17.0,4.333333333333333,1.6666666666666667,23.0,6.333333333333333,24.666666666666668,333.0,65.58519466970172
TSGHoffenheim_5751,41.5,14.5,9.75,3.75,3.75,5.75,2.5,45.25,19.75,4.5,2.25,22.25,6.5,26.25,335.0,65.391242043332
TSGHoffenheim_5771,42.6,16.4,10.2,3.6,4.0,4.8,2.8,45.8,19.2,4.4,2.6,24.0,6.8,26.0,331.0,66.5987079203799
TSGHoffenheim_5786,44.0,15.5,9.666666666666666,3.3333333333333335,4.0,4.166666666666667,2.5,41.0,17.166666666666668,5.166666666666667,2.5,24.333333333333332,7.166666666666667,24.166666666666668,373.8333333333333,70.3515309767338
TSGHoffenheim_5807,42.857142857142854,14.714285714285714,10.857142857142858,3.7142857142857144,4.285714285714286,4.714285714285714,2.4285714285714284,38.57142857142857,16.428571428571427,5.142857142857143,3.0,26.285714285714285,7.285714285714286,24.428571428571427,363.85714285714283,69.88777843118537
TSGHoffenheim_5821,43.25,15.125,11.25,3.875,4.625,4.5,2.25,38.125,15.875,4.75,2.875,26.25,6.875,22.875,366.25,70.64919516122976
TSGHoffenheim_5863,42.77777777777778,15.222222222222221,10.555555555555555,3.7777777777777777,4.333333333333333,4.222222222222222,2.2222222222222223,38.77777777777778,15.88888888888889,5.0,2.5555555555555554,27.0,7.111111111111111,23.444444444444443,359.55555555555554,69.68817347664867
TSGHoffenheim_5878,44.8,15.4,10.7,3.5,5.0,4.6,2.1,39.6,15.5,4.8,2.8,25.8,8.2,25.2,382.6,70.91935612898381
TSGHoffenheim_5891,45.09090909090909,14.727272727272727,10.636363636363637,3.5454545454545454,5.090909090909091,4.7272727272727275,2.0,37.81818181818182,15.0,4.7272727272727275,2.8181818181818183,26.272727272727273,9.181818181818182,25.0,387.3636363636364,71.56305102634892
TSGHoffenheim_5902,45.583333333333336,14.25,10.75,3.75,5.166666666666667,4.916666666666667,2.0,36.333333333333336,14.75,4.5,2.75,26.083333333333332,9.166666666666666,24.75,394.0,72.34946344081983
TSGHoffenheim_5912,44.76923076923077,13.76923076923077,10.615384615384615,3.5384615384615383,5.384615384615385,4.769230769230769,1.9230769230769231,35.23076923076923,14.384615384615385,4.846153846153846,2.8461538461538463,26.76923076923077,10.076923076923077,24.76923076923077,390.9230769230769,72.24565856075677
TSGHoffenheim_5934,45.42857142857143,13.571428571428571,10.928571428571429,3.642857142857143,5.428571428571429,4.714285714285714,1.9285714285714286,34.57142857142857,13.928571428571429,4.5,2.9285714285714284,26.928571428571427,10.071428571428571,24.142857142857142,403.42857142857144,73.22811152070271
TSGHoffenheim_5947,45.8,13.333333333333334,11.333333333333334,3.8666666666666667,5.533333333333333,4.6,1.9333333333333333,33.93333333333333,13.8,4.266666666666667,2.933333333333333,26.466666666666665,9.933333333333334,23.6,411.46666666666664,74.07957075265587
TSGHoffenheim_5961,46.25,13.5625,11.125,3.9375,5.375,4.4375,2.0,34.1875,14.0,4.4375,2.875,26.25,9.8125,24.25,409.375,73.63709758061488
TSGHoffenheim_5975,46.1764705882353,13.647058823529411,11.294117647058824,3.9411764705882355,5.352941176470588,4.588235294117647,1.9411764705882353,33.11764705882353,13.647058823529411,4.470588235294118,3.0,27.058823529411764,9.823529411764707,23.647058823529413,413.88235294117646,74.18785654646106
