,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
VfBStuttgart_5703,54.0,13.0,28.0,8.0,9.0,13.0,3.0,50.0,25.0,2.0,11.0,17.0,15.0,29.0,396.0,76.76767676767676
VfBStuttgart_5716,52.5,16.0,21.5,6.0,7.0,9.5,3.0,31.0,14.5,1.5,8.5,10.0,8.0,18.0,214.5,59.59595959595959
VfBStuttgart_5738,52.333333333333336,14.333333333333334,23.0,7.0,9.666666666666666,8.333333333333334,3.0,37.333333333333336,17.0,2.6666666666666665,6.333333333333333,19.666666666666668,8.666666666666666,23.0,284.6666666666667,64.20122796593385
VfBStuttgart_5744,52.0,14.5,22.75,6.75,9.25,9.25,3.25,42.75,21.0,2.5,6.75,23.25,9.0,24.5,312.75,66.03505195681814
VfBStuttgart_5766,51.2,15.2,20.6,6.2,8.4,8.6,3.6,49.8,23.4,3.2,6.0,24.0,9.6,27.6,319.8,65.70160478384531
VfBStuttgart_5780,52.166666666666664,16.166666666666668,20.166666666666668,5.666666666666667,8.666666666666666,8.333333333333334,3.5,54.333333333333336,24.666666666666668,3.5,5.833333333333333,22.166666666666668,10.333333333333334,26.5,331.1666666666667,66.41800398653776
VfBStuttgart_5800,52.857142857142854,15.0,19.857142857142858,5.571428571428571,8.714285714285714,8.0,3.2857142857142856,54.142857142857146,23.571428571428573,3.2857142857142856,5.571428571428571,22.428571428571427,10.0,27.714285714285715,363.0,68.06948046705816
VfBStuttgart_5815,53.25,15.375,18.875,5.375,8.125,7.5,3.125,52.375,23.0,3.0,5.375,24.0,10.25,27.25,376.0,69.41090247505704
VfBStuttgart_5828,50.888888888888886,14.444444444444445,17.77777777777778,5.444444444444445,7.444444444444445,6.777777777777778,3.111111111111111,49.333333333333336,21.444444444444443,3.3333333333333335,4.888888888888889,24.22222222222222,9.444444444444445,26.555555555555557,360.3333333333333,69.02718517877412
VfBStuttgart_5870,50.5,14.2,18.4,6.0,7.5,7.1,2.9,49.6,22.1,3.4,4.9,24.2,10.3,26.2,360.3,69.0244666608967
VfBStuttgart_5884,50.36363636363637,14.0,18.09090909090909,6.0,7.2727272727272725,7.363636363636363,2.909090909090909,48.09090909090909,21.636363636363637,3.3636363636363638,4.818181818181818,23.727272727272727,10.272727272727273,27.181818181818183,370.0,70.022242418997
VfBStuttgart_5898,50.833333333333336,14.333333333333334,17.916666666666668,5.833333333333333,7.666666666666667,8.166666666666666,2.75,46.916666666666664,21.583333333333332,3.5833333333333335,4.75,23.583333333333332,10.833333333333334,26.916666666666668,383.0833333333333,70.93705555074725
VfBStuttgart_5905,49.92307692307692,14.538461538461538,18.0,6.3076923076923075,7.615384615384615,8.384615384615385,2.6153846153846154,44.46153846153846,20.53846153846154,3.5384615384615383,4.6923076923076925,24.0,10.692307692307692,26.153846153846153,377.6923076923077,71.32651281607438
VfBStuttgart_5920,50.214285714285715,14.642857142857142,17.714285714285715,6.214285714285714,7.714285714285714,7.928571428571429,2.642857142857143,45.642857142857146,20.857142857142858,3.7857142857142856,4.357142857142857,24.642857142857142,10.571428571428571,26.071428571428573,383.7857142857143,71.37461904349765
VfBStuttgart_5940,48.733333333333334,14.2,16.933333333333334,6.0,7.4,7.866666666666666,2.533333333333333,45.333333333333336,20.933333333333334,3.7333333333333334,4.266666666666667,25.2,10.4,25.466666666666665,372.2,70.5496444405978
VfBStuttgart_5954,48.625,14.5,16.375,5.6875,7.3125,7.5625,2.375,44.5,20.625,3.875,4.25,26.875,10.1875,25.5,378.25,71.01529166306044
VfBStuttgart_5968,48.705882352941174,14.294117647058824,15.882352941176471,5.529411764705882,7.117647058823529,7.470588235294118,2.411764705882353,43.88235294117647,20.11764705882353,4.117647058823529,4.0588235294117645,27.352941176470587,10.176470588235293,25.58823529411765,378.94117647058823,71.07321568288042
