,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Palermo_5717,38.0,15.0,5.0,1.0,0.0,0.0,4.0,36.0,13.0,7.0,4.0,24.0,12.0,28.0,328.0,70.73170731707317
Palermo_5737,41.0,11.5,9.0,2.0,3.5,1.5,3.0,33.0,13.0,6.0,3.5,33.5,11.0,26.0,348.0,73.13759278897138
Palermo_5745,45.0,14.333333333333334,9.666666666666666,2.3333333333333335,5.0,1.3333333333333333,3.6666666666666665,28.0,12.333333333333334,4.333333333333333,2.3333333333333335,29.0,9.0,24.333333333333332,374.6666666666667,78.27552914903389
Palermo_5766,45.25,14.5,9.5,2.75,4.0,2.5,3.5,31.25,14.25,4.75,2.5,30.0,9.25,24.25,383.0,77.88556843040286
Palermo_5776,42.8,12.4,9.2,2.4,4.2,2.4,3.5,30.4,13.4,5.0,2.6,29.8,10.6,23.0,383.8,77.70845474432228
Palermo_5801,41.833333333333336,13.333333333333334,9.833333333333334,3.3333333333333335,3.8333333333333335,2.3333333333333335,3.4166666666666665,31.0,13.333333333333334,4.5,2.6666666666666665,30.5,9.833333333333334,22.666666666666668,373.1666666666667,75.4341289536019
Palermo_5815,43.285714285714285,14.285714285714286,10.857142857142858,3.4285714285714284,4.857142857142857,3.0,3.357142857142857,31.428571428571427,14.142857142857142,4.0,2.5714285714285716,30.142857142857142,9.571428571428571,22.142857142857142,385.0,76.1239902309069
Palermo_5829,42.875,15.625,10.875,3.625,5.0,3.0,3.4375,29.625,13.125,4.0,2.25,29.0,10.125,22.125,377.25,76.05121591024788
Palermo_5850,42.666666666666664,16.666666666666668,10.666666666666666,3.4444444444444446,4.888888888888889,3.0,3.5,28.88888888888889,13.11111111111111,4.333333333333333,2.3333333333333335,28.444444444444443,9.555555555555555,21.11111111111111,369.55555555555554,75.71219192022033
Palermo_5870,43.4,16.3,9.8,3.2,4.7,3.1,3.45,30.6,14.2,4.333333333333334,2.2,28.1,9.3,21.7,374.7,74.8409727281983
Palermo_5878,42.72727272727273,16.90909090909091,9.545454545454545,3.090909090909091,5.090909090909091,3.090909090909091,3.227272727272727,30.0,13.909090909090908,4.303030303030304,2.272727272727273,27.454545454545453,8.909090909090908,21.818181818181817,366.8181818181818,74.12815702563482
Palermo_5892,42.416666666666664,16.333333333333332,9.083333333333334,2.9166666666666665,4.833333333333333,3.0833333333333335,3.0416666666666665,29.25,13.416666666666666,3.9444444444444446,2.25,27.333333333333332,8.75,21.416666666666668,369.6666666666667,74.61747727349858
Palermo_5906,42.15384615384615,16.0,9.076923076923077,2.923076923076923,4.923076923076923,3.230769230769231,2.8846153846153846,28.615384615384617,13.153846153846153,3.794871794871795,2.1538461538461537,27.076923076923077,9.076923076923077,22.23076923076923,367.3076923076923,74.569979021691
Palermo_5919,42.57142857142857,16.142857142857142,9.357142857142858,2.857142857142857,4.928571428571429,3.4285714285714284,2.8214285714285716,28.428571428571427,12.928571428571429,3.738095238095238,2.4285714285714284,27.142857142857142,9.571428571428571,22.142857142857142,367.85714285714283,74.6721233772845
Palermo_5934,43.13333333333333,16.133333333333333,9.666666666666666,2.933333333333333,5.133333333333334,3.3333333333333335,2.8333333333333335,28.133333333333333,13.066666666666666,3.555555555555556,2.4,25.866666666666667,10.6,22.6,373.06666666666666,75.36064848546555
Palermo_5948,42.9375,16.25,9.6875,3.0,5.0,3.4375,2.84375,27.3125,12.4375,3.4583333333333335,2.4375,26.5,10.4375,23.0,370.75,75.52560795512395
Palermo_5955,43.11764705882353,16.41176470588235,9.529411764705882,2.9411764705882355,4.882352941176471,3.4705882352941178,2.8529411764705883,28.0,12.647058823529411,3.431372549019608,2.411764705882353,25.941176470588236,10.470588235294118,23.176470588235293,367.70588235294116,75.25939572246959
Palermo_5969,42.77777777777778,16.61111111111111,9.222222222222221,2.7777777777777777,4.777777777777778,3.3333333333333335,2.9166666666666665,27.333333333333332,12.38888888888889,3.4629629629629632,2.3333333333333335,25.77777777777778,10.222222222222221,23.055555555555557,360.5,74.80054040455462
