,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Sampdoria_5717,42.0,8.0,9.0,4.0,4.0,1.0,2.0,12.0,3.0,5.0,1.0,17.0,12.0,21.0,441.0,78.91156462585035
Sampdoria_5738,45.5,9.0,11.0,5.0,4.0,4.0,2.5,11.5,4.0,6.0,3.0,20.0,10.5,18.0,448.0,81.65358451072737
Sampdoria_5746,47.666666666666664,11.0,10.0,4.666666666666667,3.6666666666666665,4.0,2.6666666666666665,14.666666666666666,6.0,5.0,2.3333333333333335,24.0,10.666666666666666,18.333333333333332,435.0,80.02659505279135
Sampdoria_5766,51.25,12.25,12.25,4.0,5.75,6.0,3.0,18.0,9.0,4.5,3.25,24.5,11.0,19.0,439.0,80.6407888616556
Sampdoria_5781,51.2,11.8,11.8,3.8,5.4,5.4,2.8,18.0,8.2,3.8,3.2,23.0,9.6,19.0,446.8,79.24066456212782
Sampdoria_5801,52.833333333333336,12.166666666666666,11.5,3.1666666666666665,5.5,4.666666666666667,2.5,18.5,8.5,3.6666666666666665,3.3333333333333335,22.0,9.166666666666666,19.166666666666668,464.1666666666667,79.19178187194863
Sampdoria_5807,52.42857142857143,12.428571428571429,11.285714285714286,3.0,5.142857142857143,4.285714285714286,2.4285714285714284,17.571428571428573,8.428571428571429,4.0,3.5714285714285716,22.428571428571427,9.0,19.285714285714285,458.7142857142857,79.01213764745161
Sampdoria_5823,51.25,12.75,10.875,3.125,5.125,3.75,2.625,18.625,8.75,3.625,3.25,22.375,8.75,20.875,451.0,78.39254739366122
Sampdoria_5845,50.0,13.11111111111111,10.88888888888889,3.3333333333333335,5.0,3.888888888888889,2.4444444444444446,18.22222222222222,8.666666666666666,4.111111111111111,3.111111111111111,23.77777777777778,8.555555555555555,20.22222222222222,438.0,78.01559768325441
Sampdoria_5857,51.6,13.3,11.0,3.4,5.0,3.9,2.3,19.4,9.8,4.0,3.1,24.3,9.2,20.0,450.6,78.31403791492897
Sampdoria_5871,52.09090909090909,13.363636363636363,11.272727272727273,3.6363636363636362,5.181818181818182,3.909090909090909,2.5454545454545454,19.818181818181817,9.909090909090908,3.8181818181818183,2.909090909090909,24.545454545454547,9.454545454545455,20.09090909090909,457.27272727272725,78.83094355902634
Sampdoria_5878,51.416666666666664,13.25,11.25,3.6666666666666665,5.166666666666667,4.0,2.5833333333333335,20.5,10.166666666666666,3.6666666666666665,2.8333333333333335,24.416666666666668,9.583333333333334,20.333333333333332,456.75,79.01169826244082
Sampdoria_5891,51.76923076923077,13.076923076923077,11.846153846153847,3.6153846153846154,5.538461538461538,4.230769230769231,2.5384615384615383,21.307692307692307,10.384615384615385,3.3846153846153846,3.076923076923077,24.153846153846153,10.538461538461538,19.846153846153847,457.84615384615387,79.16464454994538
Sampdoria_5905,51.92857142857143,13.142857142857142,11.642857142857142,3.7142857142857144,5.428571428571429,4.214285714285714,2.5714285714285716,21.285714285714285,10.357142857142858,3.4285714285714284,2.9285714285714284,23.714285714285715,10.5,19.357142857142858,460.7857142857143,79.51002708209214
Sampdoria_5912,51.13333333333333,13.333333333333334,11.8,3.933333333333333,5.533333333333333,4.066666666666666,2.6,20.866666666666667,10.2,3.466666666666667,2.8666666666666667,24.0,11.066666666666666,19.066666666666666,453.93333333333334,79.20935860995266
Sampdoria_5934,50.75,13.6875,11.5625,3.9375,5.3125,4.0,2.625,20.625,10.1875,3.6875,2.8125,24.0625,10.875,18.8125,447.25,79.00877369683062
Sampdoria_5951,49.588235294117645,13.705882352941176,11.117647058823529,3.823529411764706,5.117647058823529,3.8823529411764706,2.764705882352941,20.764705882352942,10.058823529411764,3.9411764705882355,2.6470588235294117,24.0,10.823529411764707,19.0,435.6470588235294,77.65531642054646
Sampdoria_5962,50.166666666666664,14.222222222222221,10.944444444444445,3.8333333333333335,4.944444444444445,3.9444444444444446,2.9444444444444446,20.61111111111111,9.88888888888889,3.8333333333333335,2.611111111111111,24.333333333333332,10.555555555555555,18.88888888888889,441.55555555555554,77.95224328607166
Sampdoria_5975,49.473684210526315,13.68421052631579,10.736842105263158,3.6842105263157894,4.842105263157895,3.8421052631578947,2.8421052631578947,19.842105263157894,9.368421052631579,4.0,2.6315789473684212,24.31578947368421,10.789473684210526,18.473684210526315,434.3157894736842,77.90212521838367
