,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Sassuolo_5716,49.0,11.0,9.0,2.0,5.0,5.0,1.0,23.0,12.0,2.0,2.0,29.0,6.0,12.0,423.0,85.57919621749409
Sassuolo_5738,43.5,13.0,10.5,3.0,3.5,4.5,2.0,21.5,12.5,3.5,4.0,29.5,7.0,17.0,359.0,79.39976760027247
Sassuolo_5741,46.333333333333336,13.666666666666666,11.333333333333334,3.3333333333333335,4.666666666666667,4.666666666666667,3.3333333333333335,21.333333333333332,12.666666666666666,3.0,3.3333333333333335,31.333333333333332,6.666666666666667,18.333333333333332,388.3333333333333,80.5245281391824
Sassuolo_5752,45.5,16.5,10.25,2.75,4.25,4.0,3.25,22.0,13.25,3.0,3.25,31.75,6.75,19.25,383.75,79.17717988817057
Sassuolo_5773,45.0,15.8,9.0,2.6,3.6,3.6,3.2,24.8,13.2,3.0,2.8,33.6,6.4,20.4,383.6,77.91093451105864
Sassuolo_5780,45.833333333333336,15.166666666666666,8.5,2.5,3.6666666666666665,3.1666666666666665,3.0,28.666666666666668,14.5,2.8333333333333335,2.3333333333333335,32.333333333333336,6.166666666666667,20.666666666666668,388.3333333333333,77.10215416374628
Sassuolo_5801,47.0,15.571428571428571,8.571428571428571,2.7142857142857144,3.2857142857142856,3.5714285714285716,2.5714285714285716,29.571428571428573,14.571428571428571,2.5714285714285716,2.5714285714285716,30.571428571428573,6.428571428571429,21.857142857142858,395.2857142857143,77.03885198343993
Sassuolo_5815,46.5,15.875,9.5,3.625,3.375,3.875,2.625,28.375,14.125,2.375,2.5,28.75,6.25,21.375,392.625,76.46648211652598
Sassuolo_5829,47.333333333333336,15.666666666666666,10.222222222222221,3.7777777777777777,4.0,4.333333333333333,2.4444444444444446,28.11111111111111,13.555555555555555,2.6666666666666665,2.4444444444444446,27.666666666666668,6.222222222222222,21.88888888888889,401.6666666666667,76.1980544270667
Sassuolo_5850,46.7,16.0,10.6,4.0,4.0,4.6,2.5,28.9,14.6,3.0,2.7,27.4,7.1,21.6,394.0,75.77824898436003
Sassuolo_5856,45.54545454545455,16.181818181818183,10.454545454545455,3.909090909090909,3.909090909090909,4.636363636363637,2.3636363636363638,28.636363636363637,14.272727272727273,3.0,2.727272727272727,27.727272727272727,7.454545454545454,22.0,389.72727272727275,75.34386271305458
Sassuolo_5870,46.25,16.25,10.333333333333334,3.6666666666666665,4.0,4.666666666666667,2.5,28.333333333333332,14.25,3.0833333333333335,2.75,27.666666666666668,7.25,22.583333333333332,395.5,75.56520748696668
Sassuolo_5884,47.15384615384615,16.076923076923077,10.76923076923077,3.5384615384615383,4.3076923076923075,4.846153846153846,2.4615384615384617,28.846153846153847,14.307692307692308,3.076923076923077,3.0,26.615384615384617,7.538461538461538,22.76923076923077,399.15384615384613,75.75249921873848
Sassuolo_5900,46.42857142857143,16.357142857142858,10.428571428571429,3.7142857142857144,4.0,4.714285714285714,2.4285714285714284,29.428571428571427,14.142857142857142,3.0714285714285716,2.7857142857142856,27.5,7.642857142857143,23.214285714285715,391.35714285714283,74.41303498882858
Sassuolo_5911,46.53333333333333,16.266666666666666,10.066666666666666,3.6,3.933333333333333,4.533333333333333,2.466666666666667,29.066666666666666,14.133333333333333,3.2666666666666666,2.7333333333333334,28.4,7.6,24.133333333333333,392.4,74.58549932290667
Sassuolo_5933,46.9375,16.4375,10.0,3.8125,3.75,4.5625,2.5,28.6875,14.1875,3.0625,2.625,27.625,7.4375,23.75,400.0,74.98640561522501
Sassuolo_5948,47.05882352941177,16.294117647058822,9.941176470588236,3.6470588235294117,3.823529411764706,4.647058823529412,2.5294117647058822,28.11764705882353,13.823529411764707,3.0,2.6470588235294117,27.764705882352942,7.588235294117647,23.823529411764707,399.47058823529414,75.10485234374119
Sassuolo_5955,47.166666666666664,15.777777777777779,10.055555555555555,3.6666666666666665,3.8333333333333335,4.611111111111111,2.4444444444444446,27.944444444444443,13.5,2.9444444444444446,2.7222222222222223,27.72222222222222,7.333333333333333,23.833333333333332,401.6666666666667,75.37680499131112
Sassuolo_5969,47.68421052631579,16.0,10.631578947368421,3.736842105263158,4.052631578947368,4.7894736842105265,2.526315789473684,27.94736842105263,13.526315789473685,3.0,3.0,27.36842105263158,7.2631578947368425,23.57894736842105,403.2105263157895,75.67276262334738
