,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Udinese_5710,35.0,22.0,6.0,2.0,3.0,2.0,3.0,50.0,20.0,5.0,1.0,21.0,6.0,22.0,276.0,68.1159420289855
Udinese_5731,38.0,17.5,8.0,3.0,3.0,3.0,2.0,39.0,17.0,5.5,2.0,19.5,6.5,21.5,310.5,69.13043478260869
Udinese_5745,41.333333333333336,16.0,9.333333333333334,3.0,4.0,3.3333333333333335,2.3333333333333335,36.666666666666664,16.666666666666668,4.333333333333333,2.3333333333333335,22.333333333333332,7.0,24.666666666666668,341.6666666666667,70.17936576266322
Udinese_5766,45.5,14.75,10.75,3.5,4.75,4.5,2.25,35.75,16.75,3.5,2.5,25.0,6.25,23.25,382.25,73.31904813152123
Udinese_5776,43.6,13.8,9.6,3.2,4.4,4.4,2.4,35.6,16.2,3.8,2.2,25.8,6.2,24.4,370.0,73.60850953325436
Udinese_5787,43.166666666666664,13.166666666666666,9.333333333333334,3.0,4.5,4.5,2.5,34.833333333333336,15.833333333333334,3.8333333333333335,2.0,25.833333333333332,7.166666666666667,23.166666666666668,368.0,73.21193299093358
Udinese_5808,44.42857142857143,13.714285714285714,10.0,3.2857142857142856,4.714285714285714,4.714285714285714,2.4285714285714284,35.0,16.142857142857142,3.857142857142857,2.142857142857143,25.142857142857142,8.285714285714286,22.857142857142858,375.7142857142857,73.7889689685321
Udinese_5815,44.5,13.75,9.75,2.875,4.875,4.25,2.75,34.5,16.0,3.625,2.125,24.625,8.375,23.625,383.125,74.22052026125868
Udinese_5829,45.0,14.0,10.0,3.2222222222222223,4.888888888888889,4.555555555555555,2.7777777777777777,34.77777777777778,16.0,3.3333333333333335,2.0,24.11111111111111,8.666666666666666,23.22222222222222,381.3333333333333,74.63259082260234
Udinese_5849,46.5,13.6,10.0,3.4,4.8,4.6,2.6,36.3,16.8,3.4,1.9,23.2,9.2,23.9,396.6,74.7693317403421
Udinese_5864,47.45454545454545,12.909090909090908,10.909090909090908,3.909090909090909,5.2727272727272725,4.818181818181818,2.6363636363636362,37.27272727272727,17.727272727272727,3.4545454545454546,1.8181818181818181,23.363636363636363,8.818181818181818,23.545454545454547,407.54545454545456,75.51757430940191
Udinese_5874,46.75,14.083333333333334,10.416666666666666,3.75,5.083333333333333,4.666666666666667,2.9166666666666665,36.5,17.583333333333332,3.4166666666666665,1.75,24.916666666666668,8.833333333333334,23.0,391.9166666666667,74.22444311695175
Udinese_5878,46.0,14.076923076923077,10.153846153846153,3.8461538461538463,4.846153846153846,4.3076923076923075,2.923076923076923,37.30769230769231,17.846153846153847,3.4615384615384617,1.7692307692307692,25.692307692307693,8.384615384615385,23.0,385.2307692307692,73.43794749257084
Udinese_5892,45.785714285714285,14.0,10.357142857142858,4.0,4.928571428571429,4.214285714285714,2.9285714285714284,37.5,18.0,3.642857142857143,1.7857142857142858,26.214285714285715,8.571428571428571,22.5,381.2142857142857,73.54952267167293
Udinese_5906,46.4,13.8,10.133333333333333,3.933333333333333,4.933333333333334,4.2,2.933333333333333,37.6,17.8,3.533333333333333,1.7333333333333334,26.266666666666666,8.866666666666667,22.4,394.06666666666666,74.11288782689475
Udinese_5920,45.875,14.375,10.0,3.875,4.875,4.125,3.0,38.1875,18.375,3.3125,1.6875,26.6875,8.875,22.375,389.0,73.29333233771382
Udinese_5941,46.1764705882353,14.176470588235293,10.352941176470589,3.764705882352941,5.0,4.588235294117647,2.8823529411764706,37.529411764705884,18.0,3.3529411764705883,2.0,26.235294117647058,8.588235294117647,22.352941176470587,386.94117647058823,73.39372455314242
Udinese_5954,45.77777777777778,14.11111111111111,10.444444444444445,3.8333333333333335,5.0,4.666666666666667,2.8333333333333335,37.55555555555556,18.166666666666668,3.5,1.9444444444444444,26.61111111111111,8.5,22.38888888888889,382.05555555555554,73.48296207796784
Udinese_5969,45.473684210526315,14.31578947368421,10.105263157894736,3.736842105263158,4.842105263157895,4.421052631578948,2.789473684210526,36.68421052631579,17.736842105263158,3.3684210526315788,1.8421052631578947,26.210526315789473,8.105263157894736,22.42105263157895,378.7368421052632,73.61543775807479
