,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Verona_5717,40.0,13.0,12.0,2.0,8.0,4.0,2.0,25.0,11.0,4.0,2.0,25.0,2.0,21.0,269.0,66.91449814126393
Verona_5738,44.5,16.0,10.5,2.5,5.0,3.0,3.5,26.0,11.0,3.5,3.0,24.5,1.5,26.0,290.0,68.50548058188599
Verona_5741,43.333333333333336,13.333333333333334,9.333333333333334,2.3333333333333335,5.0,2.6666666666666665,3.6666666666666665,25.333333333333332,11.666666666666666,3.3333333333333335,2.3333333333333335,25.666666666666668,5.0,24.0,303.0,71.7088208945096
Verona_5751,44.25,13.0,9.25,2.5,4.75,3.25,2.75,26.5,13.0,4.0,2.25,25.25,6.75,22.0,327.0,72.01469837764913
Verona_5773,45.2,12.6,9.6,2.2,5.2,4.2,2.6,24.8,13.0,3.6,2.6,24.6,6.0,21.6,358.8,74.81340479265427
Verona_5780,47.833333333333336,13.333333333333334,9.833333333333334,2.3333333333333335,5.166666666666667,4.5,2.8333333333333335,27.333333333333332,14.5,4.0,2.6666666666666665,23.5,6.0,23.0,370.6666666666667,75.52279856752197
Verona_5808,47.714285714285715,15.285714285714286,10.714285714285714,3.142857142857143,5.0,4.428571428571429,3.0,27.714285714285715,15.0,3.857142857142857,2.857142857142857,23.142857142857142,6.285714285714286,22.142857142857142,364.7142857142857,74.72080085639963
Verona_5822,47.125,15.375,10.75,3.0,5.125,4.75,3.375,27.5,14.125,4.0,2.875,23.875,6.0,22.75,361.375,74.29342264284081
Verona_5846,47.111111111111114,14.88888888888889,10.333333333333334,2.7777777777777777,5.0,4.444444444444445,3.2222222222222223,26.0,13.222222222222221,3.888888888888889,2.7777777777777777,25.555555555555557,5.888888888888889,23.444444444444443,368.44444444444446,75.03859790474739
Verona_5857,45.6,15.0,10.3,2.8,4.9,4.2,3.1,26.0,13.0,3.8,2.8,24.7,5.5,23.0,359.6,74.03473811427264
Verona_5871,45.36363636363637,15.272727272727273,10.272727272727273,2.8181818181818183,4.909090909090909,4.0,3.1818181818181817,24.454545454545453,12.181818181818182,4.0,2.727272727272727,26.181818181818183,5.454545454545454,22.363636363636363,355.0,74.03158010388422
Verona_5882,44.5,14.666666666666666,10.083333333333334,2.9166666666666665,4.833333333333333,3.9166666666666665,2.9166666666666665,23.583333333333332,11.583333333333334,3.8333333333333335,2.5,25.916666666666668,6.083333333333333,22.666666666666668,351.3333333333333,73.77894842856054
Verona_5899,44.84615384615385,14.923076923076923,9.923076923076923,2.8461538461538463,4.769230769230769,3.923076923076923,2.923076923076923,25.076923076923077,12.0,3.6923076923076925,2.6153846153846154,26.0,5.846153846153846,23.307692307692307,353.6923076923077,73.56518316482511
Verona_5913,44.357142857142854,14.928571428571429,10.071428571428571,2.9285714285714284,4.642857142857143,3.857142857142857,2.7857142857142856,24.357142857142858,11.642857142857142,3.642857142857143,2.7857142857142856,26.5,6.0,23.142857142857142,353.2142857142857,73.88195579590904
Verona_5935,44.2,14.866666666666667,9.666666666666666,2.8,4.533333333333333,4.066666666666666,2.6666666666666665,24.866666666666667,12.066666666666666,3.466666666666667,2.6,26.466666666666665,5.8,23.2,350.93333333333334,73.62315874284845
Verona_5941,43.9375,14.75,9.5625,2.6875,4.625,4.25,2.625,24.375,11.6875,3.4375,2.5,26.375,6.125,22.75,354.3125,73.89671132142041
Verona_5951,43.94117647058823,15.0,10.176470588235293,2.8823529411764706,4.882352941176471,4.294117647058823,2.764705882352941,23.823529411764707,11.470588235294118,3.588235294117647,2.6470588235294117,26.529411764705884,6.0588235294117645,23.058823529411764,354.2352941176471,74.02043418486628
Verona_5962,44.166666666666664,15.333333333333334,10.5,2.8333333333333335,5.111111111111111,4.555555555555555,2.6666666666666665,24.055555555555557,11.777777777777779,3.388888888888889,2.7777777777777777,26.38888888888889,5.888888888888889,22.944444444444443,355.3888888888889,74.13041006348482
Verona_5976,44.94736842105263,15.526315789473685,10.68421052631579,2.8947368421052633,5.0,4.526315789473684,2.6315789473684212,23.57894736842105,11.631578947368421,3.210526315789474,3.0,26.105263157894736,5.842105263157895,23.0,366.94736842105266,74.80775690224877
