,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Atalanta_5717,61.0,9.0,25.0,11.0,8.0,9.0,1.0,29.0,17.0,4.0,6.0,32.0,18.0,17.0,477.0,80.50314465408805
Atalanta_5738,56.0,15.0,19.5,7.5,8.5,8.5,2.0,28.0,16.5,3.0,5.0,22.5,12.0,19.5,411.0,80.3964998632759
Atalanta_5746,53.333333333333336,17.333333333333332,19.0,6.666666666666667,9.0,7.333333333333333,2.3333333333333335,25.666666666666668,14.666666666666666,3.0,4.333333333333333,29.0,11.666666666666666,22.333333333333332,399.6666666666667,79.06185755694963
Atalanta_5766,54.25,17.0,18.0,7.0,8.0,7.5,2.0,27.25,15.0,3.25,4.0,26.25,11.25,21.25,429.5,80.68367640470645
Atalanta_5776,52.8,16.6,15.8,6.2,7.0,7.0,2.0,25.4,14.4,3.0,3.6,27.2,9.0,20.0,416.0,79.74031128951101
Atalanta_5801,54.333333333333336,16.0,15.666666666666666,5.333333333333333,7.0,7.5,2.0,24.666666666666668,14.0,3.0,4.166666666666667,28.833333333333332,7.833333333333333,21.5,428.6666666666667,79.79714287676053
Atalanta_5815,53.42857142857143,15.857142857142858,15.142857142857142,5.142857142857143,7.142857142857143,6.857142857142857,1.8571428571428572,26.0,14.142857142857142,3.142857142857143,3.5714285714285716,28.714285714285715,7.857142857142857,21.428571428571427,427.85714285714283,79.06962128376163
Atalanta_5829,52.625,15.5,15.25,5.125,7.125,6.875,1.75,25.625,13.125,3.0,3.625,30.0,8.375,21.5,428.875,78.70426724714464
Atalanta_5850,52.77777777777778,15.222222222222221,15.11111111111111,4.555555555555555,7.111111111111111,6.555555555555555,1.6666666666666667,25.555555555555557,13.222222222222221,3.0,3.7777777777777777,29.666666666666668,9.11111111111111,21.11111111111111,430.77777777777777,79.2926819974619
Atalanta_5856,51.9,15.1,15.3,4.6,7.1,6.7,1.9,26.0,13.6,2.8,3.8,30.7,9.8,20.3,422.1,78.76341379771571
Atalanta_5870,51.36363636363637,15.909090909090908,14.454545454545455,4.636363636363637,6.545454545454546,6.363636363636363,1.9090909090909092,25.90909090909091,13.363636363636363,2.5454545454545454,3.4545454545454546,29.454545454545453,9.636363636363637,20.818181818181817,419.1818181818182,78.33037617974156
Atalanta_5878,50.416666666666664,15.416666666666666,14.0,4.416666666666667,6.75,6.25,1.9166666666666667,24.083333333333332,12.416666666666666,2.5833333333333335,3.4166666666666665,28.166666666666668,9.166666666666666,20.583333333333332,406.0833333333333,78.46951149809642
Atalanta_5892,50.23076923076923,15.23076923076923,13.923076923076923,4.461538461538462,6.538461538461538,6.076923076923077,2.076923076923077,23.615384615384617,11.76923076923077,2.769230769230769,3.4615384615384617,28.76923076923077,8.923076923076923,21.53846153846154,404.6923076923077,77.89493369055054
Atalanta_5906,49.857142857142854,15.428571428571429,13.785714285714286,4.428571428571429,6.642857142857143,6.142857142857143,2.142857142857143,23.642857142857142,11.428571428571429,2.7857142857142856,3.5714285714285716,29.642857142857142,8.714285714285714,21.857142857142858,400.35714285714283,77.25958128408264
Atalanta_5920,49.666666666666664,15.4,13.8,4.6,6.533333333333333,6.133333333333334,2.066666666666667,23.8,11.6,2.7333333333333334,3.466666666666667,29.6,8.4,22.066666666666666,398.73333333333335,77.10894253181047
Atalanta_5934,49.8125,15.8125,13.5625,4.5625,6.25,6.25,2.0,23.8,11.6,2.6875,3.5,29.6,8.4,22.066666666666666,398.5,77.10894253181047
Atalanta_5948,49.11764705882353,15.647058823529411,13.470588235294118,4.529411764705882,6.235294117647059,6.294117647058823,2.1176470588235294,25.04705882352941,12.035294117647059,2.764705882352941,3.411764705882353,30.50588235294118,8.258823529411766,21.415686274509802,392.05882352941177,76.45547532405692
Atalanta_5955,48.94444444444444,15.444444444444445,13.333333333333334,4.555555555555555,6.055555555555555,6.388888888888889,2.1666666666666665,24.98888888888889,12.2,2.7222222222222223,3.388888888888889,29.922222222222224,8.355555555555556,21.892592592592592,389.22222222222223,76.20794891716486
Atalanta_5969,49.526315789473685,15.210526315789474,13.052631578947368,4.421052631578948,5.842105263157895,6.2105263157894735,2.1052631578947367,24.778947368421054,12.136842105263158,2.6315789473684212,3.4210526315789473,28.76842105263158,8.126315789473685,22.2140350877193,400.7368421052632,76.77595160573513
