,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Carpi_5717,34.0,11.0,10.0,5.0,4.0,2.0,3.0,24.0,11.0,3.0,1.0,34.0,11.0,18.0,282.0,71.63120567375887
Carpi_5738,34.5,16.0,10.5,4.0,5.5,3.0,3.0,26.5,12.5,2.0,1.0,38.0,7.5,18.0,296.5,74.88312695263505
Carpi_5741,33.0,15.0,10.666666666666666,3.0,6.666666666666667,3.3333333333333335,3.0,27.0,12.666666666666666,2.6666666666666665,1.0,32.0,6.666666666666667,17.0,284.6666666666667,72.65516254058173
Carpi_5751,34.5,13.75,9.75,3.0,5.5,3.0,2.75,28.25,12.25,2.5,1.25,28.0,6.5,17.25,304.0,74.86430008223188
Carpi_5772,35.8,14.2,9.2,2.6,5.2,3.0,3.0,27.0,12.2,2.4,1.4,28.6,7.2,16.0,321.0,75.46984623545131
Carpi_5780,36.333333333333336,15.0,9.5,3.1666666666666665,4.833333333333333,3.3333333333333335,2.8333333333333335,29.166666666666668,13.166666666666666,2.5,1.5,28.5,7.0,17.0,314.0,73.88317532763118
Carpi_5801,39.142857142857146,15.428571428571429,10.857142857142858,3.142857142857143,5.285714285714286,4.142857142857143,3.0,28.857142857142858,13.0,2.2857142857142856,2.4285714285714284,29.0,7.714285714285714,18.142857142857142,323.42857142857144,74.00512772443574
Carpi_5815,39.25,15.375,10.875,3.125,5.25,3.875,2.625,28.25,12.5,2.875,2.5,31.0,7.25,18.5,320.25,72.51455387297523
Carpi_5829,38.666666666666664,15.444444444444445,10.777777777777779,3.111111111111111,5.111111111111111,3.7777777777777777,2.4444444444444446,28.0,11.666666666666666,2.888888888888889,2.6666666666666665,30.333333333333332,8.0,19.22222222222222,319.22222222222223,72.46023938405229
Carpi_5849,38.8,15.6,10.9,3.4,5.0,4.0,2.3,30.2,13.1,3.0,2.7,31.1,7.7,19.7,323.8,71.71421544564706
Carpi_5857,38.36363636363637,16.272727272727273,10.727272727272727,3.5454545454545454,4.636363636363637,3.8181818181818183,2.3636363636363638,30.181818181818183,12.818181818181818,3.0,2.727272727272727,31.09090909090909,7.909090909090909,19.545454545454547,320.45454545454544,71.01292313240641
Carpi_5870,39.333333333333336,16.75,10.916666666666666,3.3333333333333335,4.75,4.083333333333333,2.3333333333333335,31.5,13.583333333333334,3.0,3.0,31.75,7.583333333333333,20.5,327.8333333333333,70.67851287137255
Carpi_5883,38.38461538461539,16.53846153846154,10.615384615384615,3.230769230769231,4.846153846153846,4.076923076923077,2.5384615384615383,31.46153846153846,13.076923076923077,3.0,2.923076923076923,31.384615384615383,7.461538461538462,21.0,321.61538461538464,69.24170418895928
Carpi_5899,38.714285714285715,17.214285714285715,10.571428571428571,3.357142857142857,4.714285714285714,4.214285714285714,2.5714285714285716,31.928571428571427,13.142857142857142,3.0714285714285716,2.9285714285714284,30.142857142857142,7.571428571428571,22.0,318.35714285714283,68.79586817546219
Carpi_5913,39.0,17.266666666666666,10.666666666666666,3.3333333333333335,4.866666666666666,4.133333333333334,2.6,32.333333333333336,13.133333333333333,3.066666666666667,2.8666666666666667,30.066666666666666,7.533333333333333,22.2,320.1333333333333,68.6094769637647
Carpi_5933,39.5,16.8125,10.6875,3.1875,5.0625,4.3125,2.625,31.75,12.8125,3.125,2.8125,29.5,7.3125,22.875,322.75,68.7588846535294
Carpi_5947,40.11764705882353,16.764705882352942,10.941176470588236,3.588235294117647,5.0,4.235294117647059,2.7058823529411766,32.35294117647059,13.352941176470589,3.0588235294117645,2.7058823529411766,29.823529411764707,7.470588235294118,22.58823529411765,326.3529411764706,69.06718555626297
Carpi_5956,40.388888888888886,17.11111111111111,11.222222222222221,3.5555555555555554,5.333333333333333,4.388888888888889,2.8333333333333335,32.5,13.722222222222221,3.0555555555555554,2.6666666666666665,30.166666666666668,7.555555555555555,22.5,329.1111111111111,69.45234191424836
Carpi_5969,41.21052631578947,17.210526315789473,12.052631578947368,3.8421052631578947,5.578947368421052,4.631578947368421,2.9473684210526314,32.36842105263158,14.0,3.1052631578947367,2.9473684210526314,30.31578947368421,8.157894736842104,22.42105263157895,331.89473684210526,69.84958707665635
