,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Empoli_5710,54.0,15.0,15.0,5.0,5.0,8.0,1.0,32.0,9.0,0.0,5.0,14.0,8.0,23.0,477.0,82.59958071278825
Empoli_5731,48.5,13.5,15.5,4.0,6.5,6.5,1.5,24.5,7.0,1.0,5.0,15.5,9.5,24.5,439.5,81.72267592853342
Empoli_5742,49.333333333333336,13.0,13.666666666666666,3.0,6.333333333333333,5.666666666666667,1.6666666666666667,26.333333333333332,10.0,1.3333333333333333,4.333333333333333,20.0,15.0,22.666666666666668,451.6666666666667,82.28290440053489
Empoli_5752,51.25,15.0,14.75,3.25,6.5,5.5,2.25,25.75,9.75,1.25,5.0,19.5,15.75,22.25,444.0,82.19911416738454
Empoli_5772,50.2,14.2,14.8,3.8,7.0,5.0,2.4,26.6,11.2,1.6,4.2,20.6,14.8,23.6,430.6,80.5073019439872
Empoli_5787,49.666666666666664,14.166666666666666,14.333333333333334,3.8333333333333335,6.166666666666667,4.833333333333333,2.3333333333333335,25.833333333333332,10.833333333333334,1.5,4.5,20.5,13.5,23.0,434.3333333333333,80.15049260600847
Empoli_5808,47.857142857142854,14.285714285714286,13.0,3.4285714285714284,5.571428571428571,4.571428571428571,2.5714285714285716,25.714285714285715,11.0,2.0,4.142857142857143,21.0,12.857142857142858,22.285714285714285,414.0,78.82762379927928
Empoli_5822,50.125,13.375,13.0,3.5,5.625,4.25,2.25,26.25,12.0,2.25,4.0,21.5,12.875,21.5,448.0,79.94355857947141
Empoli_5846,49.888888888888886,12.88888888888889,13.333333333333334,3.5555555555555554,6.111111111111111,4.666666666666667,2.2222222222222223,24.88888888888889,10.88888888888889,2.2222222222222223,3.7777777777777777,21.88888888888889,12.88888888888889,21.88888888888889,449.8888888888889,80.28316318175237
Empoli_5863,51.1,12.8,13.5,3.8,6.0,4.4,2.2,24.1,10.7,2.3,3.8,21.4,12.7,22.1,463.8,80.65484686357713
Empoli_5874,52.0,12.636363636363637,14.0,3.8181818181818183,6.7272727272727275,4.545454545454546,2.272727272727273,24.454545454545453,10.818181818181818,2.1818181818181817,4.0,21.727272727272727,13.272727272727273,23.09090909090909,473.54545454545456,81.14076987597922
Empoli_5884,53.583333333333336,12.5,15.25,4.0,7.083333333333333,5.5,2.25,24.166666666666668,11.0,2.0,4.666666666666667,20.833333333333332,13.083333333333334,23.416666666666668,477.1666666666667,81.29570571964761
Empoli_5898,53.15384615384615,12.461538461538462,14.76923076923077,4.076923076923077,6.846153846153846,5.384615384615385,2.230769230769231,23.923076923076923,10.923076923076923,2.076923076923077,4.461538461538462,21.0,12.307692307692308,23.153846153846153,474.46153846153845,81.42680527967471
Empoli_5912,53.642857142857146,12.714285714285714,14.928571428571429,4.285714285714286,7.071428571428571,5.5,2.2142857142857144,23.285714285714285,10.642857142857142,2.2142857142857144,4.571428571428571,22.0,12.214285714285714,23.285714285714285,478.14285714285717,81.53917633112653
Empoli_5919,53.53333333333333,12.866666666666667,14.666666666666666,4.2,6.933333333333334,5.666666666666667,2.1333333333333333,23.466666666666665,11.0,2.2,4.466666666666667,22.333333333333332,11.933333333333334,23.066666666666666,480.8,81.63656457571808
Empoli_5941,52.75,13.125,14.1875,4.1875,6.625,5.4375,2.1875,23.375,11.0625,2.375,4.25,23.625,11.6875,22.6875,473.5625,81.47177928973571
Empoli_5951,52.94117647058823,13.294117647058824,14.058823529411764,4.352941176470588,6.411764705882353,5.411764705882353,2.1176470588235294,22.88235294117647,10.823529411764707,2.588235294117647,4.117647058823529,23.058823529411764,11.647058823529411,22.41176470588235,478.05882352941177,81.67932168445714
Empoli_5962,53.05555555555556,12.944444444444445,13.555555555555555,4.166666666666667,6.166666666666667,5.111111111111111,2.0,22.22222222222222,10.5,2.7777777777777777,4.0,22.77777777777778,11.333333333333334,22.444444444444443,484.6666666666667,81.8638038130984
Empoli_5976,53.0,12.894736842105264,13.368421052631579,4.105263157894737,6.0,5.0,2.0,21.57894736842105,10.157894736842104,2.8421052631578947,4.0,22.736842105263158,10.947368421052632,21.894736842105264,483.3157894736842,81.97623519135638
