,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Juventus_5710,65.0,14.0,21.0,5.0,10.0,10.0,1.0,50.0,30.0,1.0,6.0,25.0,6.0,25.0,525.0,83.04761904761905
Juventus_5730,66.0,17.5,22.0,6.0,12.0,7.5,2.0,40.5,25.5,1.5,5.0,21.5,9.5,24.5,559.0,85.95888540913836
Juventus_5741,65.33333333333333,17.0,26.666666666666668,6.333333333333333,14.0,8.333333333333334,2.0,38.0,23.0,1.0,7.0,20.333333333333332,17.333333333333332,23.333333333333332,572.0,87.18329261389603
Juventus_5752,64.75,14.75,24.75,6.75,12.5,7.5,1.75,33.0,20.25,0.75,6.0,20.0,17.75,22.25,597.0,87.63449326994584
Juventus_5773,64.4,13.6,23.6,7.4,11.2,6.8,1.8,29.4,18.0,0.6,5.2,19.0,16.2,22.2,618.2,88.31527598153278
Juventus_5779,63.666666666666664,14.166666666666666,22.5,7.166666666666667,10.5,6.833333333333333,1.8333333333333333,28.333333333333332,16.833333333333332,1.1666666666666667,5.0,18.833333333333332,14.666666666666666,21.5,605.3333333333334,88.76272998461064
Juventus_5800,62.42857142857143,14.285714285714286,21.571428571428573,6.857142857142857,10.285714285714286,6.285714285714286,1.8571428571428572,26.857142857142858,15.714285714285714,1.2857142857142858,4.571428571428571,21.857142857142858,14.714285714285714,21.714285714285715,587.4285714285714,88.13591141538055
Juventus_5822,59.375,14.625,20.875,6.75,9.875,5.875,2.0,26.125,15.125,1.125,4.375,22.625,14.875,20.875,559.375,87.17401890719077
Juventus_5846,58.666666666666664,14.88888888888889,20.22222222222222,6.666666666666667,9.555555555555555,6.222222222222222,2.111111111111111,24.77777777777778,14.333333333333334,1.1111111111111112,4.111111111111111,22.11111111111111,14.777777777777779,20.88888888888889,550.5555555555555,86.82135013972513
Juventus_5864,58.3,14.3,19.7,6.7,9.0,5.7,2.1,24.2,14.1,1.1,4.1,22.2,14.2,21.0,558.5,87.03921512575262
Juventus_5874,57.90909090909091,14.272727272727273,18.90909090909091,6.2727272727272725,9.0,5.454545454545454,2.0,25.363636363636363,14.545454545454545,1.1818181818181819,4.181818181818182,22.272727272727273,13.545454545454545,21.0,549.7272727272727,86.49019556886601
Juventus_5884,56.75,13.916666666666666,18.416666666666668,6.083333333333333,8.666666666666666,5.333333333333333,2.0,24.5,14.0,1.1666666666666667,4.083333333333333,22.166666666666668,14.0,21.166666666666668,545.1666666666666,86.28267927146051
Juventus_5899,56.0,13.76923076923077,17.692307692307693,6.0,8.307692307692308,5.153846153846154,2.076923076923077,23.46153846153846,13.307692307692308,1.3076923076923077,3.8461538461538463,22.692307692307693,13.692307692307692,21.076923076923077,538.6923076923077,85.95324240442508
Juventus_5911,55.714285714285715,13.642857142857142,17.428571428571427,6.142857142857143,7.857142857142857,5.285714285714286,1.9285714285714286,23.5,13.071428571428571,1.3571428571428572,4.071428571428571,22.714285714285715,13.928571428571429,21.714285714285715,531.1428571428571,85.45658223268045
Juventus_5933,55.13333333333333,14.066666666666666,17.533333333333335,6.333333333333333,7.733333333333333,5.4,2.0,23.2,13.133333333333333,1.4666666666666666,4.066666666666666,23.0,14.6,21.533333333333335,521.6,85.15947675050174
Juventus_5948,55.4375,14.0625,17.4375,6.3125,7.75,5.625,2.0,22.6875,13.0625,1.625,3.9375,23.4375,14.625,21.125,523.1875,85.21200945359539
Juventus_5951,55.588235294117645,13.647058823529411,17.529411764705884,6.647058823529412,7.705882352941177,5.882352941176471,1.9411764705882353,22.58823529411765,12.882352941176471,1.588235294117647,3.7058823529411766,23.0,14.529411764705882,21.41176470588235,524.2352941176471,85.25836183867801
Juventus_5962,56.333333333333336,13.944444444444445,17.61111111111111,6.444444444444445,7.777777777777778,5.833333333333333,2.1666666666666665,22.833333333333332,13.222222222222221,1.5555555555555556,3.888888888888889,23.0,14.777777777777779,21.38888888888889,533.1111111111111,85.46623062541812
Juventus_5975,56.68421052631579,14.052631578947368,17.94736842105263,6.7368421052631575,7.7894736842105265,6.2105263157894735,2.210526315789474,21.94736842105263,12.842105263157896,1.5263157894736843,3.8947368421052633,23.31578947368421,14.526315789473685,21.105263157894736,535.421052631579,85.75748164513296
