,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lazio_5709,55.0,18.0,21.0,9.0,7.0,6.0,2.0,14.0,10.0,3.0,5.0,16.0,6.0,7.0,320.0,87.5
Lazio_5731,57.0,17.5,17.5,8.5,5.0,6.0,1.0,21.0,12.0,3.5,3.5,19.5,5.0,15.0,403.5,84.2017453798768
Lazio_5741,56.333333333333336,18.0,15.0,6.666666666666667,5.0,7.333333333333333,2.0,23.666666666666668,14.333333333333334,3.6666666666666665,3.0,21.666666666666668,7.333333333333333,17.666666666666668,419.3333333333333,84.44196181274862
Lazio_5752,58.75,17.25,18.5,7.75,6.0,7.75,2.5,21.5,12.0,4.25,4.5,23.5,8.0,18.25,426.5,83.53236421670432
Lazio_5773,58.2,16.4,16.8,6.8,6.0,6.2,2.4,22.0,12.4,4.0,3.8,25.4,7.4,19.4,441.6,83.12071209049493
Lazio_5780,58.0,17.166666666666668,15.666666666666666,6.333333333333333,5.5,6.333333333333333,2.3333333333333335,21.166666666666668,11.5,3.3333333333333335,3.6666666666666665,26.0,7.0,22.0,444.5,81.76726007541244
Lazio_5801,58.714285714285715,17.285714285714285,16.0,5.857142857142857,6.285714285714286,6.857142857142857,2.4285714285714284,23.0,12.857142857142858,3.857142857142857,3.7142857142857144,25.571428571428573,7.571428571428571,22.571428571428573,457.14285714285717,80.99482651331252
Lazio_5813,58.875,17.375,15.375,5.5,5.875,6.75,2.75,24.0,12.75,3.375,3.875,27.625,8.0,22.5,472.625,81.4341565037956
Lazio_5823,58.666666666666664,17.22222222222222,15.222222222222221,5.111111111111111,6.333333333333333,6.777777777777778,2.6666666666666665,24.22222222222222,13.0,3.3333333333333335,3.6666666666666665,26.444444444444443,8.11111111111111,22.88888888888889,476.1111111111111,81.64517615152202
Lazio_5846,59.2,16.7,15.2,4.6,6.7,7.0,2.6,24.8,13.3,3.2,3.8,26.0,8.5,23.8,481.3,81.48065853636982
Lazio_5864,58.90909090909091,16.363636363636363,16.0,4.818181818181818,7.2727272727272725,7.090909090909091,2.5454545454545454,25.454545454545453,13.454545454545455,3.272727272727273,3.8181818181818183,25.818181818181817,9.545454545454545,23.545454545454547,479.09090909090907,81.34605321488165
Lazio_5874,57.916666666666664,16.416666666666668,15.333333333333334,4.416666666666667,7.416666666666667,6.833333333333333,2.6666666666666665,25.416666666666668,13.166666666666666,3.25,3.5833333333333335,25.333333333333332,9.583333333333334,23.5,475.9166666666667,80.65054878030818
Lazio_5882,58.46153846153846,15.76923076923077,15.538461538461538,4.615384615384615,7.384615384615385,7.0,2.5384615384615383,24.53846153846154,12.846153846153847,3.1538461538461537,3.6153846153846154,25.615384615384617,9.384615384615385,22.53846153846154,481.61538461538464,80.90819887413062
Lazio_5900,58.785714285714285,15.714285714285714,15.571428571428571,4.714285714285714,7.571428571428571,6.928571428571429,2.4285714285714284,25.428571428571427,13.714285714285714,3.2142857142857144,3.7142857142857144,25.714285714285715,10.0,23.642857142857142,482.5,80.55761324026415
Lazio_5913,58.266666666666666,15.533333333333333,14.866666666666667,4.533333333333333,7.266666666666667,6.733333333333333,2.4,26.2,14.0,3.066666666666667,3.466666666666667,25.266666666666666,10.066666666666666,24.333333333333332,479.46666666666664,80.12043902424654
Lazio_5934,57.25,15.4375,15.0625,4.4375,7.4375,6.9375,2.625,26.5,13.875,3.0,3.5625,25.4375,10.0625,24.4375,470.5625,79.80041158523113
Lazio_5948,56.64705882352941,15.117647058823529,15.294117647058824,4.588235294117647,7.470588235294118,6.823529411764706,2.6470588235294117,25.764705882352942,13.529411764705882,2.8823529411764706,3.588235294117647,25.352941176470587,10.0,24.235294117647058,470.3529411764706,79.8709756096293
Lazio_5962,56.05555555555556,15.222222222222221,14.944444444444445,4.555555555555555,7.277777777777778,6.5,2.7777777777777777,25.666666666666668,13.38888888888889,2.9444444444444446,3.4444444444444446,26.0,10.166666666666666,23.61111111111111,467.94444444444446,79.93369918687212
Lazio_5976,55.78947368421053,14.842105263157896,15.0,4.631578947368421,7.315789473684211,6.473684210526316,2.6315789473684212,24.842105263157894,12.947368421052632,2.8421052631578947,3.3684210526315788,25.842105263157894,10.368421052631579,23.473684210526315,465.36842105263156,80.04245186124727
