,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Napoli_5717,58.0,9.0,27.0,7.0,11.0,4.0,0.0,12.0,9.0,2.0,9.0,32.0,3.0,25.0,646.0,87.30650154798762
Napoli_5738,60.0,10.5,23.0,8.5,8.5,5.5,0.5,17.0,11.5,1.5,6.0,26.0,9.5,26.5,649.5,86.60884036051755
Napoli_5744,56.666666666666664,13.0,19.666666666666668,7.333333333333333,7.666666666666667,5.0,1.0,20.0,11.666666666666666,1.6666666666666667,4.666666666666667,35.0,10.666666666666666,25.666666666666668,611.0,85.14247284958348
Napoli_5766,54.75,12.5,18.0,7.0,6.75,4.75,1.5,19.5,11.25,2.0,4.25,32.5,9.75,27.25,573.0,83.57363023631615
Napoli_5776,57.2,11.8,19.0,7.2,7.2,5.2,1.5,21.0,12.4,1.8,4.6,33.0,9.6,26.8,614.4,84.65890418905292
Napoli_5787,57.5,12.333333333333334,18.0,6.833333333333333,6.666666666666667,5.5,1.75,22.666666666666668,13.166666666666666,1.8333333333333333,4.833333333333333,31.166666666666668,10.0,27.5,594.3333333333334,84.07810166901508
Napoli_5809,58.142857142857146,11.714285714285714,17.142857142857142,6.0,6.428571428571429,5.285714285714286,2.0714285714285716,22.714285714285715,12.714285714285714,1.7142857142857142,4.571428571428571,32.0,10.0,27.0,614.5714285714286,84.49551571629864
Napoli_5822,58.375,11.875,16.5,5.75,6.5,5.5,2.0625,25.25,13.625,1.5,4.125,30.875,10.0,27.25,614.375,84.19050936758512
Napoli_5846,58.55555555555556,11.88888888888889,16.555555555555557,6.0,6.666666666666667,5.666666666666667,2.0555555555555554,24.22222222222222,13.222222222222221,1.6666666666666667,3.7777777777777777,29.666666666666668,9.333333333333334,27.11111111111111,613.0,84.39156388229789
Napoli_5856,59.3,11.7,16.9,6.0,6.8,5.4,1.85,24.4,13.4,1.7,4.0,30.6,9.7,27.1,622.5,84.2524074940681
Napoli_5871,59.54545454545455,11.636363636363637,17.181818181818183,6.0,7.090909090909091,5.2727272727272725,1.9545454545454546,23.272727272727273,13.0,1.6363636363636365,4.0,30.818181818181817,10.090909090909092,26.09090909090909,622.7272727272727,84.86582499460737
Napoli_5878,60.916666666666664,11.416666666666666,17.583333333333332,6.083333333333333,7.5,5.916666666666667,1.875,23.916666666666668,13.583333333333334,1.5,3.9166666666666665,29.833333333333332,9.916666666666666,25.333333333333332,633.1666666666666,84.96033957839008
Napoli_5893,61.23076923076923,11.461538461538462,17.76923076923077,6.0,8.076923076923077,5.923076923076923,1.7307692307692308,23.846153846153847,13.384615384615385,1.4615384615384615,4.0,29.76923076923077,9.461538461538462,25.846153846153847,633.3846153846154,85.11723653389853
Napoli_5905,61.785714285714285,11.071428571428571,18.285714285714285,6.285714285714286,8.571428571428571,6.0,1.6071428571428572,24.785714285714285,13.785714285714286,1.4285714285714286,4.071428571428571,29.285714285714285,9.714285714285714,24.714285714285715,645.5714285714286,85.39457678147721
Napoli_5920,62.13333333333333,10.866666666666667,18.533333333333335,6.6,8.333333333333334,6.333333333333333,1.7,25.133333333333333,13.933333333333334,1.4,4.2,29.4,10.0,25.6,653.4,85.43493832937874
Napoli_5941,62.0,10.5625,18.5625,6.5625,8.25,6.375,1.71875,24.625,13.75,1.375,4.3125,29.6875,9.6875,25.125,653.5625,85.59525468379256
Napoli_5950,61.64705882352941,10.411764705882353,18.647058823529413,7.0,8.0,6.470588235294118,1.6764705882352942,25.235294117647058,13.764705882352942,1.2941176470588236,4.176470588235294,30.823529411764707,9.823529411764707,25.0,655.1764705882352,85.79553382004006
Napoli_5963,61.5,10.555555555555555,18.61111111111111,7.166666666666667,7.944444444444445,6.388888888888889,1.5833333333333333,24.88888888888889,13.666666666666666,1.2777777777777777,4.0,30.11111111111111,9.777777777777779,25.22222222222222,657.2777777777778,85.80689305226005
Napoli_5975,62.1578947368421,10.473684210526315,19.36842105263158,7.421052631578948,8.105263157894736,6.894736842105263,1.5526315789473684,24.36842105263158,13.263157894736842,1.3157894736842106,4.315789473684211,29.473684210526315,9.736842105263158,25.31578947368421,661.0,86.08021447056215
