,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Sassuolo_5710,45.0,13.0,16.0,6.0,3.0,5.0,4.0,29.0,14.0,2.0,7.0,20.0,13.0,28.0,366.0,72.40437158469945
Sassuolo_5731,51.5,17.0,13.0,7.5,1.5,4.5,4.0,25.0,13.0,2.0,4.0,23.0,12.0,30.0,428.0,78.34504293520686
Sassuolo_5745,52.333333333333336,16.666666666666668,13.0,6.666666666666667,3.0,4.333333333333333,3.6666666666666665,33.333333333333336,17.666666666666668,1.6666666666666667,3.3333333333333335,21.0,10.0,28.0,436.3333333333333,77.46917505467066
Sassuolo_5766,50.75,14.25,13.5,6.25,3.75,4.0,3.0,31.25,17.5,2.5,3.75,24.75,10.5,25.5,416.0,76.41174044593257
Sassuolo_5776,48.0,15.4,12.2,5.6,3.8,3.4,3.4,30.6,16.6,2.6,3.0,29.6,10.4,25.6,394.0,75.11632046132122
Sassuolo_5787,49.5,15.0,11.666666666666666,5.333333333333333,3.6666666666666665,3.8333333333333335,3.5,29.0,15.833333333333334,2.5,2.8333333333333335,28.833333333333332,9.5,26.166666666666668,410.8333333333333,75.62723674807071
Sassuolo_5809,49.57142857142857,15.142857142857142,12.285714285714286,5.0,4.0,4.285714285714286,3.2857142857142856,28.857142857142858,16.142857142857142,2.5714285714285716,3.5714285714285716,30.142857142857142,9.428571428571429,26.142857142857142,419.42857142857144,75.68170186534664
Sassuolo_5860,50.75,14.75,12.375,4.75,4.375,4.75,3.125,28.857142857142858,16.142857142857142,2.75,3.5,30.142857142857142,9.428571428571429,26.142857142857142,419.42857142857144,75.68170186534664
Sassuolo_5846,52.888888888888886,14.666666666666666,14.333333333333334,4.555555555555555,5.666666666666667,5.111111111111111,3.111111111111111,29.984126984126988,16.793650793650794,2.4444444444444446,4.333333333333333,28.79365079365079,9.825396825396826,26.46031746031746,442.04761904761904,76.60595721364146
Sassuolo_5864,53.3,14.1,13.9,4.3,5.7,5.0,2.8,30.58571428571429,16.614285714285714,2.7,4.4,28.41428571428571,10.242857142857144,26.91428571428571,447.74285714285713,76.94536149227731
Sassuolo_5873,53.09090909090909,13.909090909090908,14.181818181818182,4.454545454545454,5.7272727272727275,5.2727272727272725,2.6363636363636362,30.259740259740262,16.285714285714285,2.727272727272727,4.454545454545454,28.28571428571428,9.948051948051948,26.831168831168828,443.2207792207792,77.31396499297938
Sassuolo_5878,54.0,14.5,14.916666666666666,4.583333333333333,6.75,5.416666666666667,2.6666666666666665,29.73809523809524,16.011904761904763,2.5,4.666666666666667,27.76190476190476,9.869047619047619,26.26190476190476,447.7857142857143,77.87113457689776
Sassuolo_5892,53.38461538461539,14.692307692307692,14.76923076923077,4.769230769230769,6.615384615384615,5.615384615384615,2.6153846153846154,28.52747252747253,15.241758241758241,2.4615384615384617,4.384615384615385,28.857142857142854,9.87912087912088,25.47252747252747,444.1098901098901,77.95797037867486
Sassuolo_5906,52.785714285714285,14.857142857142858,14.5,4.785714285714286,6.571428571428571,5.5,2.642857142857143,27.704081632653065,15.010204081632653,2.642857142857143,4.571428571428571,29.01020408163265,9.530612244897961,25.51020408163265,439.53061224489795,77.81811535162664
Sassuolo_5920,53.4,14.666666666666666,14.4,4.533333333333333,6.4,5.333333333333333,2.6,28.990476190476194,15.342857142857143,2.6,4.8,28.876190476190473,9.161904761904763,25.74285714285714,443.2952380952381,77.83024099485154
Sassuolo_5940,53.875,14.5625,14.4375,4.6875,6.5625,5.6875,2.5625,28.67857142857143,15.258928571428571,2.625,4.5625,28.44642857142857,8.964285714285715,26.13392857142857,447.0892857142857,77.84085093267332
Sassuolo_5951,54.76470588235294,14.470588235294118,14.941176470588236,4.882352941176471,6.9411764705882355,6.117647058823529,2.6470588235294117,28.344537815126053,15.243697478991594,2.588235294117647,4.411764705882353,27.596638655462183,9.201680672268909,26.42016806722689,454.8487394957983,78.20315381898665
Sassuolo_5962,54.611111111111114,14.277777777777779,14.444444444444445,4.666666666666667,6.722222222222222,5.888888888888889,2.5,28.325396825396826,15.007936507936506,2.5555555555555554,4.277777777777778,27.563492063492063,9.023809523809526,26.174603174603174,456.0793650793651,78.24742305126517
Sassuolo_5975,54.05263157894737,13.947368421052632,14.157894736842104,4.578947368421052,6.526315789473684,5.842105263157895,2.526315789473684,27.93984962406015,14.639097744360901,2.6842105263157894,4.2105263157894735,27.218045112781954,9.18045112781955,25.954887218045112,455.12781954887225,78.44492710119859
