,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Torino_5717,35.0,15.0,10.0,6.0,1.0,4.0,2.0,20.0,10.0,4.0,3.0,25.0,11.0,15.0,274.0,79.1970802919708
Torino_5738,43.0,12.0,14.5,7.5,4.0,5.5,2.0,15.5,8.0,5.0,3.5,27.0,12.5,12.0,361.0,82.5672901459854
Torino_5745,44.333333333333336,13.0,13.0,6.0,4.0,5.333333333333333,2.6666666666666665,16.333333333333332,7.666666666666667,4.0,3.3333333333333335,27.333333333333332,10.333333333333334,10.333333333333334,389.0,83.95871777522622
Torino_5765,46.75,16.75,11.25,5.25,3.5,5.75,2.75,16.5,7.25,3.25,3.0,25.75,9.25,11.75,382.25,83.48008805517657
Torino_5776,46.6,15.4,12.2,5.4,4.2,5.4,2.6,18.4,7.4,2.8,3.2,26.6,9.8,14.2,377.8,82.45073711080792
Torino_5787,46.833333333333336,14.833333333333334,12.833333333333334,5.833333333333333,4.333333333333333,5.333333333333333,2.5,19.0,8.333333333333334,2.5,3.1666666666666665,25.833333333333332,10.166666666666666,16.5,389.1666666666667,82.3113392216374
Torino_5807,48.857142857142854,13.857142857142858,13.0,5.857142857142857,4.428571428571429,5.571428571428571,2.142857142857143,21.142857142857142,9.142857142857142,2.142857142857143,3.142857142857143,25.571428571428573,10.857142857142858,17.428571428571427,413.14285714285717,82.4017685762278
Torino_5814,47.75,14.375,12.75,5.75,4.375,5.125,2.25,21.75,9.375,2.125,3.0,25.125,10.75,17.5,403.375,81.69109974300528
Torino_5829,48.111111111111114,15.222222222222221,12.444444444444445,5.222222222222222,4.555555555555555,5.333333333333333,2.2222222222222223,23.444444444444443,10.666666666666666,2.4444444444444446,3.0,24.77777777777778,10.11111111111111,17.333333333333332,399.8888888888889,81.33593573332847
Torino_5850,48.2,15.8,13.0,5.3,4.8,5.5,2.3,22.7,10.6,2.5,3.3,25.4,9.8,17.3,399.5,81.30234215999562
Torino_5856,48.54545454545455,15.636363636363637,13.727272727272727,5.636363636363637,5.0,5.545454545454546,2.1818181818181817,23.0,11.0,2.5454545454545454,3.4545454545454546,25.272727272727273,9.727272727272727,17.545454545454547,398.54545454545456,81.27485650908693
Torino_5871,49.25,15.416666666666666,13.916666666666666,5.666666666666667,5.166666666666667,5.5,2.0,21.833333333333332,10.5,2.5833333333333335,3.4166666666666665,24.666666666666668,10.416666666666666,17.75,397.8333333333333,81.33528513332969
Torino_5878,49.46153846153846,16.153846153846153,13.76923076923077,5.538461538461538,5.153846153846154,5.538461538461538,2.076923076923077,22.615384615384617,10.923076923076923,2.4615384615384617,3.3846153846153846,23.76923076923077,10.615384615384615,17.692307692307693,400.0769230769231,81.07872473845818
Torino_5892,50.07142857142857,16.571428571428573,13.571428571428571,5.428571428571429,5.142857142857143,5.5,2.2142857142857144,22.428571428571427,11.214285714285714,2.2857142857142856,3.357142857142857,23.071428571428573,11.142857142857142,18.071428571428573,400.5,80.93024439999688
Torino_5906,49.53333333333333,16.733333333333334,13.6,5.333333333333333,5.266666666666667,5.333333333333333,2.2666666666666666,22.333333333333332,10.933333333333334,2.4,3.2666666666666666,23.266666666666666,11.066666666666666,17.933333333333334,393.53333333333336,80.06822810666375
Torino_5920,49.125,17.3125,13.375,5.375,5.125,5.125,2.375,21.875,10.625,2.4375,3.125,25.0625,11.125,17.8125,389.0625,79.75146384999726
Torino_5941,48.705882352941174,17.352941176470587,12.882352941176471,5.235294117647059,4.9411764705882355,5.0588235294117645,2.3529411764705883,22.058823529411764,10.529411764705882,2.6470588235294117,2.9411764705882355,24.823529411764707,10.823529411764707,17.294117647058822,386.6470588235294,79.82490715293861
Torino_5955,48.833333333333336,17.38888888888889,13.0,5.111111111111111,5.222222222222222,5.0,2.3333333333333335,22.22222222222222,10.88888888888889,2.5555555555555554,2.888888888888889,24.72222222222222,10.722222222222221,17.333333333333332,390.1666666666667,79.8346345333309
Torino_5969,48.26315789473684,17.68421052631579,12.68421052631579,4.947368421052632,5.0,4.7894736842105265,2.473684210526316,21.894736842105264,10.631578947368421,2.6315789473684212,2.9473684210526314,24.36842105263158,10.789473684210526,17.263157894736842,390.1578947368421,79.9486011368398
