,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
CrystalPalace_6073,49.0,9.0,4.0,1.0,3.0,4.0,3.0,22.0,8.0,3.0,2.0,38.0,13.0,28.0,324.0,73.0
CrystalPalace_6094,46.0,9.0,7.5,2.5,3.0,5.0,2.5,31.0,17.0,3.0,3.0,35.5,11.0,27.5,357.0,75.5
CrystalPalace_6108,48.666666666666664,10.0,11.666666666666666,3.0,6.0,5.0,2.3333333333333335,35.0,18.666666666666668,2.6666666666666665,3.3333333333333335,32.0,9.333333333333334,29.0,379.6666666666667,75.0
CrystalPalace_6114,47.5,10.25,11.25,2.75,5.0,6.0,2.75,37.5,19.5,2.5,4.0,31.0,10.0,26.75,358.25,73.0
CrystalPalace_6136,49.0,9.8,13.6,3.6,5.4,6.4,2.75,36.8,19.0,2.2,5.0,30.2,11.2,26.2,383.0,74.4
CrystalPalace_6150,51.166666666666664,10.166666666666666,14.0,3.8333333333333335,5.666666666666667,6.5,2.625,38.333333333333336,20.166666666666668,2.5,4.833333333333333,27.333333333333332,12.166666666666666,26.0,403.3333333333333,75.0
CrystalPalace_6171,50.142857142857146,12.142857142857142,13.714285714285714,3.857142857142857,5.428571428571429,6.428571428571429,2.9642857142857144,40.42857142857143,22.0,2.7142857142857144,4.714285714285714,26.571428571428573,11.714285714285714,25.428571428571427,387.0,74.42857142857143
CrystalPalace_6185,49.375,12.375,13.75,4.125,5.5,6.5,3.09375,40.5,21.625,2.75,4.375,24.875,11.375,23.75,380.875,74.125
CrystalPalace_6201,48.77777777777778,12.88888888888889,13.222222222222221,4.0,5.444444444444445,6.111111111111111,3.1944444444444446,41.333333333333336,22.11111111111111,2.6666666666666665,4.0,25.444444444444443,11.0,23.555555555555557,371.0,72.55555555555556
CrystalPalace_6206,47.5,12.3,12.6,4.0,5.1,5.9,2.975,41.0,22.2,2.9,3.7,25.5,10.6,22.1,369.0,72.7
CrystalPalace_6219,48.27272727272727,12.454545454545455,12.454545454545455,3.8181818181818183,5.181818181818182,5.545454545454546,2.8863636363636362,40.90909090909091,22.0,2.6363636363636362,3.6363636363636362,26.0,10.0,22.272727272727273,374.72727272727275,73.45454545454545
CrystalPalace_6236,47.166666666666664,13.333333333333334,12.416666666666666,3.8333333333333335,5.25,5.333333333333333,2.9791666666666665,40.583333333333336,22.333333333333332,2.5833333333333335,3.4166666666666665,26.416666666666668,9.833333333333334,22.25,362.8333333333333,72.91666666666667
CrystalPalace_6247,46.84615384615385,13.384615384615385,11.923076923076923,3.6153846153846154,5.153846153846154,5.3076923076923075,2.980769230769231,41.0,22.46153846153846,2.6153846153846154,3.230769230769231,26.615384615384617,9.461538461538462,23.076923076923077,359.9230769230769,72.6923076923077
CrystalPalace_6268,47.07142857142857,13.357142857142858,11.928571428571429,3.5714285714285716,5.142857142857143,5.285714285714286,2.8392857142857144,41.57142857142857,23.428571428571427,2.5,3.2857142857142856,26.285714285714285,9.714285714285714,22.714285714285715,358.42857142857144,72.57142857142857
CrystalPalace_6296,45.733333333333334,13.4,11.666666666666666,3.533333333333333,5.133333333333334,5.133333333333334,2.783333333333333,40.6,23.0,3.0,3.066666666666667,26.266666666666666,9.933333333333334,21.933333333333334,350.0,72.46666666666667
CrystalPalace_6300,45.3125,13.25,12.0625,3.5,5.1875,5.5,2.671875,40.5,23.125,3.1875,3.375,26.1875,9.6875,21.625,343.8125,72.125
CrystalPalace_6318,44.294117647058826,13.058823529411764,11.764705882352942,3.4705882352941178,5.0588235294117645,5.352941176470588,2.6323529411764706,40.23529411764706,23.058823529411764,3.0,3.235294117647059,27.058823529411764,9.941176470588236,21.764705882352942,337.4117647058824,71.41176470588235
CrystalPalace_6331,43.55555555555556,12.777777777777779,11.38888888888889,3.388888888888889,4.888888888888889,5.222222222222222,2.6527777777777777,39.44444444444444,22.444444444444443,3.2222222222222223,3.111111111111111,27.666666666666668,9.944444444444445,21.38888888888889,333.44444444444446,71.38888888888889
CrystalPalace_6346,43.421052631578945,12.631578947368421,11.157894736842104,3.263157894736842,4.7368421052631575,5.2631578947368425,2.513157894736842,38.526315789473685,22.105263157894736,3.0526315789473686,3.1052631578947367,27.94736842105263,9.947368421052632,21.36842105263158,334.6842105263158,71.94736842105263
