,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HullCity_6073,38.0,10.0,3.0,0.0,3.0,3.0,,32.0,13.0,2.0,5.0,40.0,3.0,23.0,446.0,79.0
HullCity_6094,49.5,6.5,7.0,1.5,5.5,6.0,0.0,29.0,11.5,1.5,2.5,30.5,4.0,20.0,530.5,82.5
HullCity_6108,41.666666666666664,7.0,5.333333333333333,1.3333333333333333,4.0,4.666666666666667,1.0,25.0,10.333333333333334,3.3333333333333335,1.6666666666666667,33.333333333333336,6.666666666666667,18.666666666666668,441.6666666666667,79.0
HullCity_6129,43.75,8.75,6.75,2.0,4.5,4.5,1.6666666666666667,22.25,9.25,3.5,1.5,33.0,6.5,17.25,444.25,80.0
HullCity_6143,43.2,8.6,7.0,2.0,4.4,4.0,1.75,25.2,10.4,2.8,1.6,29.8,5.8,17.2,434.8,78.6
HullCity_6164,45.666666666666664,8.5,8.666666666666666,2.8333333333333335,4.666666666666667,4.666666666666667,1.4,25.666666666666668,9.833333333333334,2.5,2.0,28.0,5.666666666666667,17.166666666666668,446.5,80.33333333333333
HullCity_6180,44.714285714285715,8.857142857142858,8.142857142857142,2.5714285714285716,4.428571428571429,5.0,1.3333333333333333,27.285714285714285,10.714285714285714,2.5714285714285716,1.8571428571428572,27.285714285714285,6.0,17.428571428571427,439.42857142857144,79.71428571428571
HullCity_6189,43.75,9.5,8.0,3.0,4.0,5.0,1.4285714285714286,28.125,11.875,3.0,2.125,27.5,6.375,17.125,432.75,78.75
HullCity_6192,43.77777777777778,9.444444444444445,9.0,3.2222222222222223,4.444444444444445,5.111111111111111,1.75,29.666666666666668,13.11111111111111,3.2222222222222223,2.2222222222222223,27.88888888888889,6.111111111111111,17.333333333333332,419.8888888888889,77.55555555555556
HullCity_6207,45.3,8.9,9.5,3.2,4.9,5.5,1.75,30.3,14.1,3.1,2.2,27.5,6.6,17.3,431.1,78.2
HullCity_6227,45.45454545454545,9.0,9.545454545454545,3.3636363636363638,4.818181818181818,5.636363636363637,1.8888888888888888,30.272727272727273,14.909090909090908,3.090909090909091,2.090909090909091,27.727272727272727,6.818181818181818,17.363636363636363,438.27272727272725,78.72727272727273
HullCity_6237,44.416666666666664,9.583333333333334,9.333333333333334,3.25,4.75,5.25,2.1,30.666666666666668,14.916666666666666,3.3333333333333335,1.9166666666666667,27.5,7.0,17.083333333333332,427.9166666666667,78.16666666666667
HullCity_6247,44.92307692307692,9.538461538461538,9.23076923076923,3.230769230769231,4.769230769230769,5.461538461538462,2.0,30.307692307692307,14.76923076923077,3.4615384615384617,1.7692307692307692,27.76923076923077,7.3076923076923075,17.076923076923077,431.84615384615387,78.3076923076923
HullCity_6268,45.42857142857143,9.785714285714286,9.428571428571429,3.2857142857142856,4.857142857142857,5.357142857142857,1.9166666666666667,31.285714285714285,15.642857142857142,3.4285714285714284,1.7142857142857142,27.428571428571427,7.214285714285714,18.357142857142858,430.2857142857143,78.21428571428571
HullCity_6282,45.666666666666664,9.6,9.2,3.066666666666667,4.8,5.533333333333333,1.7692307692307692,30.733333333333334,15.6,3.466666666666667,1.7333333333333334,27.733333333333334,6.8,18.133333333333333,430.0,77.93333333333334
HullCity_6303,44.875,9.5,9.0,2.9375,4.6875,5.375,1.7857142857142858,30.125,15.3125,3.5625,1.75,28.0,6.6875,18.3125,424.3125,77.8125
HullCity_6310,45.470588235294116,9.235294117647058,9.294117647058824,2.9411764705882355,4.764705882352941,5.470588235294118,1.8,29.705882352941178,14.882352941176471,3.411764705882353,1.9411764705882353,28.176470588235293,7.0,18.823529411764707,424.94117647058823,77.6470588235294
HullCity_6324,45.611111111111114,9.444444444444445,9.277777777777779,2.8333333333333335,4.666666666666667,5.5,1.875,29.72222222222222,15.055555555555555,3.3333333333333335,2.0555555555555554,28.166666666666668,7.222222222222222,19.166666666666668,423.5,77.38888888888889
HullCity_6339,46.89473684210526,9.68421052631579,9.31578947368421,2.736842105263158,4.7368421052631575,5.578947368421052,2.0588235294117645,29.894736842105264,14.894736842105264,3.3333333333333335,2.1052631578947367,27.473684210526315,7.2631578947368425,19.36842105263158,426.8421052631579,77.47368421052632
