,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
TottenhamHotspur_6066,59.0,14.0,4.0,1.0,3.0,6.0,,27.0,11.0,5.0,5.0,24.0,12.0,42.0,485.0,80.0
TottenhamHotspur_6094,59.5,16.0,12.0,4.5,3.5,7.0,2.0,30.5,13.0,3.5,6.5,20.5,9.5,32.0,496.5,82.0
TottenhamHotspur_6108,59.333333333333336,13.666666666666666,14.333333333333334,4.666666666666667,4.666666666666667,8.0,1.5,30.666666666666668,14.0,2.6666666666666665,6.666666666666667,21.666666666666668,12.0,29.666666666666668,515.0,82.0
TottenhamHotspur_6129,62.5,12.75,15.75,5.5,4.25,8.0,1.6666666666666667,28.25,13.75,2.75,7.25,21.25,12.5,26.0,536.0,84.0
TottenhamHotspur_6136,62.4,13.2,15.8,5.2,4.6,7.2,2.25,24.8,11.8,2.4,7.0,22.4,12.0,26.2,537.4,83.8
TottenhamHotspur_6151,61.0,13.833333333333334,14.833333333333334,4.833333333333333,5.0,6.333333333333333,2.2,26.666666666666668,12.5,2.3333333333333335,5.833333333333333,22.0,12.0,25.5,534.5,82.33333333333333
TottenhamHotspur_6171,60.0,14.142857142857142,14.428571428571429,5.0,5.0,6.571428571428571,2.0,27.428571428571427,13.428571428571429,2.4285714285714284,5.142857142857143,22.857142857142858,12.571428571428571,25.142857142857142,523.5714285714286,82.14285714285714
TottenhamHotspur_6186,60.0,14.5,14.125,4.875,4.875,6.75,2.142857142857143,28.125,13.375,2.625,5.0,23.125,12.875,25.875,511.75,81.5
TottenhamHotspur_6203,60.55555555555556,14.666666666666666,14.444444444444445,4.888888888888889,5.111111111111111,7.111111111111111,2.375,27.666666666666668,13.0,2.4444444444444446,5.0,24.11111111111111,12.333333333333334,25.555555555555557,523.6666666666666,81.77777777777777
TottenhamHotspur_6206,61.1,13.8,15.0,5.0,5.7,6.7,2.111111111111111,27.7,13.2,2.3,4.7,24.2,11.6,26.2,528.5,82.0
TottenhamHotspur_6226,59.63636363636363,13.181818181818182,14.181818181818182,4.7272727272727275,5.454545454545454,6.454545454545454,2.3,27.636363636363637,13.545454545454545,2.5454545454545454,4.363636363636363,25.181818181818183,11.454545454545455,27.454545454545453,516.8181818181819,81.0
TottenhamHotspur_6236,60.666666666666664,13.166666666666666,14.083333333333334,4.5,5.333333333333333,6.916666666666667,2.090909090909091,28.083333333333332,13.416666666666666,2.4166666666666665,4.583333333333333,24.5,11.25,28.583333333333332,520.0833333333334,81.25
TottenhamHotspur_6247,59.76923076923077,13.23076923076923,13.461538461538462,4.230769230769231,5.230769230769231,6.615384615384615,2.3333333333333335,28.384615384615383,13.692307692307692,2.769230769230769,4.3076923076923075,24.615384615384617,11.384615384615385,28.53846153846154,512.1538461538462,80.38461538461539
TottenhamHotspur_6321,60.357142857142854,13.357142857142858,13.785714285714286,4.214285714285714,5.428571428571429,6.928571428571429,2.3846153846153846,29.5,14.357142857142858,2.642857142857143,4.428571428571429,25.0,11.5,28.5,518.0714285714286,80.57142857142857
TottenhamHotspur_6296,60.46666666666667,12.866666666666667,14.133333333333333,4.4,5.466666666666667,6.933333333333334,2.2142857142857144,30.4,14.733333333333333,2.6,4.533333333333333,24.266666666666666,11.4,28.266666666666666,521.6666666666666,80.66666666666667
TottenhamHotspur_6300,61.1875,12.5625,14.375,4.625,5.4375,6.9375,2.1333333333333333,30.25,14.875,2.4375,4.5625,24.75,10.9375,28.0625,529.0625,81.0625
TottenhamHotspur_6343,61.294117647058826,12.294117647058824,15.058823529411764,5.0588235294117645,5.764705882352941,6.764705882352941,2.0625,29.941176470588236,14.764705882352942,2.5294117647058822,4.470588235294118,24.941176470588236,11.529411764705882,27.823529411764707,530.9411764705883,81.29411764705883
TottenhamHotspur_6330,61.666666666666664,12.11111111111111,14.833333333333334,5.055555555555555,5.666666666666667,6.777777777777778,2.0588235294117645,30.055555555555557,14.88888888888889,2.611111111111111,4.333333333333333,24.88888888888889,11.444444444444445,28.11111111111111,533.1666666666666,81.11111111111111
TottenhamHotspur_6346,61.8421052631579,11.736842105263158,15.052631578947368,5.526315789473684,5.526315789473684,6.578947368421052,2.0588235294117645,29.210526315789473,14.473684210526315,2.6315789473684212,4.2105263157894735,24.526315789473685,11.631578947368421,27.894736842105264,536.6842105263158,81.42105263157895
