,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Watford_6066,39.0,12.0,3.0,1.0,2.0,2.0,2.0,25.0,16.0,5.0,0.0,34.0,8.0,11.0,303.0,64.0
Watford_6094,41.0,13.5,8.0,4.5,2.5,3.0,2.0,28.0,15.5,3.5,1.0,34.5,8.5,12.0,312.5,68.0
Watford_6110,46.0,14.0,9.333333333333334,4.0,3.0,4.0,2.3333333333333335,40.666666666666664,21.333333333333332,3.0,2.3333333333333335,29.0,9.0,15.333333333333334,366.6666666666667,69.66666666666667
Watford_6130,43.5,13.0,8.0,3.5,2.5,4.5,2.0,38.0,20.5,3.0,2.0,29.0,8.5,18.0,341.5,69.75
Watford_6136,44.0,13.6,8.4,3.2,2.6,4.0,1.8,37.4,19.4,3.4,2.6,27.6,7.8,18.2,349.6,71.0
Watford_6151,43.333333333333336,13.0,8.833333333333334,4.0,2.5,3.8333333333333335,1.8333333333333333,36.666666666666664,19.333333333333332,4.666666666666667,2.3333333333333335,25.5,9.0,18.0,354.0,70.83333333333333
Watford_6178,45.57142857142857,12.285714285714286,9.714285714285714,3.857142857142857,2.857142857142857,3.857142857142857,1.7142857142857142,38.0,19.142857142857142,4.0,3.0,24.571428571428573,8.285714285714286,19.285714285714285,365.85714285714283,71.57142857142857
Watford_6189,44.5,13.25,9.0,3.5,2.875,3.625,1.75,37.125,18.125,4.125,2.625,24.625,9.375,20.125,356.125,71.375
Watford_6192,46.0,12.777777777777779,9.11111111111111,3.3333333333333335,3.0,4.444444444444445,1.7777777777777777,37.888888888888886,18.11111111111111,4.0,2.4444444444444446,24.333333333333332,9.333333333333334,21.444444444444443,357.22222222222223,71.44444444444444
Watford_6208,46.0,13.0,9.5,3.6,3.1,4.6,1.8,39.1,18.7,3.9,2.5,24.5,9.0,22.0,356.5,71.1
Watford_6226,45.18181818181818,13.272727272727273,9.636363636363637,3.6363636363636362,3.0,4.545454545454546,1.8181818181818181,39.36363636363637,18.90909090909091,3.8181818181818183,2.727272727272727,24.454545454545453,8.454545454545455,21.363636363636363,353.0,70.36363636363636
Watford_6236,43.583333333333336,13.416666666666666,9.583333333333334,3.75,2.9166666666666665,4.583333333333333,1.9166666666666667,39.5,19.083333333333332,3.8333333333333335,2.6666666666666665,25.666666666666668,8.75,21.25,340.5833333333333,69.58333333333333
Watford_6247,43.53846153846154,13.307692307692308,9.538461538461538,3.6923076923076925,3.076923076923077,4.3076923076923075,1.7692307692307692,39.0,18.692307692307693,4.230769230769231,2.5384615384615383,26.692307692307693,8.846153846153847,20.53846153846154,347.15384615384613,70.07692307692308
Watford_6340,44.214285714285715,13.214285714285714,9.5,3.642857142857143,3.2142857142857144,4.214285714285714,2.0714285714285716,37.714285714285715,17.857142857142858,4.285714285714286,2.4285714285714284,26.785714285714285,8.857142857142858,20.857142857142858,359.7857142857143,71.21428571428571
Watford_6282,45.06666666666667,13.333333333333334,9.266666666666667,3.533333333333333,3.2666666666666666,4.066666666666666,2.066666666666667,38.0,18.066666666666666,4.0,2.2666666666666666,26.666666666666668,8.8,21.8,361.6666666666667,71.13333333333334
Watford_6303,44.9375,13.25,9.1875,3.4375,3.3125,4.125,2.0,36.75,17.3125,3.875,2.25,26.75,9.1875,21.375,360.625,71.6875
Watford_6317,46.1764705882353,13.117647058823529,9.411764705882353,3.3529411764705883,3.411764705882353,4.294117647058823,1.9411764705882353,36.35294117647059,17.11764705882353,3.7058823529411766,2.4705882352941178,26.41176470588235,9.176470588235293,21.470588235294116,373.11764705882354,72.47058823529412
Watford_6331,46.833333333333336,12.944444444444445,9.722222222222221,3.5555555555555554,3.5555555555555554,4.111111111111111,1.941176470588235,36.888888888888886,17.38888888888889,3.611111111111111,2.4444444444444446,25.88888888888889,9.333333333333334,21.555555555555557,379.27777777777777,73.05555555555556
Watford_6337,46.31578947368421,12.842105263157896,9.947368421052632,3.473684210526316,3.6842105263157894,4.315789473684211,1.9969040247678016,37.89473684210526,17.789473684210527,3.6842105263157894,2.6315789473684212,25.736842105263158,9.368421052631579,21.210526315789473,375.6842105263158,73.15789473684211
