,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
WestHamUnited_6068,40.0,16.0,5.0,3.0,2.0,1.0,2.0,46.0,23.0,4.0,2.0,42.0,3.0,12.0,351.0,75.0
WestHamUnited_6081,36.5,13.0,7.0,2.5,3.5,2.5,2.5,41.5,22.5,3.0,2.0,39.0,9.0,16.5,313.5,73.5
WestHamUnited_6101,48.333333333333336,10.666666666666666,12.333333333333334,3.3333333333333335,5.333333333333333,3.6666666666666665,2.0,33.666666666666664,18.666666666666668,2.6666666666666665,4.333333333333333,35.333333333333336,11.0,17.666666666666668,413.3333333333333,79.0
WestHamUnited_6129,47.25,11.25,12.25,3.5,5.25,4.25,2.75,35.75,19.0,2.75,4.0,34.25,10.75,18.25,395.0,77.25
WestHamUnited_6144,48.4,11.4,12.4,3.4,5.0,5.0,2.8,33.0,17.0,3.0,4.4,31.6,10.6,18.0,399.8,78.6
WestHamUnited_6164,45.833333333333336,12.166666666666666,12.166666666666666,3.3333333333333335,4.666666666666667,5.0,3.0,31.333333333333332,16.333333333333332,3.0,4.5,31.833333333333332,11.333333333333334,18.0,382.6666666666667,77.5
WestHamUnited_6172,43.857142857142854,12.714285714285714,11.428571428571429,3.4285714285714284,4.428571428571429,4.857142857142857,2.7142857142857144,32.0,15.428571428571429,3.5714285714285716,3.857142857142857,30.857142857142858,11.428571428571429,18.0,368.2857142857143,76.28571428571429
WestHamUnited_6186,42.375,12.125,10.875,3.375,4.25,4.75,2.375,32.625,16.125,3.25,3.5,29.25,10.5,18.5,358.875,75.25
WestHamUnited_6201,42.55555555555556,12.11111111111111,11.0,3.5555555555555554,4.222222222222222,4.666666666666667,2.375,34.111111111111114,17.666666666666668,3.5555555555555554,3.4444444444444446,29.0,10.555555555555555,18.444444444444443,364.6666666666667,75.55555555555556
WestHamUnited_6206,44.3,11.7,12.3,3.5,4.8,4.9,2.4375,36.4,19.7,3.5,4.1,28.0,10.3,19.1,376.4,75.7
WestHamUnited_6226,43.81818181818182,11.909090909090908,12.363636363636363,3.6363636363636362,4.818181818181818,4.909090909090909,2.3068181818181817,36.90909090909091,19.90909090909091,3.272727272727273,4.0,28.454545454545453,10.0,18.90909090909091,373.27272727272725,75.72727272727273
WestHamUnited_6240,43.916666666666664,12.166666666666666,11.833333333333334,3.6666666666666665,4.5,4.666666666666667,2.28125,37.0,20.25,3.5,3.75,28.0,9.666666666666666,18.583333333333332,374.6666666666667,75.75
WestHamUnited_6261,45.46153846153846,12.307692307692308,12.0,3.5384615384615383,4.6923076923076925,4.769230769230769,2.3365384615384617,38.23076923076923,20.384615384615383,3.230769230769231,3.769230769230769,27.384615384615383,10.0,19.076923076923077,381.3076923076923,76.07692307692308
WestHamUnited_6275,45.642857142857146,12.5,12.214285714285714,3.7857142857142856,4.642857142857143,4.857142857142857,2.3125,38.142857142857146,20.142857142857142,3.4285714285714284,3.7857142857142856,27.857142857142858,10.357142857142858,19.5,378.07142857142856,76.14285714285714
WestHamUnited_6296,46.266666666666666,12.266666666666667,12.2,3.8,4.8,4.866666666666666,2.2916666666666665,37.53333333333333,20.066666666666666,3.2666666666666666,3.6,27.333333333333332,10.4,20.6,383.3333333333333,76.33333333333333
WestHamUnited_6300,45.5,11.8125,11.875,3.6875,4.75,4.5625,2.2734375,36.9375,19.625,3.375,3.4375,27.6875,11.0,20.625,381.1875,76.375
WestHamUnited_6310,45.94117647058823,11.705882352941176,11.588235294117647,3.6470588235294117,4.588235294117647,4.352941176470588,2.2573529411764706,36.05882352941177,19.176470588235293,3.2941176470588234,3.3529411764705883,27.176470588235293,10.941176470588236,20.529411764705884,383.2352941176471,76.41176470588235
WestHamUnited_6324,45.833333333333336,11.222222222222221,11.61111111111111,3.6666666666666665,4.555555555555555,4.277777777777778,2.1319444444444446,36.388888888888886,19.27777777777778,3.3333333333333335,3.388888888888889,27.22222222222222,11.0,20.38888888888889,382.55555555555554,76.55555555555556
WestHamUnited_6346,46.36842105263158,11.368421052631579,11.736842105263158,3.6842105263157894,4.578947368421052,4.315789473684211,2.125,36.89473684210526,19.36842105263158,3.1578947368421053,3.473684210526316,26.68421052631579,10.947368421052632,20.473684210526315,388.36842105263156,76.52631578947368
