,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Everton_6066,41.0,10.0,9.0,7.0,2.0,5.0,,27.0,16.0,3.0,2.0,38.0,8.0,20.0,357.0,73.0
Everton_6080,50.5,12.0,15.0,8.0,4.5,7.0,2.0,30.5,15.5,2.0,3.5,36.0,13.5,17.0,421.0,78.0
Everton_6101,51.0,9.666666666666666,13.666666666666666,7.333333333333333,4.333333333333333,6.666666666666667,2.0,33.0,16.0,1.3333333333333333,2.6666666666666665,33.0,15.666666666666666,16.666666666666668,461.0,80.0
Everton_6114,52.25,11.25,13.5,6.25,4.75,7.5,3.0,36.0,17.75,1.25,3.0,32.75,15.5,19.5,446.0,78.75
Everton_6144,51.2,12.0,14.2,6.2,4.6,7.6,2.75,33.2,16.8,1.6,3.8,31.2,15.0,17.2,438.2,79.4
Everton_6164,53.0,12.166666666666666,14.166666666666666,6.166666666666667,4.833333333333333,8.0,3.2,32.5,17.5,1.6666666666666667,3.5,29.166666666666668,14.666666666666666,19.333333333333332,446.8333333333333,79.16666666666667
Everton_6179,51.857142857142854,12.285714285714286,14.0,6.142857142857143,4.714285714285714,7.714285714285714,3.0,34.714285714285715,18.0,1.5714285714285714,3.4285714285714284,29.428571428571427,14.142857142857142,20.0,437.14285714285717,77.57142857142857
Everton_6188,50.625,12.0,14.0,5.875,4.75,7.75,3.0,35.75,18.5,1.625,3.625,29.75,13.75,21.0,427.125,76.625
Everton_6194,48.55555555555556,12.11111111111111,13.11111111111111,5.333333333333333,4.555555555555555,7.0,3.0,37.22222222222222,19.77777777777778,1.7777777777777777,3.4444444444444446,29.0,13.11111111111111,21.22222222222222,411.44444444444446,75.22222222222223
Everton_6207,49.1,11.4,13.5,5.4,4.6,7.3,2.6666666666666665,36.9,19.8,1.9,3.7,29.2,13.0,21.4,418.5,75.2
Everton_6220,47.18181818181818,11.909090909090908,12.818181818181818,5.2727272727272725,4.2727272727272725,6.909090909090909,2.6,35.63636363636363,18.727272727272727,2.1818181818181817,3.4545454545454546,29.727272727272727,13.545454545454545,20.818181818181817,405.3636363636364,74.54545454545455
Everton_6240,47.083333333333336,12.083333333333334,13.0,5.666666666666667,4.083333333333333,6.666666666666667,2.6363636363636362,34.333333333333336,18.0,2.4166666666666665,3.4166666666666665,29.75,14.166666666666666,20.333333333333332,411.4166666666667,75.16666666666667
Everton_6261,48.30769230769231,11.923076923076923,13.615384615384615,5.846153846153846,4.461538461538462,6.923076923076923,2.4166666666666665,34.0,17.53846153846154,2.3076923076923075,3.3846153846153846,29.384615384615383,13.76923076923077,19.923076923076923,418.7692307692308,75.76923076923077
Everton_6275,49.357142857142854,11.642857142857142,13.785714285714286,5.714285714285714,4.571428571428571,6.714285714285714,2.3076923076923075,34.142857142857146,17.285714285714285,2.2857142857142856,3.5,28.857142857142858,13.285714285714286,19.928571428571427,431.64285714285717,76.21428571428571
Everton_6282,49.46666666666667,11.466666666666667,13.8,5.866666666666666,4.533333333333333,6.6,2.2857142857142856,33.4,16.666666666666668,2.1333333333333333,3.4,28.266666666666666,13.0,20.6,433.1333333333333,76.53333333333333
Everton_6304,50.125,11.25,13.6875,5.9375,4.3125,6.4375,2.2666666666666666,33.4375,16.6875,2.125,3.4375,28.3125,13.0,21.3125,443.1875,76.8125
Everton_6310,50.88235294117647,11.470588235294118,14.647058823529411,6.0,4.588235294117647,6.411764705882353,2.25,33.8235294117647,16.647058823529413,2.2941176470588234,4.0,28.176470588235293,12.647058823529411,21.058823529411764,447.5882352941176,77.23529411764706
Everton_6325,50.833333333333336,11.555555555555555,14.5,5.888888888888889,4.666666666666667,6.166666666666667,2.2941176470588234,33.55555555555556,16.444444444444443,2.2777777777777777,3.888888888888889,28.833333333333332,12.444444444444445,20.72222222222222,446.27777777777777,77.27777777777777
Everton_6337,51.473684210526315,11.31578947368421,14.526315789473685,5.894736842105263,4.631578947368421,6.315789473684211,2.1666666666666665,34.73684210526316,17.210526315789473,2.263157894736842,3.9473684210526314,28.42105263157895,12.157894736842104,20.736842105263158,451.2105263157895,77.57894736842105
