,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Liverpool_6094,63.0,4.0,17.0,11.0,2.0,1.0,1.0,43.0,17.0,2.0,4.0,22.0,14.0,29.0,612.0,80.0
Liverpool_6108,68.5,6.0,24.5,11.5,5.5,7.0,1.0,30.0,13.0,1.0,7.5,26.0,16.5,22.5,687.5,85.5
Liverpool_6131,67.33333333333333,8.666666666666666,19.333333333333332,8.666666666666666,4.666666666666667,5.666666666666667,0.6666666666666666,34.0,12.0,1.0,6.0,29.666666666666668,14.333333333333334,23.666666666666668,666.0,84.0
Liverpool_6136,67.5,8.75,19.75,8.25,5.25,5.0,0.75,37.75,16.75,0.75,6.25,27.75,12.5,22.5,666.5,84.0
Liverpool_6151,66.0,9.8,21.4,10.0,6.0,5.2,0.8,36.8,16.2,2.0,5.4,29.0,11.2,22.2,645.8,83.0
Liverpool_6171,68.0,9.0,22.333333333333332,9.5,7.166666666666667,5.833333333333333,0.8333333333333334,35.833333333333336,15.166666666666666,1.8333333333333333,5.666666666666667,28.0,10.666666666666666,21.166666666666668,655.6666666666666,83.66666666666667
Liverpool_6186,68.0,8.714285714285714,21.857142857142858,8.571428571428571,7.142857142857143,6.571428571428571,1.0,36.0,15.285714285714286,1.7142857142857142,6.0,26.142857142857142,9.714285714285714,21.714285714285715,651.5714285714286,83.71428571428571
Liverpool_6202,67.5,8.75,21.75,8.375,7.0,6.75,0.875,37.125,15.0,1.625,6.25,27.0,9.625,22.875,648.125,83.5
Liverpool_6206,64.77777777777777,9.11111111111111,19.88888888888889,7.555555555555555,6.555555555555555,6.444444444444445,1.0,38.333333333333336,15.666666666666666,1.6666666666666667,5.666666666666667,28.666666666666668,9.333333333333334,24.0,624.4444444444445,82.0
Liverpool_6226,65.6,8.9,19.5,7.3,6.6,6.4,1.0,37.2,15.4,1.5,5.5,29.9,9.5,23.8,640.4,82.5
Liverpool_6236,65.27272727272727,9.272727272727273,18.363636363636363,6.909090909090909,6.181818181818182,6.090909090909091,1.0909090909090908,38.18181818181818,15.909090909090908,1.4545454545454546,5.181818181818182,29.272727272727273,9.090909090909092,24.727272727272727,640.0,82.27272727272727
Liverpool_6247,64.08333333333333,9.666666666666666,18.166666666666668,7.0,6.0,6.416666666666667,1.25,37.666666666666664,15.833333333333334,1.5,5.083333333333333,29.416666666666668,8.75,25.416666666666668,621.75,81.33333333333333
Liverpool_6268,63.30769230769231,9.538461538461538,18.384615384615383,6.923076923076923,6.153846153846154,6.615384615384615,1.2307692307692308,38.07692307692308,16.0,1.5384615384615385,5.153846153846154,29.0,8.76923076923077,24.923076923076923,608.9230769230769,80.92307692307692
Liverpool_6276,63.42857142857143,9.714285714285714,17.785714285714285,6.642857142857143,5.857142857142857,6.928571428571429,1.2857142857142858,39.57142857142857,16.642857142857142,1.4285714285714286,5.142857142857143,27.428571428571427,8.571428571428571,24.571428571428573,605.7142857142857,80.5
Liverpool_6296,62.6,10.2,17.266666666666666,6.6,5.533333333333333,6.6,1.2666666666666666,40.6,17.4,1.5333333333333334,5.0,28.2,9.2,24.266666666666666,596.5333333333333,80.33333333333333
Liverpool_6300,62.875,10.25,17.4375,6.6875,5.75,6.625,1.25,40.5,17.625,1.4375,4.875,28.6875,9.5625,24.625,595.4375,80.625
Liverpool_6318,63.411764705882355,10.117647058823529,17.470588235294116,6.588235294117647,5.823529411764706,6.470588235294118,1.2352941176470589,40.23529411764706,17.41176470588235,1.411764705882353,4.9411764705882355,29.11764705882353,9.882352941176471,24.823529411764707,597.4705882352941,80.76470588235294
Liverpool_6332,63.5,10.055555555555555,17.444444444444443,6.666666666666667,5.722222222222222,6.277777777777778,1.2222222222222223,39.5,17.27777777777778,1.3333333333333333,4.944444444444445,28.38888888888889,9.833333333333334,25.22222222222222,597.6111111111111,80.88888888888889
Liverpool_6346,64.05263157894737,10.210526315789474,17.842105263157894,6.842105263157895,5.894736842105263,6.105263157894737,1.1578947368421053,38.78947368421053,16.736842105263158,1.4210526315789473,5.0,27.789473684210527,9.842105263157896,25.31578947368421,605.6842105263158,81.3157894736842
