,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ManchesterCity_6066,70.0,11.0,17.0,6.0,11.0,9.0,1.0,36.0,16.0,2.0,4.0,19.0,15.0,27.0,678.0,85.0
ManchesterCity_6081,68.5,8.0,19.5,5.5,10.5,7.0,1.0,36.5,15.5,1.5,5.5,27.0,16.5,26.0,632.5,86.0
ManchesterCity_6101,67.0,8.0,19.666666666666668,7.666666666666667,8.0,6.333333333333333,1.0,27.333333333333332,12.333333333333334,1.6666666666666667,5.333333333333333,33.666666666666664,15.333333333333334,23.0,617.6666666666666,87.0
ManchesterCity_6129,68.25,7.75,19.5,7.75,7.25,8.0,0.75,28.0,12.25,1.5,5.5,31.25,15.0,22.25,628.0,87.0
ManchesterCity_6137,67.6,8.4,18.4,6.8,7.2,8.4,1.2,28.8,13.2,1.4,5.2,30.4,15.2,23.4,619.4,86.4
ManchesterCity_6150,68.16666666666667,8.166666666666666,19.5,6.833333333333333,7.833333333333333,8.333333333333334,1.1666666666666667,29.166666666666668,13.833333333333334,1.5,5.5,30.666666666666668,15.5,23.333333333333332,621.3333333333334,86.5
ManchesterCity_6178,67.14285714285714,9.0,19.0,6.714285714285714,7.714285714285714,8.428571428571429,1.2857142857142858,27.714285714285715,13.714285714285714,1.4285714285714286,5.0,30.285714285714285,14.571428571428571,23.142857142857142,609.8571428571429,86.14285714285714
ManchesterCity_6189,66.625,9.875,18.375,6.75,7.25,8.0,1.25,28.125,14.5,1.5,4.625,31.375,14.375,22.75,596.625,85.375
ManchesterCity_6193,66.0,9.777777777777779,18.0,6.555555555555555,7.222222222222222,8.0,1.5555555555555556,28.666666666666668,15.11111111111111,1.3333333333333333,4.333333333333333,31.11111111111111,14.0,23.11111111111111,596.3333333333334,85.22222222222223
ManchesterCity_6207,64.9,9.9,17.5,6.2,6.9,8.0,1.8,32.0,16.8,1.4,4.5,29.4,13.4,22.7,581.9,84.7
ManchesterCity_6226,64.0,9.909090909090908,17.454545454545453,6.2727272727272725,7.090909090909091,7.7272727272727275,1.8181818181818181,31.545454545454547,16.181818181818183,1.2727272727272727,4.181818181818182,29.636363636363637,13.545454545454545,23.0,572.0909090909091,83.9090909090909
ManchesterCity_6241,64.41666666666667,9.833333333333334,17.416666666666668,6.166666666666667,6.916666666666667,7.916666666666667,1.8333333333333333,31.916666666666668,16.25,1.25,4.416666666666667,29.0,13.75,22.333333333333332,583.0833333333334,84.33333333333333
ManchesterCity_6322,64.76923076923077,9.846153846153847,17.615384615384617,6.153846153846154,7.0,7.846153846153846,1.7692307692307692,30.923076923076923,15.846153846153847,1.2307692307692308,4.461538461538462,29.307692307692307,13.846153846153847,22.153846153846153,587.7692307692307,84.46153846153847
ManchesterCity_6272,64.78571428571429,9.714285714285714,17.214285714285715,5.785714285714286,7.0,7.857142857142857,1.7142857142857142,31.285714285714285,15.785714285714286,1.2857142857142858,4.428571428571429,29.5,13.928571428571429,22.428571428571427,590.5,84.28571428571429
ManchesterCity_6283,64.46666666666667,10.0,17.0,5.6,7.066666666666666,7.933333333333334,1.8,30.933333333333334,15.333333333333334,1.4,4.266666666666667,29.933333333333334,14.2,22.266666666666666,588.6,84.46666666666667
ManchesterCity_6303,64.625,9.75,17.375,5.6875,7.25,7.875,1.6875,30.3125,15.0,1.3125,4.375,29.75,14.0,22.5625,596.375,84.8125
ManchesterCity_6341,65.0,9.647058823529411,17.58823529411765,5.9411764705882355,7.352941176470588,7.823529411764706,1.6470588235294117,29.764705882352942,15.0,1.2941176470588236,4.235294117647059,29.941176470588236,14.0,22.470588235294116,601.6470588235294,85.0
ManchesterCity_6331,65.22222222222223,9.777777777777779,18.11111111111111,6.277777777777778,7.5,7.888888888888889,1.6111111111111112,29.555555555555557,14.944444444444445,1.3333333333333333,4.222222222222222,29.72222222222222,14.38888888888889,21.944444444444443,602.1666666666666,85.16666666666667
ManchesterCity_6338,65.26315789473684,9.894736842105264,18.105263157894736,6.2631578947368425,7.368421052631579,7.947368421052632,1.6842105263157894,29.31578947368421,15.105263157894736,1.4210526315789473,4.368421052631579,29.157894736842106,14.105263157894736,22.105263157894736,599.0,85.15789473684211
