,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ManchesterUnited_6072,46.0,11.0,12.0,5.0,7.0,4.0,,19.0,13.0,1.0,1.0,14.0,16.0,29.0,408.0,83.0
ManchesterUnited_6094,43.0,13.0,13.0,4.0,6.5,4.0,4.0,27.5,17.5,2.5,3.0,24.5,16.0,22.5,392.0,79.0
ManchesterUnited_6108,51.0,11.666666666666666,14.0,5.0,7.0,5.333333333333333,2.0,27.666666666666668,17.0,2.3333333333333335,2.3333333333333335,22.0,12.0,24.0,498.0,81.66666666666667
ManchesterUnited_6116,55.0,12.25,16.5,6.0,7.0,7.25,2.3333333333333335,26.5,16.0,3.0,3.75,23.25,11.5,25.0,507.0,83.25
ManchesterUnited_6143,56.8,12.2,20.4,7.0,7.2,9.6,2.5,29.4,16.6,2.6,6.6,21.0,12.0,25.0,533.2,84.4
ManchesterUnited_6164,54.833333333333336,12.5,19.0,6.666666666666667,6.833333333333333,9.666666666666666,2.6,30.166666666666668,15.666666666666666,2.1666666666666665,5.833333333333333,22.5,11.833333333333334,25.833333333333332,518.3333333333334,83.66666666666667
ManchesterUnited_6172,56.714285714285715,13.0,19.0,6.857142857142857,7.428571428571429,9.428571428571429,2.6666666666666665,31.0,17.142857142857142,2.0,5.285714285714286,23.0,11.428571428571429,25.714285714285715,531.7142857142857,84.28571428571429
ManchesterUnited_6186,54.625,13.75,18.625,6.625,7.0,8.625,2.7142857142857144,31.25,17.5,2.25,5.375,24.875,10.5,25.375,501.0,82.375
ManchesterUnited_6201,55.44444444444444,12.88888888888889,19.555555555555557,7.0,7.444444444444445,8.222222222222221,2.5,28.88888888888889,16.11111111111111,2.3333333333333335,5.444444444444445,24.0,10.555555555555555,24.11111111111111,512.6666666666666,83.0
ManchesterUnited_6206,56.5,12.5,20.9,7.4,7.9,8.6,2.3333333333333335,29.1,16.6,2.2,5.7,24.0,11.7,23.2,522.5,83.4
ManchesterUnited_6220,56.36363636363637,12.909090909090908,19.90909090909091,7.0,7.636363636363637,8.272727272727273,2.2,30.636363636363637,17.09090909090909,2.272727272727273,5.2727272727272725,24.272727272727273,11.545454545454545,24.09090909090909,519.6363636363636,82.72727272727273
ManchesterUnited_6237,57.25,13.5,19.583333333333332,7.0,7.333333333333333,8.166666666666666,2.090909090909091,31.0,17.333333333333332,2.25,5.25,24.5,11.333333333333334,24.833333333333332,529.25,82.91666666666667
ManchesterUnited_6247,57.23076923076923,13.23076923076923,19.846153846153847,7.3076923076923075,7.384615384615385,7.923076923076923,2.0,31.153846153846153,17.46153846153846,2.3076923076923075,5.153846153846154,25.692307692307693,11.923076923076923,24.076923076923077,533.3076923076923,83.0
ManchesterUnited_6268,57.92857142857143,12.857142857142858,20.357142857142858,7.428571428571429,7.571428571428571,8.428571428571429,2.076923076923077,31.142857142857142,17.571428571428573,2.142857142857143,5.357142857142857,25.714285714285715,11.714285714285714,24.071428571428573,539.2857142857143,83.35714285714286
ManchesterUnited_6296,59.06666666666667,13.0,20.2,7.133333333333334,7.6,8.266666666666667,2.142857142857143,30.933333333333334,17.4,2.066666666666667,5.466666666666667,25.6,11.666666666666666,23.733333333333334,554.1333333333333,83.66666666666667
ManchesterUnited_6299,59.1875,12.8125,20.1875,6.875,7.625,8.125,2.066666666666667,30.5,17.0625,2.125,5.5625,25.625,11.6875,23.375,555.8125,83.75
ManchesterUnited_6311,58.411764705882355,13.0,19.529411764705884,6.647058823529412,7.529411764705882,7.705882352941177,2.125,30.11764705882353,16.88235294117647,2.0,5.235294117647059,26.176470588235293,11.529411764705882,22.88235294117647,547.5882352941177,83.3529411764706
ManchesterUnited_6325,58.22222222222222,12.88888888888889,19.11111111111111,6.611111111111111,7.388888888888889,7.555555555555555,2.1176470588235294,29.944444444444443,16.38888888888889,2.0555555555555554,5.0,26.055555555555557,11.444444444444445,22.444444444444443,546.0,83.44444444444444
ManchesterUnited_6346,58.26315789473684,13.052631578947368,18.57894736842105,6.368421052631579,7.157894736842105,7.315789473684211,2.111111111111111,29.526315789473685,15.842105263157896,2.0,4.947368421052632,26.42105263157895,11.736842105263158,22.157894736842106,545.6315789473684,83.6842105263158
