,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SunderlandA.F.C_6074,51.0,11.0,19.0,6.0,13.0,8.0,1.0,35.0,18.0,1.0,7.0,23.0,21.0,27.0,401.0,77.0
SunderlandA.F.C_6096,42.0,11.0,15.0,4.0,7.0,6.5,1.0,25.0,14.0,3.5,7.5,22.0,16.5,19.5,343.5,75.0
SunderlandA.F.C_6108,43.333333333333336,12.333333333333334,13.666666666666666,4.0,6.0,5.333333333333333,0.6666666666666666,31.0,16.333333333333332,2.6666666666666665,6.0,21.333333333333332,13.666666666666666,18.666666666666668,349.3333333333333,73.66666666666667
SunderlandA.F.C_6115,46.5,11.0,12.0,3.0,5.5,5.5,0.75,32.5,17.0,3.5,4.75,21.25,12.25,17.0,368.5,74.5
SunderlandA.F.C_6143,44.0,10.6,10.2,2.6,4.6,4.4,1.4,32.0,16.0,3.4,4.0,22.8,11.4,17.2,354.6,74.0
SunderlandA.F.C_6164,43.666666666666664,10.333333333333334,10.333333333333334,2.8333333333333335,4.333333333333333,4.0,1.6666666666666667,31.333333333333332,16.833333333333332,4.0,4.0,22.166666666666668,10.5,17.5,358.0,74.83333333333333
SunderlandA.F.C_6178,45.0,10.0,12.142857142857142,3.4285714285714284,5.0,3.857142857142857,1.8571428571428572,30.571428571428573,16.0,4.0,4.428571428571429,22.0,11.571428571428571,18.142857142857142,365.2857142857143,75.28571428571429
SunderlandA.F.C_6189,43.625,10.625,11.5,3.375,4.875,4.0,2.0,31.25,16.25,4.125,4.0,22.875,11.0,17.375,359.125,75.0
SunderlandA.F.C_6192,43.44444444444444,10.555555555555555,11.11111111111111,3.3333333333333335,4.666666666666667,4.0,1.8888888888888888,32.666666666666664,17.333333333333332,4.111111111111111,4.111111111111111,23.333333333333332,10.666666666666666,17.444444444444443,349.44444444444446,74.22222222222223
SunderlandA.F.C_6207,41.9,10.5,11.1,3.6,4.2,3.8,1.9,31.5,16.4,5.0,4.2,24.5,10.2,17.1,343.6,73.7
SunderlandA.F.C_6219,42.72727272727273,11.0,11.363636363636363,3.5454545454545454,4.2727272727272725,3.909090909090909,2.0,31.818181818181817,15.727272727272727,4.818181818181818,4.363636363636363,24.727272727272727,9.818181818181818,19.0,351.3636363636364,74.0909090909091
SunderlandA.F.C_6236,41.5,10.833333333333334,10.833333333333334,3.3333333333333335,4.083333333333333,3.75,2.0,31.916666666666668,16.166666666666668,4.666666666666667,4.166666666666667,25.333333333333332,9.5,18.666666666666668,340.6666666666667,73.08333333333333
SunderlandA.F.C_6247,41.84615384615385,10.923076923076923,10.461538461538462,3.1538461538461537,3.8461538461538463,3.923076923076923,1.9230769230769231,31.923076923076923,16.46153846153846,4.615384615384615,4.153846153846154,25.0,9.307692307692308,19.692307692307693,348.53846153846155,73.46153846153847
SunderlandA.F.C_6269,40.857142857142854,11.0,10.642857142857142,3.2142857142857144,3.9285714285714284,4.071428571428571,1.8571428571428572,31.214285714285715,15.928571428571429,4.642857142857143,4.071428571428571,25.714285714285715,9.357142857142858,19.857142857142858,344.2142857142857,73.21428571428571
SunderlandA.F.C_6282,41.06666666666667,11.2,10.866666666666667,3.3333333333333335,4.133333333333334,4.0,1.9333333333333333,32.93333333333333,16.733333333333334,4.533333333333333,3.933333333333333,25.533333333333335,9.066666666666666,19.8,340.4,72.6
SunderlandA.F.C_6304,40.375,11.375,10.75,3.375,4.0625,4.0,1.875,32.8125,16.4375,4.625,3.8125,25.6875,9.125,19.625,333.6875,72.3125
SunderlandA.F.C_6310,40.76470588235294,11.529411764705882,10.941176470588236,3.411764705882353,4.176470588235294,4.176470588235294,1.8235294117647058,32.1764705882353,16.058823529411764,4.411764705882353,3.823529411764706,25.764705882352942,8.941176470588236,19.823529411764707,335.2352941176471,72.6470588235294
SunderlandA.F.C_6324,40.77777777777778,11.61111111111111,11.277777777777779,3.5,4.444444444444445,4.277777777777778,1.8888888888888888,32.22222222222222,16.166666666666668,4.5,3.7777777777777777,26.11111111111111,8.833333333333334,19.77777777777778,335.27777777777777,72.77777777777777
SunderlandA.F.C_6338,41.421052631578945,11.68421052631579,11.368421052631579,3.526315789473684,4.526315789473684,4.473684210526316,2.0,31.789473684210527,15.736842105263158,4.315789473684211,3.736842105263158,25.842105263157894,8.789473684210526,20.105263157894736,340.7894736842105,73.26315789473684
