,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
TottenhamHotspur_6073,51.0,19.0,16.0,4.0,12.0,10.0,3.0,22.0,14.0,1.0,6.0,42.0,10.0,18.0,441.0,80.0
TottenhamHotspur_6080,50.0,15.0,13.5,4.0,8.5,7.5,3.0,20.5,14.0,1.5,4.0,33.5,10.5,22.5,430.5,76.5
TottenhamHotspur_6102,58.0,12.333333333333334,19.333333333333332,5.666666666666667,10.666666666666666,9.666666666666666,2.3333333333333335,23.333333333333332,15.666666666666666,1.6666666666666667,5.0,31.333333333333332,11.333333333333334,24.333333333333332,492.0,80.66666666666667
TottenhamHotspur_6116,54.0,14.25,17.75,6.0,9.0,8.25,2.25,24.25,14.75,2.75,4.25,35.75,11.5,24.25,454.5,78.5
TottenhamHotspur_6143,55.4,13.6,18.6,5.8,9.4,8.2,2.4,27.8,17.8,2.2,4.6,31.6,11.8,26.6,462.8,79.2
TottenhamHotspur_6164,57.333333333333336,13.5,17.833333333333332,5.833333333333333,8.5,7.5,2.5,27.0,16.5,2.0,4.5,31.166666666666668,11.666666666666666,26.5,484.8333333333333,80.16666666666667
TottenhamHotspur_6178,57.714285714285715,13.142857142857142,19.285714285714285,7.142857142857143,8.285714285714286,7.142857142857143,2.142857142857143,26.714285714285715,16.142857142857142,1.7142857142857142,4.714285714285714,29.857142857142858,12.571428571428571,26.285714285714285,498.0,80.85714285714286
TottenhamHotspur_6189,58.375,12.25,20.0,7.375,8.0,6.875,1.875,27.625,15.875,2.125,5.625,28.0,12.625,24.75,519.75,81.75
TottenhamHotspur_6193,58.55555555555556,12.0,21.333333333333332,7.666666666666667,8.444444444444445,7.333333333333333,1.7777777777777777,29.22222222222222,16.77777777777778,2.0,6.0,27.11111111111111,13.0,24.88888888888889,515.4444444444445,82.0
TottenhamHotspur_6209,57.3,11.7,20.4,7.4,8.2,6.7,1.9,29.7,17.1,2.0,5.5,27.8,12.8,25.4,507.9,81.4
TottenhamHotspur_6219,58.72727272727273,11.636363636363637,20.545454545454547,7.818181818181818,8.090909090909092,6.818181818181818,1.7272727272727273,28.727272727272727,16.454545454545453,1.8181818181818181,5.2727272727272725,27.454545454545453,12.909090909090908,25.454545454545453,522.6363636363636,82.0
TottenhamHotspur_6240,59.25,11.333333333333334,20.333333333333332,7.583333333333333,7.916666666666667,7.166666666666667,1.5833333333333333,29.833333333333332,16.666666666666668,1.6666666666666667,5.333333333333333,27.5,12.5,26.333333333333332,527.3333333333334,82.25
TottenhamHotspur_6262,59.61538461538461,11.307692307692308,20.46153846153846,7.6923076923076925,7.846153846153846,7.230769230769231,1.6153846153846154,29.53846153846154,16.23076923076923,1.7692307692307692,5.3076923076923075,26.923076923076923,12.307692307692308,26.307692307692307,531.6153846153846,82.53846153846153
TottenhamHotspur_6269,59.0,11.142857142857142,20.5,7.642857142857143,7.642857142857143,7.214285714285714,1.5714285714285714,29.571428571428573,16.428571428571427,1.7857142857142858,5.5,26.571428571428573,12.142857142857142,26.642857142857142,526.0,82.35714285714286
TottenhamHotspur_6283,58.46666666666667,11.2,19.933333333333334,7.533333333333333,7.266666666666667,7.066666666666666,1.6666666666666667,29.2,16.066666666666666,1.8,5.4,26.133333333333333,11.933333333333334,26.666666666666668,521.5333333333333,81.86666666666666
TottenhamHotspur_6303,58.375,11.25,20.0,7.4375,7.125,7.0625,1.5625,28.5,15.8125,1.8125,5.5625,26.875,12.0625,26.6875,520.0625,82.1875
TottenhamHotspur_6310,59.0,11.058823529411764,20.235294117647058,7.823529411764706,6.764705882352941,7.411764705882353,1.4705882352941178,28.235294117647058,15.764705882352942,1.7647058823529411,5.764705882352941,26.294117647058822,11.882352941176471,26.647058823529413,528.0,82.58823529411765
TottenhamHotspur_6325,58.55555555555556,10.833333333333334,20.27777777777778,8.0,6.722222222222222,7.777777777777778,1.4444444444444444,28.0,15.61111111111111,1.8888888888888888,5.611111111111111,26.166666666666668,11.833333333333334,26.5,521.7222222222222,82.38888888888889
TottenhamHotspur_6339,58.63157894736842,11.0,20.0,7.947368421052632,6.631578947368421,7.7894736842105265,1.4210526315789473,27.57894736842105,15.473684210526315,1.8421052631578947,5.421052631578948,26.105263157894736,11.789473684210526,26.42105263157895,522.0526315789474,82.36842105263158
