,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
WestBromwich_6073,35.0,16.0,5.0,3.0,2.0,7.0,3.0,27.0,14.0,1.0,2.0,39.0,14.0,13.0,282.0,62.0
WestBromwich_6081,38.0,14.0,9.0,2.5,4.0,6.0,2.0,39.5,17.5,1.5,3.5,30.0,13.0,16.5,316.0,68.0
WestBromwich_6101,34.666666666666664,14.0,8.666666666666666,3.6666666666666665,3.3333333333333335,4.666666666666667,2.0,32.333333333333336,14.0,2.0,2.3333333333333335,30.666666666666668,10.0,16.0,295.3333333333333,69.66666666666667
WestBromwich_6129,33.0,14.0,8.5,3.75,3.25,4.75,2.0,29.5,12.5,3.25,2.0,31.0,9.75,16.25,279.0,67.5
WestBromwich_6143,32.8,14.6,8.4,3.2,4.0,4.0,2.4,27.2,11.6,3.4,1.8,29.4,9.6,15.4,278.6,69.8
WestBromwich_6166,34.833333333333336,14.166666666666666,9.666666666666666,3.6666666666666665,4.666666666666667,4.0,2.4,31.666666666666668,14.0,3.1666666666666665,1.8333333333333333,26.5,9.333333333333334,16.666666666666668,299.0,71.16666666666667
WestBromwich_6178,35.714285714285715,13.857142857142858,9.857142857142858,3.5714285714285716,5.142857142857143,3.857142857142857,2.3428571428571425,33.714285714285715,16.0,3.2857142857142856,1.5714285714285714,25.142857142857142,9.142857142857142,17.285714285714285,299.2857142857143,69.57142857142857
WestBromwich_6189,36.125,13.125,10.5,3.875,5.125,3.375,2.3428571428571425,33.625,16.125,3.25,1.875,25.5,9.375,17.875,305.75,70.0
WestBromwich_6192,36.888888888888886,12.666666666666666,10.444444444444445,3.5555555555555554,5.222222222222222,3.2222222222222223,2.4158730158730157,34.0,16.555555555555557,3.2222222222222223,2.0,24.666666666666668,9.444444444444445,18.444444444444443,317.55555555555554,70.55555555555556
WestBromwich_6207,37.3,11.9,10.2,3.7,4.7,3.6,2.4158730158730157,34.2,16.2,3.4,2.1,24.9,9.5,18.0,320.5,71.3
WestBromwich_6226,37.90909090909091,12.181818181818182,10.636363636363637,3.8181818181818183,4.7272727272727275,3.3636363636363638,2.287157287157287,34.18181818181818,16.0,3.3636363636363638,2.272727272727273,24.545454545454547,9.454545454545455,18.636363636363637,323.27272727272725,71.72727272727273
WestBromwich_6240,37.916666666666664,11.666666666666666,11.083333333333334,3.8333333333333335,5.0,3.5,2.263227513227513,34.833333333333336,16.5,3.25,2.4166666666666665,24.083333333333332,9.916666666666666,18.25,322.3333333333333,71.66666666666667
WestBromwich_6261,37.46153846153846,11.692307692307692,11.307692307692308,3.8461538461538463,5.0,3.8461538461538463,2.242979242979243,33.61538461538461,16.0,3.230769230769231,2.5384615384615383,24.0,9.76923076923077,18.23076923076923,320.38461538461536,71.6923076923077
WestBromwich_6268,38.357142857142854,11.357142857142858,11.357142857142858,3.7142857142857144,5.0,3.9285714285714284,2.082766439909297,34.714285714285715,15.785714285714286,3.142857142857143,2.7142857142857144,24.142857142857142,9.214285714285714,19.714285714285715,323.85714285714283,71.71428571428571
WestBromwich_6282,37.333333333333336,10.933333333333334,11.4,4.0,4.866666666666666,3.933333333333333,2.0105820105820107,34.53333333333333,15.6,3.0,2.6,24.133333333333333,9.266666666666667,19.8,316.8666666666667,70.86666666666666
WestBromwich_6303,37.625,11.0,11.75,4.125,5.0,4.125,2.009920634920635,34.8125,15.75,2.9375,2.6875,23.4375,9.1875,20.1875,320.4375,71.0625
WestBromwich_6311,37.529411764705884,11.235294117647058,11.529411764705882,4.0,5.0,4.117647058823529,2.068160597572362,35.411764705882355,16.11764705882353,2.823529411764706,2.588235294117647,23.823529411764707,9.176470588235293,20.764705882352942,319.94117647058823,70.88235294117646
WestBromwich_6324,38.5,11.38888888888889,11.777777777777779,4.0,5.111111111111111,4.166666666666667,2.064373897707231,35.94444444444444,17.0,2.6666666666666665,2.7222222222222223,23.72222222222222,9.11111111111111,20.77777777777778,324.0,71.11111111111111
WestBromwich_6337,38.1578947368421,11.473684210526315,11.526315789473685,3.8947368421052633,4.947368421052632,4.2105263157894735,2.1136173767752715,35.526315789473685,16.842105263157894,2.736842105263158,2.736842105263158,23.789473684210527,9.0,20.42105263157895,320.7894736842105,71.3157894736842
