,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Alaves_6074,37.0,15.0,0.0,0.0,0.0,2.0,4.0,44.0,20.0,5.0,0.0,36.0,10.0,11.0,310.0,66.0
Alaves_6094,31.5,14.0,2.5,2.0,0.5,1.0,2.5,32.5,16.0,3.0,0.0,32.0,9.0,12.5,276.0,65.5
Alaves_6106,38.0,13.666666666666666,4.333333333333333,1.6666666666666667,2.0,2.0,3.0,29.333333333333332,14.333333333333334,2.3333333333333335,0.6666666666666666,35.666666666666664,9.333333333333334,16.0,341.3333333333333,70.33333333333333
Alaves_6115,34.75,13.5,4.75,1.5,2.25,2.0,3.75,29.0,14.0,4.25,1.0,35.0,8.0,16.5,302.0,68.5
Alaves_6136,35.8,14.8,5.8,1.8,2.8,2.0,4.0,29.8,13.8,3.8,1.2,35.4,7.6,16.8,312.8,69.6
Alaves_6150,40.166666666666664,14.0,6.833333333333333,2.0,3.5,2.3333333333333335,3.6666666666666665,30.666666666666668,14.333333333333334,3.8333333333333335,1.3333333333333333,35.0,7.333333333333333,18.833333333333332,346.0,71.66666666666667
Alaves_6172,39.714285714285715,14.714285714285714,6.857142857142857,2.4285714285714284,3.2857142857142856,2.142857142857143,3.5714285714285716,31.0,14.714285714285714,4.571428571428571,1.2857142857142858,33.142857142857146,7.428571428571429,18.857142857142858,342.57142857142856,72.14285714285714
Alaves_6186,39.375,13.75,6.25,2.375,2.875,2.125,3.25,32.5,16.0,4.125,1.125,32.0,6.75,20.0,340.875,71.375
Alaves_6213,39.44444444444444,13.666666666666666,6.777777777777778,2.5555555555555554,3.111111111111111,2.3333333333333335,3.3333333333333335,34.888888888888886,17.11111111111111,4.111111111111111,1.1111111111111112,31.88888888888889,6.666666666666667,20.0,341.55555555555554,70.88888888888889
Alaves_6220,39.4,13.3,7.0,2.4,3.4,2.5,3.6,35.1,17.7,4.0,1.2,31.4,7.0,20.1,338.4,70.8
Alaves_6241,39.18181818181818,13.909090909090908,7.636363636363637,2.8181818181818183,3.3636363636363638,2.6363636363636362,3.5454545454545454,35.27272727272727,18.09090909090909,3.8181818181818183,1.4545454545454546,30.545454545454547,7.090909090909091,19.727272727272727,331.54545454545456,70.0
Alaves_6254,39.25,13.833333333333334,7.5,2.9166666666666665,3.25,2.9166666666666665,3.5,35.416666666666664,18.083333333333332,3.8333333333333335,1.3333333333333333,30.75,7.333333333333333,19.833333333333332,329.8333333333333,70.33333333333333
Alaves_6265,40.15384615384615,13.923076923076923,7.6923076923076925,2.923076923076923,3.4615384615384617,3.0,3.769230769230769,34.84615384615385,17.53846153846154,3.8461538461538463,1.2307692307692308,31.307692307692307,8.0,20.23076923076923,333.2307692307692,70.92307692307692
Alaves_6275,40.357142857142854,13.857142857142858,7.428571428571429,2.857142857142857,3.357142857142857,3.0,3.7142857142857144,35.57142857142857,17.928571428571427,4.142857142857143,1.2307692307692306,30.571428571428573,7.714285714285714,20.214285714285715,335.42857142857144,70.78571428571429
Alaves_6297,40.13333333333333,14.0,7.733333333333333,2.8666666666666667,3.6666666666666665,3.0,3.6,35.6,18.133333333333333,4.066666666666666,1.2153846153846153,31.066666666666666,7.933333333333334,20.266666666666666,334.2,70.93333333333334
Alaves_6303,40.9375,13.9375,7.8125,2.6875,3.875,3.0,3.5625,35.4375,18.25,4.125,1.2644230769230769,31.0,7.75,20.0625,343.5625,71.375
Alaves_6318,40.705882352941174,13.941176470588236,8.058823529411764,2.823529411764706,4.0,3.3529411764705883,3.411764705882353,34.411764705882355,17.764705882352942,4.0,1.248868778280543,31.0,7.529411764705882,19.88235294117647,340.70588235294116,71.47058823529412
Alaves_6325,40.666666666666664,14.055555555555555,8.11111111111111,2.9444444444444446,3.888888888888889,3.1666666666666665,3.5,33.888888888888886,17.61111111111111,3.888888888888889,1.2905982905982905,30.944444444444443,7.5,20.11111111111111,341.1666666666667,71.61111111111111
Alaves_6345,41.10526315789474,14.052631578947368,8.578947368421053,3.0526315789473686,4.2631578947368425,3.210526315789474,3.3684210526315788,33.68421052631579,17.526315789473685,3.8421052631578947,1.2753036437246963,30.789473684210527,7.631578947368421,19.736842105263158,346.2105263157895,72.0
