,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
LasPalmas_6075,42.0,18.0,5.0,4.0,1.0,1.0,2.0,18.0,9.0,6.0,1.0,31.0,5.0,13.0,358.0,80.0
LasPalmas_6094,38.5,15.5,6.0,4.0,1.0,1.0,4.0,22.0,9.5,5.5,1.5,29.5,9.0,14.0,319.0,78.5
LasPalmas_6105,39.333333333333336,12.666666666666666,6.666666666666667,3.6666666666666665,1.6666666666666667,2.0,3.3333333333333335,20.333333333333332,8.333333333333334,4.666666666666667,1.6666666666666667,25.666666666666668,7.0,17.0,352.3333333333333,80.0
LasPalmas_6115,49.25,11.25,9.25,4.0,3.25,4.5,3.5,22.5,9.25,3.75,2.25,26.75,6.5,19.75,433.5,82.5
LasPalmas_6137,50.4,11.4,9.0,4.0,3.2,3.8,3.8,23.0,10.4,3.4,2.0,24.6,7.0,19.2,452.8,82.8
LasPalmas_6163,53.0,11.166666666666666,9.0,4.0,3.3333333333333335,4.0,3.3333333333333335,22.666666666666668,10.333333333333334,3.0,1.8333333333333333,24.166666666666668,7.0,20.166666666666668,475.8333333333333,83.0
LasPalmas_6179,54.714285714285715,11.142857142857142,9.142857142857142,3.857142857142857,3.857142857142857,4.142857142857143,3.2857142857142856,22.714285714285715,10.0,2.7142857142857144,1.5714285714285714,23.0,7.142857142857143,20.0,499.2857142857143,83.42857142857143
LasPalmas_6192,56.5,11.125,9.25,3.75,4.125,4.25,3.0,22.25,9.25,2.625,1.625,22.625,7.75,20.375,517.375,83.625
LasPalmas_6219,54.55555555555556,11.11111111111111,9.0,3.4444444444444446,4.222222222222222,3.888888888888889,3.111111111111111,20.666666666666668,8.555555555555555,2.888888888888889,1.5555555555555556,22.444444444444443,7.555555555555555,19.444444444444443,500.77777777777777,83.33333333333333
LasPalmas_6242,56.4,10.9,9.7,3.7,4.7,4.0,3.1,21.2,9.3,2.9,1.5,23.4,7.9,20.0,507.9,83.4
LasPalmas_6256,56.90909090909091,11.181818181818182,10.0,3.727272727272727,4.545454545454546,4.181818181818182,3.090909090909091,22.272727272727273,9.272727272727273,3.0,1.9090909090909092,23.545454545454547,8.181818181818182,20.09090909090909,507.54545454545456,83.36363636363636
LasPalmas_6265,56.666666666666664,11.583333333333334,10.333333333333334,3.8333333333333335,4.583333333333333,4.166666666666667,3.0833333333333335,21.833333333333332,8.75,3.0833333333333335,2.0833333333333335,23.916666666666668,8.666666666666666,19.25,512.8333333333334,83.83333333333333
LasPalmas_6274,57.46153846153846,11.615384615384615,10.461538461538462,3.923076923076923,4.615384615384615,4.230769230769231,3.1538461538461537,21.923076923076923,8.923076923076923,3.0,2.076923076923077,24.384615384615383,9.23076923076923,19.307692307692307,524.0769230769231,84.15384615384616
LasPalmas_6298,57.642857142857146,11.5,10.642857142857142,4.0,4.714285714285714,4.357142857142857,3.142857142857143,21.785714285714285,9.071428571428571,3.0,2.0,24.785714285714285,9.714285714285714,18.785714285714285,527.0,84.21428571428571
LasPalmas_6301,57.4,11.533333333333333,10.466666666666667,4.133333333333334,4.4,4.2,3.2666666666666666,22.666666666666668,9.4,3.066666666666667,2.0,24.466666666666665,9.533333333333333,18.533333333333335,523.5333333333333,83.73333333333333
LasPalmas_6309,57.3125,11.4375,10.3125,4.0,4.4375,4.25,3.1875,22.875,9.4375,3.0,1.9375,24.1875,9.6875,18.1875,520.9375,83.75
LasPalmas_6321,57.0,11.764705882352942,10.117647058823529,3.764705882352941,4.411764705882353,4.176470588235294,3.0,23.0,9.529411764705882,2.9411764705882355,2.0,23.88235294117647,9.941176470588236,18.41176470588235,515.8235294117648,83.47058823529412
LasPalmas_6331,57.166666666666664,11.944444444444445,10.0,3.6666666666666665,4.444444444444445,4.166666666666667,3.0,22.72222222222222,9.38888888888889,2.888888888888889,1.9444444444444444,24.11111111111111,9.944444444444445,18.333333333333332,516.8333333333334,83.5
LasPalmas_6345,57.526315789473685,12.052631578947368,10.157894736842104,3.6842105263157894,4.473684210526316,4.421052631578948,3.0526315789473686,22.05263157894737,9.105263157894736,2.8421052631578947,2.0526315789473686,23.736842105263158,10.052631578947368,18.0,522.421052631579,83.73684210526316
