,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Leganes_6075,40.0,13.0,16.0,7.0,9.0,4.0,1.0,36.0,22.0,2.0,4.0,40.0,6.0,20.0,328.0,70.0
Leganes_6095,42.5,14.5,12.5,4.5,7.5,4.5,1.5,41.5,27.0,2.0,2.5,34.0,8.0,22.0,353.5,73.5
Leganes_6106,43.666666666666664,15.666666666666666,11.0,3.6666666666666665,6.666666666666667,3.3333333333333335,2.0,40.666666666666664,25.333333333333332,2.6666666666666665,2.0,32.666666666666664,7.666666666666667,20.0,359.3333333333333,72.66666666666667
Leganes_6115,47.25,16.75,10.5,3.5,5.75,3.5,1.5,41.75,23.75,2.25,2.0,32.5,6.5,21.75,374.25,72.25
Leganes_6137,48.2,16.4,11.2,3.8,6.0,4.4,1.8,41.0,22.8,2.6,2.0,30.6,6.6,21.4,382.4,72.8
Leganes_6151,46.0,17.0,10.5,3.6666666666666665,5.166666666666667,4.0,2.3333333333333335,36.666666666666664,19.666666666666668,2.8333333333333335,2.1666666666666665,31.833333333333332,7.0,20.833333333333332,375.0,73.5
Leganes_6171,46.714285714285715,16.857142857142858,10.142857142857142,3.5714285714285716,5.142857142857143,4.0,2.2857142857142856,35.57142857142857,19.571428571428573,2.5714285714285716,1.8571428571428572,33.714285714285715,7.857142857142857,21.142857142857142,385.57142857142856,73.85714285714286
Leganes_6185,44.75,17.0,10.0,3.75,4.875,4.0,2.375,34.5,19.0,2.25,1.875,32.375,7.625,20.375,372.375,73.625
Leganes_6213,45.111111111111114,17.333333333333332,9.777777777777779,3.5555555555555554,4.666666666666667,3.7777777777777777,2.7777777777777777,35.55555555555556,19.444444444444443,2.111111111111111,2.0,30.22222222222222,7.777777777777778,20.555555555555557,372.77777777777777,73.33333333333333
Leganes_6226,45.0,17.6,10.1,3.6,4.8,3.7,2.8,37.1,19.9,2.0,2.1,30.0,7.2,20.8,374.2,72.8
Leganes_6240,44.54545454545455,17.363636363636363,10.636363636363637,3.5454545454545454,5.0,3.909090909090909,2.6363636363636362,35.27272727272727,18.727272727272727,2.0,2.4545454545454546,30.90909090909091,7.181818181818182,20.818181818181817,376.09090909090907,72.9090909090909
Leganes_6255,43.166666666666664,17.416666666666668,10.333333333333334,3.4166666666666665,4.833333333333333,3.9166666666666665,2.6666666666666665,33.916666666666664,17.75,2.1666666666666665,2.4166666666666665,32.166666666666664,7.25,20.25,368.6666666666667,72.75
Leganes_6264,43.0,18.23076923076923,9.76923076923077,3.1538461538461537,4.615384615384615,3.8461538461538463,2.769230769230769,33.46153846153846,17.23076923076923,2.3846153846153846,2.3076923076923075,32.38461538461539,7.230769230769231,20.76923076923077,370.84615384615387,72.84615384615384
Leganes_6275,42.57142857142857,18.357142857142858,10.0,3.2857142857142856,4.785714285714286,3.642857142857143,2.7857142857142856,34.142857142857146,17.857142857142858,2.4285714285714284,2.2142857142857144,32.214285714285715,7.071428571428571,20.571428571428573,366.92857142857144,72.28571428571429
Leganes_6296,41.733333333333334,18.2,9.8,3.2666666666666666,4.6,3.4,2.8,33.53333333333333,17.733333333333334,2.533333333333333,2.1333333333333333,31.133333333333333,6.733333333333333,20.666666666666668,361.1333333333333,71.73333333333333
Leganes_6304,42.6875,17.9375,10.25,3.1875,4.875,3.6875,2.875,34.625,18.3125,2.625,2.375,30.75,6.8125,22.125,362.625,71.6875
Leganes_6317,42.529411764705884,18.0,10.117647058823529,3.235294117647059,4.647058823529412,3.9411764705882355,2.8823529411764706,34.76470588235294,18.176470588235293,2.6470588235294117,2.411764705882353,29.823529411764707,6.588235294117647,21.823529411764707,361.88235294117646,71.94117647058823
Leganes_6325,43.05555555555556,17.5,10.277777777777779,3.111111111111111,4.777777777777778,4.333333333333333,2.8333333333333335,35.611111111111114,18.22222222222222,2.6666666666666665,2.5,29.944444444444443,6.666666666666667,22.11111111111111,368.3333333333333,71.72222222222223
Leganes_6339,43.05263157894737,17.0,10.0,3.0526315789473686,4.631578947368421,4.157894736842105,3.0,36.31578947368421,18.526315789473685,2.789473684210526,2.4210526315789473,30.263157894736842,6.315789473684211,21.789473684210527,369.4736842105263,71.6842105263158
