,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Sevilla_6081,62.0,12.0,6.0,0.0,5.0,1.0,3.0,18.0,9.0,5.0,1.0,24.0,7.0,26.0,543.0,83.0
Sevilla_6101,58.5,11.0,7.0,2.0,4.5,1.5,2.0,15.5,6.0,3.0,0.5,28.5,7.0,24.5,493.5,80.0
Sevilla_6108,60.666666666666664,10.333333333333334,6.333333333333333,2.0,3.3333333333333335,2.6666666666666665,2.0,18.666666666666668,7.666666666666667,3.3333333333333335,1.0,23.0,8.333333333333334,28.333333333333332,514.0,81.0
Sevilla_6129,60.0,12.75,6.0,2.5,2.5,2.5,2.75,21.0,8.5,3.5,1.0,24.75,7.5,26.25,508.0,80.75
Sevilla_6143,60.6,12.0,8.8,3.2,4.2,2.8,2.6,21.6,9.6,3.6,1.4,24.0,7.8,24.8,509.8,81.2
Sevilla_6164,62.666666666666664,12.0,10.666666666666666,3.8333333333333335,4.166666666666667,4.666666666666667,2.5,21.333333333333332,9.166666666666666,3.1666666666666665,2.6666666666666665,24.0,7.333333333333333,24.666666666666668,522.5,82.0
Sevilla_6178,62.142857142857146,12.571428571428571,11.285714285714286,3.857142857142857,4.571428571428571,5.142857142857143,2.4285714285714284,20.571428571428573,9.285714285714286,3.2857142857142856,2.857142857142857,26.428571428571427,6.857142857142857,24.0,517.0,82.14285714285714
Sevilla_6186,61.0,12.625,11.625,3.875,5.125,5.25,2.5,19.875,9.125,3.625,2.5,26.5,8.125,24.25,507.125,81.875
Sevilla_6212,59.333333333333336,13.222222222222221,11.555555555555555,4.555555555555555,4.666666666666667,5.111111111111111,2.5555555555555554,20.666666666666668,9.444444444444445,3.7777777777777777,2.2222222222222223,26.88888888888889,8.333333333333334,25.444444444444443,499.6666666666667,81.33333333333333
Sevilla_6227,59.5,12.7,11.6,4.8,4.5,5.2,2.6,22.7,10.6,3.9,2.1,26.3,8.1,25.5,497.2,80.5
Sevilla_6234,59.36363636363637,12.818181818181818,11.545454545454545,4.7272727272727275,4.363636363636363,5.090909090909091,2.5454545454545454,22.727272727272727,10.636363636363637,4.0,2.272727272727273,26.09090909090909,8.090909090909092,25.181818181818183,497.8181818181818,81.0
Sevilla_6248,58.083333333333336,13.083333333333334,11.583333333333334,4.583333333333333,4.416666666666667,5.0,2.6666666666666665,22.25,10.583333333333334,4.25,2.4166666666666665,26.75,8.25,24.75,492.3333333333333,81.08333333333333
Sevilla_6261,57.92307692307692,13.384615384615385,11.615384615384615,4.461538461538462,4.615384615384615,4.923076923076923,2.6923076923076925,24.153846153846153,11.923076923076923,4.153846153846154,2.3846153846153846,26.846153846153847,8.307692307692308,25.46153846153846,483.84615384615387,80.6923076923077
Sevilla_6270,57.714285714285715,13.428571428571429,11.428571428571429,4.214285714285714,4.857142857142857,4.714285714285714,2.857142857142857,23.928571428571427,11.642857142857142,4.071428571428571,2.2142857142857144,27.857142857142858,8.214285714285714,25.642857142857142,484.0,80.57142857142857
Sevilla_6283,57.93333333333333,13.466666666666667,11.266666666666667,4.066666666666666,4.733333333333333,4.533333333333333,2.8666666666666667,24.066666666666666,11.866666666666667,4.133333333333334,2.3333333333333335,27.6,8.4,26.066666666666666,489.73333333333335,80.66666666666667
Sevilla_6300,57.0625,13.4375,11.0,4.0,4.6875,4.5,2.875,23.125,11.25,4.125,2.1875,28.5,8.3125,25.3125,487.75,80.6875
Sevilla_6311,57.11764705882353,13.823529411764707,11.0,3.8823529411764706,4.823529411764706,4.352941176470588,2.823529411764706,23.764705882352942,11.764705882352942,4.0588235294117645,2.1176470588235294,28.88235294117647,8.235294117647058,24.941176470588236,491.8235294117647,80.82352941176471
Sevilla_6326,57.333333333333336,14.055555555555555,10.88888888888889,3.888888888888889,4.833333333333333,4.277777777777778,2.9444444444444446,24.5,12.166666666666666,3.888888888888889,2.0,28.88888888888889,8.11111111111111,25.11111111111111,490.3333333333333,80.72222222222223
Sevilla_6339,57.0,14.31578947368421,11.0,4.0,4.684210526315789,4.315789473684211,2.8947368421052633,23.894736842105264,11.894736842105264,3.8421052631578947,2.0526315789473686,29.05263157894737,8.0,24.526315789473685,490.89473684210526,81.10526315789474
