,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
AthleticBilbao_6081,37.0,20.0,9.0,4.0,4.0,4.0,5.0,13.0,7.0,2.0,1.0,39.0,3.0,18.0,341.0,76.0
AthleticBilbao_6102,41.5,19.5,11.0,4.0,4.5,5.5,4.5,24.0,14.0,1.5,2.5,38.5,3.5,23.0,345.5,73.5
AthleticBilbao_6108,39.333333333333336,16.0,12.0,5.0,4.666666666666667,5.0,3.6666666666666665,24.333333333333332,14.0,1.3333333333333333,2.3333333333333335,37.666666666666664,3.6666666666666665,23.0,328.3333333333333,71.33333333333333
AthleticBilbao_6130,41.25,16.25,12.75,6.5,4.25,5.5,3.5,27.75,16.75,1.25,2.0,33.5,4.75,21.75,325.5,71.25
AthleticBilbao_6144,46.2,15.0,13.8,6.0,5.0,6.2,3.2,31.0,19.0,1.4,2.8,30.8,5.4,26.0,357.4,73.2
AthleticBilbao_6165,47.0,14.666666666666666,13.5,5.833333333333333,5.0,6.166666666666667,2.6666666666666665,30.0,18.5,1.5,2.6666666666666665,29.333333333333332,6.166666666666667,25.0,371.0,73.83333333333333
AthleticBilbao_6179,47.0,13.857142857142858,13.142857142857142,5.571428571428571,5.0,5.571428571428571,2.4285714285714284,30.857142857142858,18.142857142857142,1.7142857142857142,2.5714285714285716,28.714285714285715,7.571428571428571,25.142857142857142,372.85714285714283,73.71428571428571
AthleticBilbao_6194,47.625,14.125,13.875,5.875,5.125,6.0,2.625,32.5,18.75,1.875,2.875,28.375,7.125,25.375,373.375,73.375
AthleticBilbao_6213,49.0,13.666666666666666,14.0,5.666666666666667,5.111111111111111,6.777777777777778,2.5555555555555554,34.888888888888886,19.77777777777778,2.111111111111111,3.2222222222222223,28.333333333333332,7.666666666666667,25.88888888888889,387.0,73.88888888888889
AthleticBilbao_6227,49.7,13.5,13.4,5.6,4.8,6.3,2.5,35.6,19.9,2.2,3.0,28.4,7.7,25.1,400.5,74.4
AthleticBilbao_6234,51.09090909090909,13.272727272727273,12.636363636363637,5.6000000000000005,4.636363636363637,6.181818181818182,2.6363636363636362,34.63636363636363,19.363636363636363,2.1818181818181817,2.909090909090909,27.181818181818183,8.272727272727273,24.90909090909091,408.45454545454544,75.18181818181819
AthleticBilbao_6247,51.083333333333336,13.166666666666666,12.75,5.55,4.583333333333333,5.916666666666667,2.5,35.416666666666664,19.833333333333332,2.1666666666666665,3.0,27.0,8.5,25.166666666666668,413.0,75.33333333333333
AthleticBilbao_6262,51.38461538461539,13.23076923076923,12.538461538461538,5.3538461538461535,4.538461538461538,5.461538461538462,2.3846153846153846,37.07692307692308,20.23076923076923,2.076923076923077,3.0,27.076923076923077,8.76923076923077,25.46153846153846,416.0769230769231,75.15384615384616
AthleticBilbao_6269,51.92857142857143,13.214285714285714,12.714285714285714,5.185714285714285,4.785714285714286,5.642857142857143,2.4285714285714284,39.57142857142857,21.928571428571427,2.0714285714285716,3.0714285714285716,26.857142857142858,9.285714285714286,25.857142857142858,420.64285714285717,75.21428571428571
AthleticBilbao_6282,51.93333333333333,13.466666666666667,12.666666666666666,5.173333333333333,4.666666666666667,5.6,2.3333333333333335,38.86666666666667,21.6,2.066666666666667,3.1333333333333333,26.866666666666667,9.466666666666667,25.866666666666667,422.8,75.6
AthleticBilbao_6299,52.5,13.8125,12.6875,5.1625,4.8125,5.5625,2.25,39.0625,21.8125,2.0625,3.0,26.875,9.5,26.0625,433.25,76.125
AthleticBilbao_6309,52.0,14.294117647058824,13.0,5.270588235294118,4.9411764705882355,6.0588235294117645,2.176470588235294,38.294117647058826,21.470588235294116,2.0,3.0588235294117645,27.470588235294116,9.294117647058824,25.176470588235293,429.05882352941177,76.3529411764706
AthleticBilbao_6322,52.0,14.294117647058824,13.0,5.270588235294117,4.9411764705882355,6.0588235294117645,2.1764705882352944,38.29411764705882,21.47058823529412,2.0,3.058823529411765,27.47058823529412,9.294117647058822,25.176470588235293,429.05882352941177,76.35294117647058
AthleticBilbao_6339,52.26315789473684,14.173374613003096,13.105263157894736,5.3089783281733745,4.944272445820434,6.266253869969041,2.1671826625387,38.857585139318886,21.656346749226007,1.9473684210526316,3.1083591331269353,26.708978328173377,9.436532507739937,24.956656346749227,434.16099071207435,76.54489164086687
