,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Leganes_6080,37.0,19.0,6.0,1.0,2.0,1.0,3.0,44.0,22.0,3.0,3.0,36.0,2.0,21.0,339.0,61.0
Leganes_6101,37.0,23.5,10.5,3.5,4.5,1.5,3.5,29.0,14.0,2.5,2.5,41.5,4.0,18.5,316.0,68.0
Leganes_6109,42.0,22.0,9.333333333333334,3.3333333333333335,4.0,1.3333333333333333,3.6666666666666665,33.666666666666664,17.333333333333332,2.3333333333333335,2.0,37.666666666666664,3.6666666666666665,21.333333333333332,349.3333333333333,69.33333333333333
Leganes_6129,42.0,20.75,11.75,4.0,4.5,2.25,3.25,32.25,17.25,2.0,3.25,35.0,5.5,22.0,346.5,70.5
Leganes_6142,41.6,20.4,10.8,4.0,4.0,2.0,3.6,32.4,15.2,2.2,2.8,34.2,5.8,22.8,348.4,70.0
Leganes_6166,43.833333333333336,19.166666666666668,11.5,4.166666666666667,4.166666666666667,2.1666666666666665,3.3333333333333335,35.5,17.833333333333332,2.1666666666666665,3.1666666666666665,32.5,6.5,24.333333333333332,367.0,71.16666666666667
Leganes_6178,44.285714285714285,19.428571428571427,11.285714285714286,4.0,4.0,2.142857142857143,3.7142857142857144,35.285714285714285,18.285714285714285,2.2857142857142856,3.2857142857142856,30.714285714285715,5.857142857142857,24.571428571428573,365.7142857142857,70.71428571428571
Leganes_6193,43.625,18.25,10.875,3.75,4.0,2.25,3.5,35.875,18.625,2.375,3.125,29.625,5.75,24.375,359.125,69.25
Leganes_6219,43.55555555555556,18.444444444444443,11.333333333333334,3.888888888888889,4.333333333333333,2.4444444444444446,3.4444444444444446,35.666666666666664,18.666666666666668,2.3333333333333335,3.111111111111111,27.88888888888889,5.555555555555555,24.11111111111111,356.1111111111111,68.88888888888889
Leganes_6233,44.4,18.6,10.8,3.8888888888888884,4.3,3.0,3.2,36.2,18.8,2.2,3.0,28.6,5.5,25.0,360.8,68.1
Leganes_6248,45.45454545454545,18.363636363636363,10.545454545454545,3.7171717171717167,4.181818181818182,3.090909090909091,3.1818181818181817,38.36363636363637,19.454545454545453,2.0,3.0,28.272727272727273,5.636363636363637,25.454545454545453,362.90909090909093,67.81818181818181
Leganes_6261,46.0,18.333333333333332,10.25,3.824074074074074,3.9166666666666665,3.0,3.0833333333333335,39.916666666666664,19.5,2.0833333333333335,2.8333333333333335,28.5,5.75,25.666666666666668,363.5833333333333,68.16666666666667
Leganes_6268,46.76923076923077,18.153846153846153,11.076923076923077,3.991452991452991,4.384615384615385,3.3076923076923075,3.076923076923077,40.69230769230769,19.615384615384617,2.0,3.0,28.076923076923077,5.6923076923076925,25.307692307692307,368.61538461538464,68.38461538461539
Leganes_6283,46.92857142857143,17.642857142857142,11.214285714285714,3.7777777777777777,4.785714285714286,3.5,3.142857142857143,40.714285714285715,19.428571428571427,1.9285714285714286,2.9285714285714284,27.785714285714285,5.857142857142857,25.428571428571427,368.7142857142857,69.0
Leganes_6300,46.333333333333336,17.4,11.4,3.725925925925926,5.066666666666666,3.533333333333333,3.066666666666667,39.733333333333334,18.733333333333334,2.066666666666667,2.8666666666666667,28.466666666666665,6.066666666666666,25.133333333333333,369.2,69.4
Leganes_6311,46.4375,17.5625,11.5,3.8055555555555554,5.0625,3.625,2.9375,40.125,19.125,2.0,2.875,29.3125,6.625,25.0,369.875,69.5
Leganes_6321,46.529411764705884,17.352941176470587,11.823529411764707,3.8758169934640523,5.176470588235294,3.764705882352941,2.823529411764706,39.23529411764706,18.823529411764707,1.8823529411764706,2.9411764705882355,29.352941176470587,6.529411764705882,24.647058823529413,371.2352941176471,69.82352941176471
Leganes_6333,45.94444444444444,17.38888888888889,11.5,3.882716049382716,4.944444444444445,3.6666666666666665,2.8333333333333335,38.94444444444444,18.61111111111111,1.9444444444444444,2.8333333333333335,29.11111111111111,6.444444444444445,24.833333333333332,365.55555555555554,69.5
Leganes_6345,46.21052631578947,16.94736842105263,11.68421052631579,3.888888888888889,5.105263157894737,3.8947368421052633,2.6842105263157894,38.473684210526315,18.36842105263158,2.0526315789473686,2.8421052631578947,28.789473684210527,6.578947368421052,24.526315789473685,369.7368421052632,70.0
