,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Malaga_6072,53.0,11.0,13.0,4.0,9.0,5.0,2.0,45.0,20.0,2.0,4.0,25.0,4.0,35.0,391.0,71.0
Malaga_6094,52.0,9.5,14.0,3.0,8.0,7.0,2.0,37.0,18.5,3.0,5.0,32.5,6.5,32.5,397.0,71.5
Malaga_6104,52.666666666666664,8.666666666666666,14.0,4.0,7.333333333333333,7.0,2.0,38.0,20.0,2.6666666666666665,4.0,29.333333333333332,6.0,34.0,407.0,73.66666666666667
Malaga_6116,54.75,11.25,14.25,3.75,7.75,7.0,3.75,40.75,20.0,2.0,3.75,29.25,7.25,29.75,421.25,74.5
Malaga_6137,53.4,11.4,16.2,4.6,8.2,6.6,3.2,40.2,19.8,2.6,4.2,28.2,7.2,26.8,415.4,74.4
Malaga_6149,55.0,11.5,17.166666666666668,5.0,8.166666666666666,7.0,3.5,39.666666666666664,19.666666666666668,2.5,4.666666666666667,27.166666666666668,7.833333333333333,25.833333333333332,416.0,74.5
Malaga_6171,52.42857142857143,12.0,16.142857142857142,4.857142857142857,7.571428571428571,6.285714285714286,3.4285714285714284,38.285714285714285,19.285714285714285,2.857142857142857,4.285714285714286,26.0,8.0,24.142857142857142,402.0,73.71428571428571
Malaga_6184,52.25,12.5,16.125,5.125,7.375,6.25,3.375,36.375,19.0,2.625,4.125,26.875,7.875,23.625,403.625,74.5
Malaga_6221,50.888888888888886,13.555555555555555,15.0,4.777777777777778,6.888888888888889,6.333333333333333,3.0,34.77777777777778,18.22222222222222,2.6666666666666665,3.7777777777777777,27.22222222222222,7.555555555555555,22.88888888888889,393.1111111111111,74.55555555555556
Malaga_6240,51.5,13.2,15.4,4.8,7.1,7.4,2.8,35.2,18.4,2.6,3.9,27.6,7.9,22.8,402.7,74.7
Malaga_6256,50.27272727272727,14.090909090909092,15.272727272727273,4.909090909090909,6.909090909090909,7.0,3.0,35.0,18.90909090909091,2.6363636363636362,3.727272727272727,27.0,7.818181818181818,22.0,392.6363636363636,74.81818181818181
Malaga_6264,50.583333333333336,13.583333333333334,15.5,5.083333333333333,7.083333333333333,7.0,3.0,36.166666666666664,19.666666666666668,2.6666666666666665,3.5833333333333335,26.916666666666668,8.166666666666666,22.833333333333332,399.8333333333333,75.08333333333333
Malaga_6275,51.07692307692308,13.846153846153847,15.461538461538462,5.384615384615385,7.0,6.846153846153846,2.923076923076923,36.84615384615385,19.846153846153847,2.4615384615384617,3.5833333333333335,26.076923076923077,8.307692307692308,23.46153846153846,406.53846153846155,75.38461538461539
Malaga_6296,51.92857142857143,13.5,15.857142857142858,5.357142857142857,7.285714285714286,6.785714285714286,2.857142857142857,37.357142857142854,19.785714285714285,2.5714285714285716,3.6845238095238098,26.571428571428573,8.214285714285714,23.642857142857142,424.64285714285717,75.85714285714286
Malaga_6303,50.666666666666664,14.333333333333334,15.333333333333334,5.266666666666667,7.0,6.466666666666667,2.933333333333333,36.2,19.066666666666666,2.6,3.5055555555555555,27.266666666666666,7.933333333333334,22.4,416.73333333333335,75.4
Malaga_6317,50.8125,14.4375,15.0,5.1875,6.875,6.5,2.9375,34.75,18.3125,2.5625,3.3489583333333335,27.3125,7.9375,21.6875,419.1875,75.875
Malaga_6326,50.11764705882353,14.411764705882353,14.764705882352942,5.176470588235294,6.647058823529412,6.176470588235294,2.9411764705882355,34.88235294117647,18.294117647058822,2.5294117647058822,3.3284313725490198,27.294117647058822,7.823529411764706,21.529411764705884,412.0,75.58823529411765
Malaga_6332,49.72222222222222,14.333333333333334,14.722222222222221,5.333333333333333,6.5,5.944444444444445,2.888888888888889,34.111111111111114,18.0,2.5,3.2546296296296298,27.5,7.888888888888889,21.333333333333332,411.72222222222223,75.72222222222223
Malaga_6346,49.8421052631579,13.894736842105264,15.105263157894736,5.368421052631579,6.7894736842105265,6.105263157894737,2.8421052631578947,33.421052631578945,17.63157894736842,2.6842105263157894,3.293859649122807,27.894736842105264,8.052631578947368,20.94736842105263,416.7894736842105,76.3157894736842
