,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Osasuna_6080,48.0,14.0,7.0,3.0,4.0,10.0,2.0,53.0,25.0,3.0,1.0,30.0,4.0,33.0,315.0,68.0
Osasuna_6102,43.5,16.0,8.0,2.5,4.0,6.5,3.0,39.5,16.0,4.0,2.0,30.5,4.5,31.0,306.5,65.5
Osasuna_6106,46.666666666666664,16.0,11.0,5.333333333333333,4.0,6.666666666666667,2.6666666666666665,35.0,16.0,2.6666666666666665,2.0,25.666666666666668,5.0,30.0,313.3333333333333,67.66666666666667
Osasuna_6115,40.25,16.25,9.5,4.75,3.25,5.25,2.75,33.5,16.25,2.75,1.75,26.25,5.75,26.25,279.25,65.25
Osasuna_6135,40.6,17.0,10.2,4.8,3.8,5.4,2.8,36.4,18.6,3.0,1.8,26.2,6.6,27.0,284.0,65.2
Osasuna_6150,40.166666666666664,17.166666666666668,10.166666666666666,4.666666666666667,3.8333333333333335,5.0,3.1666666666666665,36.166666666666664,18.5,2.8333333333333335,1.8333333333333333,27.333333333333332,6.833333333333333,26.833333333333332,289.1666666666667,65.66666666666667
Osasuna_6172,41.0,16.0,9.285714285714286,4.0,3.857142857142857,5.285714285714286,3.0,36.142857142857146,17.714285714285715,2.7142857142857144,2.142857142857143,26.285714285714285,7.857142857142857,27.714285714285715,309.85714285714283,67.14285714285714
Osasuna_6185,38.375,16.25,8.75,3.625,3.5,4.875,3.0,33.25,15.875,2.75,2.125,27.125,7.625,25.5,296.625,66.625
Osasuna_6214,39.44444444444444,16.555555555555557,10.222222222222221,3.6666666666666665,4.333333333333333,5.111111111111111,2.888888888888889,33.55555555555556,16.11111111111111,2.5555555555555554,2.6666666666666665,26.77777777777778,7.666666666666667,25.666666666666668,304.44444444444446,67.22222222222223
Osasuna_6227,39.4,16.3,10.6,4.0,4.3,4.9,3.1,34.3,16.5,2.8,2.7,25.9,7.3,27.1,303.2,66.2
Osasuna_6232,40.0,15.636363636363637,10.909090909090908,3.8181818181818183,4.545454545454546,4.818181818181818,2.909090909090909,35.81818181818182,17.454545454545453,2.909090909090909,2.909090909090909,25.636363636363637,7.7272727272727275,28.545454545454547,307.0,65.54545454545455
Osasuna_6247,39.5,15.166666666666666,10.916666666666666,4.166666666666667,4.333333333333333,4.666666666666667,2.9166666666666665,36.0,17.333333333333332,2.9166666666666665,2.75,25.5,8.25,28.583333333333332,307.0833333333333,65.75
Osasuna_6265,40.46153846153846,14.692307692307692,11.384615384615385,4.076923076923077,4.538461538461538,4.923076923076923,2.923076923076923,35.46153846153846,17.153846153846153,2.8461538461538463,3.076923076923077,24.76923076923077,8.153846153846153,28.615384615384617,311.38461538461536,66.3076923076923
Osasuna_6277,40.642857142857146,14.714285714285714,11.285714285714286,4.214285714285714,4.428571428571429,5.0,3.0,36.0,17.214285714285715,3.0714285714285716,2.9285714285714284,24.285714285714285,8.142857142857142,28.642857142857142,310.2142857142857,66.0
Osasuna_6296,41.2,15.0,11.133333333333333,4.333333333333333,4.2,5.066666666666666,3.066666666666667,36.46666666666667,17.0,3.0,2.8666666666666667,25.133333333333333,8.333333333333334,28.733333333333334,317.53333333333336,66.53333333333333
Osasuna_6304,41.3125,14.9375,11.1875,4.4375,4.1875,5.0,3.0625,37.375,17.4375,2.875,2.75,25.4375,7.9375,28.3125,316.375,66.5
Osasuna_6317,41.294117647058826,15.529411764705882,11.0,4.294117647058823,4.235294117647059,4.764705882352941,3.0588235294117645,37.94117647058823,18.0,2.823529411764706,2.6470588235294117,25.470588235294116,7.647058823529412,28.235294117647058,317.8235294117647,66.52941176470588
Osasuna_6325,41.388888888888886,15.166666666666666,11.277777777777779,4.333333333333333,4.5,4.888888888888889,3.0,37.888888888888886,17.944444444444443,2.8333333333333335,2.611111111111111,25.38888888888889,7.444444444444445,28.055555555555557,319.72222222222223,66.77777777777777
Osasuna_6338,41.1578947368421,14.947368421052632,11.68421052631579,4.473684210526316,4.631578947368421,5.052631578947368,2.8947368421052633,37.26315789473684,17.63157894736842,2.789473684210526,2.736842105263158,25.42105263157895,7.368421052631579,27.263157894736842,318.7368421052632,67.21052631578948
