,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
RealMadrid_6080,54.0,8.0,24.0,10.0,11.0,7.0,0.0,22.0,16.0,2.0,3.0,39.0,13.0,21.0,462.0,87.0
RealMadrid_6094,57.5,11.0,24.5,10.5,11.5,6.5,1.0,22.5,15.5,1.5,2.5,30.0,12.5,19.5,479.5,87.5
RealMadrid_6105,58.0,10.333333333333334,23.666666666666668,9.0,9.666666666666666,10.0,2.0,24.0,17.333333333333332,1.6666666666666667,5.0,28.0,9.666666666666666,21.333333333333332,514.3333333333334,88.0
RealMadrid_6116,59.75,9.75,21.5,7.5,9.25,9.25,2.5,24.75,16.75,2.0,4.75,30.25,10.25,23.0,518.25,87.75
RealMadrid_6137,61.0,9.8,22.0,7.6,9.8,8.6,2.4,23.4,15.6,2.0,4.6,28.6,10.8,23.8,532.0,88.0
RealMadrid_6151,61.666666666666664,9.333333333333334,21.166666666666668,7.5,9.166666666666666,7.5,2.5,22.0,14.833333333333334,2.1666666666666665,4.5,30.5,11.166666666666666,23.166666666666668,550.0,88.0
RealMadrid_6171,60.42857142857143,9.285714285714286,20.857142857142858,7.428571428571429,8.714285714285714,7.142857142857143,2.2857142857142856,20.857142857142858,14.142857142857142,2.142857142857143,4.714285714285714,29.857142857142858,11.428571428571429,23.0,542.5714285714286,87.71428571428571
RealMadrid_6185,60.875,10.125,20.625,7.375,8.25,7.5,2.375,21.25,13.75,1.875,5.0,29.625,11.0,22.125,553.5,87.875
RealMadrid_6212,61.0,10.222222222222221,20.444444444444443,7.555555555555555,8.0,7.666666666666667,2.2222222222222223,19.88888888888889,12.666666666666666,1.7777777777777777,4.888888888888889,30.22222222222222,10.555555555555555,22.0,561.5555555555555,88.22222222222223
RealMadrid_6226,60.6,9.9,20.0,7.6,7.7,7.4,2.2,20.1,13.0,2.1,4.6,30.0,10.2,21.9,557.8,88.1
RealMadrid_6234,59.0,10.454545454545455,18.818181818181817,7.2727272727272725,7.181818181818182,6.7272727272727275,2.1818181818181817,19.545454545454547,12.545454545454545,2.1818181818181817,4.2727272727272725,31.181818181818183,10.090909090909092,21.90909090909091,544.0909090909091,87.18181818181819
RealMadrid_6254,59.75,10.583333333333334,18.25,6.916666666666667,7.166666666666667,7.25,2.25,19.75,12.416666666666666,2.0833333333333335,4.083333333333333,30.583333333333332,10.083333333333334,22.333333333333332,552.8333333333334,87.25
RealMadrid_6265,58.69230769230769,10.923076923076923,18.384615384615383,6.846153846153846,7.384615384615385,7.230769230769231,2.4615384615384617,19.53846153846154,12.538461538461538,2.3076923076923075,4.0,30.307692307692307,10.307692307692308,22.153846153846153,542.0769230769231,87.23076923076923
RealMadrid_6276,59.5,10.714285714285714,18.142857142857142,6.714285714285714,7.5,7.285714285714286,2.357142857142857,20.357142857142858,12.857142857142858,2.357142857142857,3.7857142857142856,30.5,10.357142857142858,22.214285714285715,549.1428571428571,87.07142857142857
RealMadrid_6297,59.733333333333334,10.8,18.2,6.666666666666667,7.6,7.0,2.2,21.4,13.0,2.4,3.7333333333333334,30.4,11.266666666666667,22.266666666666666,549.4666666666667,87.0
RealMadrid_6303,59.8125,10.875,18.3125,6.625,7.4375,6.9375,2.1875,21.75,12.875,2.4375,4.0625,30.875,11.25,22.5625,552.375,86.875
RealMadrid_6318,58.76470588235294,11.0,18.58823529411765,7.0588235294117645,7.470588235294118,6.9411764705882355,2.235294117647059,21.11764705882353,12.352941176470589,2.6470588235294117,3.823529411764706,31.058823529411764,11.058823529411764,22.41176470588235,542.7058823529412,86.76470588235294
RealMadrid_6324,58.833333333333336,11.11111111111111,18.72222222222222,6.944444444444445,7.444444444444445,6.666666666666667,2.2777777777777777,20.555555555555557,12.055555555555555,2.5555555555555554,4.055555555555555,30.77777777777778,10.777777777777779,22.333333333333332,544.6111111111111,86.94444444444444
RealMadrid_6339,58.31578947368421,11.263157894736842,18.473684210526315,6.947368421052632,7.2631578947368425,6.526315789473684,2.3684210526315788,20.157894736842106,11.736842105263158,2.6842105263157894,4.0,30.526315789473685,10.789473684210526,22.473684210526315,541.2105263157895,87.10526315789474
