,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Sevilla_6073,69.0,8.0,15.0,9.0,6.0,8.0,2.0,23.0,17.0,3.0,3.0,25.0,16.0,26.0,579.0,84.0
Sevilla_6094,67.0,11.5,15.5,8.0,6.0,9.0,2.0,24.5,16.5,3.0,3.0,26.5,13.5,22.5,548.0,85.0
Sevilla_6104,63.333333333333336,15.666666666666666,14.333333333333334,6.333333333333333,6.0,8.0,3.0,26.666666666666668,15.333333333333334,3.0,3.0,29.333333333333332,11.0,23.333333333333332,511.3333333333333,82.66666666666667
Sevilla_6115,66.25,14.25,15.75,7.75,6.25,8.25,2.75,27.0,15.25,2.25,2.5,28.75,11.75,24.5,521.75,84.25
Sevilla_6137,64.8,14.4,15.0,7.2,6.0,7.4,3.0,27.0,15.0,2.4,2.4,28.0,12.2,23.6,532.8,83.6
Sevilla_6151,62.0,15.0,15.0,6.666666666666667,6.166666666666667,6.666666666666667,3.1666666666666665,23.833333333333332,13.166666666666666,2.8333333333333335,2.6666666666666665,30.833333333333332,12.0,23.166666666666668,518.6666666666666,83.33333333333333
Sevilla_6171,61.57142857142857,15.571428571428571,13.714285714285714,5.857142857142857,6.0,6.142857142857143,2.7142857142857144,24.857142857142858,14.0,2.857142857142857,2.2857142857142856,30.285714285714285,11.428571428571429,24.0,514.4285714285714,82.57142857142857
Sevilla_6192,61.25,15.75,13.0,5.625,5.625,5.75,2.875,23.75,13.125,2.75,2.125,28.125,11.25,24.75,519.375,82.75
Sevilla_6220,60.666666666666664,15.444444444444445,12.666666666666666,5.555555555555555,5.444444444444445,5.777777777777778,3.0,24.11111111111111,13.11111111111111,2.6666666666666665,2.0,28.88888888888889,11.777777777777779,24.22222222222222,524.8888888888889,82.77777777777777
Sevilla_6241,61.2,15.3,13.0,5.6,5.3,6.1,2.9,23.6,12.8,2.8,2.4,27.7,11.3,24.6,537.3,83.0
Sevilla_6254,60.72727272727273,15.090909090909092,12.818181818181818,5.545454545454546,5.2727272727272725,6.0,2.8181818181818183,26.545454545454547,14.636363636363637,2.8181818181818183,2.272727272727273,27.90909090909091,10.909090909090908,25.363636363636363,532.6363636363636,81.9090909090909
Sevilla_6266,59.166666666666664,15.166666666666666,13.416666666666666,5.333333333333333,5.75,6.0,3.0833333333333335,27.416666666666668,14.75,2.9166666666666665,2.5833333333333335,28.333333333333332,10.416666666666666,26.0,518.6666666666666,81.25
Sevilla_6275,59.46153846153846,15.538461538461538,13.307692307692308,5.230769230769231,5.6923076923076925,5.846153846153846,3.0,28.615384615384617,14.923076923076923,2.923076923076923,2.6153846153846154,27.615384615384617,10.307692307692308,25.46153846153846,519.8461538461538,81.0
Sevilla_6297,60.285714285714285,15.642857142857142,13.642857142857142,5.285714285714286,5.714285714285714,6.071428571428571,3.0,28.857142857142858,15.0,2.857142857142857,2.857142857142857,26.714285714285715,10.857142857142858,25.785714285714285,523.3571428571429,81.21428571428571
Sevilla_6303,60.06666666666667,15.866666666666667,14.133333333333333,5.8,5.666666666666667,5.933333333333334,3.0,28.666666666666668,14.8,2.8,2.7333333333333334,27.266666666666666,10.666666666666666,25.4,516.7333333333333,81.2
Sevilla_6316,60.3125,16.0,15.0625,6.1875,5.9375,6.0,2.875,27.4375,14.375,2.75,2.9375,27.875,10.375,24.875,524.125,81.8125
Sevilla_6322,60.411764705882355,16.235294117647058,15.235294117647058,6.117647058823529,6.0588235294117645,5.9411764705882355,2.764705882352941,27.647058823529413,14.352941176470589,2.588235294117647,2.9411764705882355,27.764705882352942,10.352941176470589,24.58823529411765,523.7647058823529,82.0
Sevilla_6330,59.94444444444444,16.444444444444443,15.0,5.944444444444445,6.055555555555555,6.166666666666667,2.8333333333333335,27.22222222222222,14.055555555555555,2.5555555555555554,2.888888888888889,27.61111111111111,10.166666666666666,24.555555555555557,518.3888888888889,81.88888888888889
Sevilla_6345,60.578947368421055,16.157894736842106,15.105263157894736,6.0,6.052631578947368,5.894736842105263,2.8421052631578947,26.526315789473685,13.578947368421053,2.526315789473684,2.9473684210526314,27.473684210526315,10.31578947368421,24.263157894736842,535.0,82.42105263157895
