,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Angers_6066,47.0,12.0,8.0,1.0,7.0,2.0,2.0,64.0,34.0,2.0,6.0,25.0,7.0,26.0,389.0,74.0
Angers_6080,51.0,11.5,15.5,4.0,10.0,5.5,2.0,51.0,27.0,1.0,4.5,25.5,5.5,28.0,405.0,77.0
Angers_6101,46.0,13.333333333333334,12.0,4.333333333333333,6.666666666666667,5.333333333333333,2.6666666666666665,43.333333333333336,23.0,2.0,3.0,25.666666666666668,5.0,24.0,380.0,75.0
Angers_6108,45.25,12.25,11.75,4.25,5.75,5.75,2.25,41.0,23.0,2.25,3.25,25.25,5.0,23.25,373.25,75.25
Angers_6129,45.2,12.0,10.8,4.0,5.4,5.4,1.8,38.6,22.6,2.2,2.6,28.4,5.6,23.0,382.6,75.2
Angers_6143,46.166666666666664,12.0,11.5,3.8333333333333335,6.0,5.333333333333333,2.0,36.833333333333336,21.5,2.5,2.6666666666666665,27.5,5.0,22.333333333333332,397.1666666666667,76.33333333333333
Angers_6164,45.714285714285715,12.142857142857142,10.857142857142858,3.857142857142857,5.285714285714286,4.857142857142857,2.0,35.714285714285715,20.857142857142858,2.2857142857142856,2.5714285714285716,27.142857142857142,5.285714285714286,23.428571428571427,401.85714285714283,76.71428571428571
Angers_6175,44.875,11.625,11.25,3.75,5.25,4.75,1.875,33.75,19.5,2.25,3.0,27.25,5.5,21.875,401.375,77.0
Angers_6185,45.666666666666664,11.222222222222221,11.0,3.5555555555555554,5.111111111111111,5.555555555555555,1.7777777777777777,36.111111111111114,21.77777777777778,2.4444444444444446,3.111111111111111,26.666666666666668,5.666666666666667,23.22222222222222,407.8888888888889,76.55555555555556
Angers_6196,44.9,11.6,11.2,3.5,5.1,5.3,1.8,36.0,22.2,2.3,3.3,26.8,6.1,23.0,406.3,76.8
Angers_6227,44.90909090909091,11.272727272727273,11.636363636363637,3.6363636363636362,5.363636363636363,5.090909090909091,1.9090909090909092,36.90909090909091,22.636363636363637,2.3636363636363638,3.272727272727273,28.0,6.545454545454546,23.09090909090909,405.3636363636364,76.81818181818181
Angers_6241,45.5,11.333333333333334,11.75,3.6666666666666665,5.416666666666667,5.083333333333333,2.0833333333333335,37.333333333333336,22.333333333333332,2.5,3.25,29.333333333333332,6.583333333333333,24.0,406.9166666666667,76.16666666666667
Angers_6247,45.30769230769231,11.538461538461538,11.923076923076923,3.769230769230769,5.615384615384615,4.923076923076923,2.076923076923077,38.84615384615385,23.076923076923077,2.4615384615384617,3.076923076923077,29.53846153846154,6.769230769230769,24.692307692307693,400.53846153846155,75.38461538461539
Angers_6268,45.285714285714285,11.142857142857142,11.785714285714286,3.7857142857142856,5.571428571428571,4.785714285714286,2.0714285714285716,39.714285714285715,23.285714285714285,2.357142857142857,2.9285714285714284,29.357142857142858,6.642857142857143,24.714285714285715,396.07142857142856,74.78571428571429
Angers_6274,45.333333333333336,11.066666666666666,11.933333333333334,4.0,5.466666666666667,4.733333333333333,1.9333333333333333,38.06666666666667,22.4,2.2666666666666666,2.933333333333333,30.133333333333333,7.0,24.266666666666666,404.8666666666667,75.46666666666667
Angers_6297,45.5,10.9375,12.3125,3.9375,5.5,4.625,1.875,38.25,22.5625,2.1875,3.3125,29.8125,7.25,24.9375,405.0,75.375
Angers_6317,46.294117647058826,11.058823529411764,12.117647058823529,4.0,5.352941176470588,4.647058823529412,1.8823529411764706,38.05882352941177,22.176470588235293,2.235294117647059,3.176470588235294,29.352941176470587,7.176470588235294,25.176470588235293,413.8235294117647,75.76470588235294
Angers_6331,46.166666666666664,10.88888888888889,11.944444444444445,4.0,5.277777777777778,4.777777777777778,1.7777777777777777,37.27777777777778,21.944444444444443,2.2222222222222223,3.0555555555555554,29.5,7.055555555555555,24.77777777777778,414.8888888888889,75.77777777777777
Angers_6339,45.473684210526315,10.631578947368421,12.052631578947368,4.105263157894737,5.2631578947368425,4.7368421052631575,1.736842105263158,37.21052631578947,21.789473684210527,2.3684210526315788,3.0526315789473686,29.57894736842105,6.894736842105263,24.105263157894736,411.42105263157896,76.05263157894737
