,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Metz_6074,33.0,6.0,2.0,,2.0,2.0,1.0,26.0,9.0,4.0,2.0,37.0,12.0,15.0,314.0,75.0
Metz_6095,36.0,12.5,6.0,4.0,2.5,2.5,2.5,29.0,11.0,3.5,2.5,32.5,9.0,19.0,327.0,74.0
Metz_6101,36.666666666666664,14.333333333333334,6.333333333333333,3.5,3.0,2.6666666666666665,3.3333333333333335,30.333333333333332,12.333333333333334,4.333333333333333,1.6666666666666667,30.666666666666668,7.333333333333333,20.333333333333332,302.6666666666667,72.0
Metz_6108,35.5,15.75,5.75,3.3333333333333335,2.5,3.25,3.25,32.5,13.5,3.75,1.25,33.0,7.5,22.0,284.5,69.0
Metz_6130,36.2,14.6,6.8,2.75,2.8,3.8,3.0,29.2,12.4,4.0,2.2,32.4,6.8,21.8,294.2,71.6
Metz_6144,37.5,15.0,7.0,2.6,3.0,3.8333333333333335,3.0,32.166666666666664,14.833333333333334,3.8333333333333335,2.1666666666666665,32.666666666666664,8.5,23.0,311.5,72.33333333333333
Metz_6164,38.42857142857143,14.857142857142858,6.571428571428571,2.5,2.7142857142857144,3.2857142857142856,2.7142857142857144,33.57142857142857,15.714285714285714,3.7142857142857144,2.0,32.285714285714285,8.285714285714286,23.0,321.2857142857143,71.71428571428571
Metz_6175,39.625,14.75,6.75,2.7142857142857144,2.875,3.25,2.875,34.875,16.625,3.625,1.75,30.5,8.0,22.375,323.0,71.625
Metz_6185,41.0,15.222222222222221,6.777777777777778,2.5,3.2222222222222223,3.4444444444444446,2.7777777777777777,37.111111111111114,17.88888888888889,3.6666666666666665,1.6666666666666667,30.11111111111111,8.333333333333334,23.444444444444443,325.22222222222223,71.77777777777777
Metz_6193,41.6,15.0,8.4,3.2222222222222223,3.6,3.7,2.8,36.8,17.5,3.8,2.1,29.9,8.6,24.7,330.2,72.3
Metz_6220,41.27272727272727,14.818181818181818,9.0,3.2,4.090909090909091,3.727272727272727,2.6363636363636362,35.72727272727273,16.727272727272727,3.6363636363636362,2.1818181818181817,29.818181818181817,8.909090909090908,24.09090909090909,329.54545454545456,72.81818181818181
Metz_6233,40.833333333333336,14.25,8.583333333333334,3.0,3.8333333333333335,3.5,2.6363636363636362,36.166666666666664,16.666666666666668,4.0,2.1666666666666665,29.416666666666668,8.916666666666666,24.333333333333332,329.1666666666667,72.66666666666667
Metz_6247,40.61538461538461,14.0,8.23076923076923,2.75,3.6153846153846154,3.4615384615384617,2.6643356643356646,35.38461538461539,16.692307692307693,4.3076923076923075,2.230769230769231,29.307692307692307,8.615384615384615,24.0,330.2307692307692,72.76923076923077
Metz_6262,40.357142857142854,13.5,8.285714285714286,2.6923076923076925,3.7142857142857144,3.2857142857142856,2.6883116883116887,35.07142857142857,16.5,4.214285714285714,2.2142857142857144,29.714285714285715,8.714285714285714,23.357142857142858,333.35714285714283,72.78571428571429
Metz_6276,40.53333333333333,13.933333333333334,8.533333333333333,2.9285714285714284,3.8,3.2666666666666666,2.575757575757576,35.4,17.066666666666666,4.266666666666667,2.1333333333333333,29.266666666666666,9.2,23.266666666666666,333.93333333333334,72.8
Metz_6303,41.0,13.9375,8.625,3.066666666666667,3.8125,3.1875,2.5397727272727275,35.25,17.1875,4.1875,2.0,29.0625,8.9375,24.0,337.6875,73.0625
Metz_6317,40.76470588235294,13.705882352941176,8.529411764705882,3.0625,3.764705882352941,3.235294117647059,2.449197860962567,34.705882352941174,16.764705882352942,4.176470588235294,1.9411764705882353,29.176470588235293,8.529411764705882,23.88235294117647,334.88235294117646,73.05882352941177
Metz_6331,40.166666666666664,13.444444444444445,8.444444444444445,3.0588235294117645,3.7777777777777777,3.1666666666666665,2.313131313131313,34.22222222222222,16.444444444444443,3.9444444444444446,1.8333333333333333,28.77777777777778,8.555555555555555,23.72222222222222,329.8888888888889,72.77777777777777
Metz_6345,40.578947368421055,13.526315789473685,8.421052631578947,2.888888888888889,3.8421052631578947,3.1578947368421053,2.2966507177033493,33.89473684210526,16.157894736842106,4.0,1.894736842105263,28.68421052631579,8.421052631578947,23.526315789473685,335.0,73.3157894736842
