,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Toulouse_6067,52.0,12.0,6.0,2.0,4.0,6.0,1.0,37.0,16.0,2.0,0.0,33.0,14.0,32.0,338.0,67.0
Toulouse_6081,44.5,14.0,7.5,2.0,4.5,5.0,1.0,37.5,14.0,2.5,1.0,30.5,10.5,30.0,308.0,62.5
Toulouse_6094,47.666666666666664,16.333333333333332,7.0,2.3333333333333335,4.0,3.6666666666666665,2.0,38.0,18.666666666666668,2.3333333333333335,1.3333333333333333,30.333333333333332,7.666666666666667,29.333333333333332,311.6666666666667,60.666666666666664
Toulouse_6104,44.0,17.5,7.0,2.25,4.0,3.5,2.75,42.0,22.0,2.75,1.25,32.0,6.5,26.0,299.75,61.0
Toulouse_6115,47.2,17.4,7.4,2.0,4.2,3.2,3.4,41.8,21.4,2.6,1.6,30.4,6.8,25.8,344.4,64.4
Toulouse_6136,48.0,16.5,7.166666666666667,2.0,3.8333333333333335,3.0,3.5,41.5,21.833333333333332,2.6666666666666665,1.6666666666666667,30.0,7.833333333333333,27.333333333333332,362.5,66.5
Toulouse_6150,46.285714285714285,15.285714285714286,6.714285714285714,2.2857142857142856,3.2857142857142856,2.857142857142857,3.2857142857142856,39.714285714285715,21.0,2.4285714285714284,1.4285714285714286,28.571428571428573,8.0,27.142857142857142,353.42857142857144,66.28571428571429
Toulouse_6170,47.25,15.75,7.375,2.375,3.625,3.0,3.125,39.0,20.375,2.375,1.625,29.125,7.875,28.5,366.125,67.0
Toulouse_6179,45.666666666666664,15.666666666666666,7.888888888888889,2.111111111111111,4.111111111111111,2.888888888888889,3.0,36.333333333333336,18.88888888888889,2.4444444444444446,1.8888888888888888,30.666666666666668,7.666666666666667,26.88888888888889,362.6666666666667,68.33333333333333
Toulouse_6196,46.3,16.0,7.9,2.2,4.0,3.1,3.1,37.9,19.6,2.6,1.8888888888888888,31.1,7.4,27.9,364.5,68.2
Toulouse_6226,47.18181818181818,16.0,8.0,2.6363636363636362,3.6363636363636362,3.1818181818181817,2.909090909090909,37.27272727272727,19.636363636363637,3.1818181818181817,1.898989898989899,31.727272727272727,8.090909090909092,28.09090909090909,374.09090909090907,69.0
Toulouse_6244,46.916666666666664,15.416666666666666,8.416666666666666,2.75,3.8333333333333335,3.25,2.8333333333333335,36.916666666666664,19.666666666666668,3.25,1.9074074074074074,33.0,8.5,27.916666666666668,373.5,69.0
Toulouse_6255,45.07692307692308,15.461538461538462,8.0,2.6153846153846154,3.6153846153846154,3.1538461538461537,2.8461538461538463,36.53846153846154,19.23076923076923,3.230769230769231,1.8376068376068377,33.15384615384615,8.538461538461538,26.76923076923077,361.7692307692308,68.61538461538461
Toulouse_6261,45.0,15.785714285714286,7.928571428571429,2.5,3.642857142857143,3.357142857142857,2.857142857142857,37.285714285714285,19.428571428571427,3.142857142857143,1.8492063492063493,32.214285714285715,8.285714285714286,26.357142857142858,359.14285714285717,68.42857142857143
Toulouse_6276,44.666666666666664,15.533333333333333,8.133333333333333,2.6,3.6,3.3333333333333335,2.8,36.266666666666666,18.8,3.1333333333333333,1.925925925925926,32.93333333333333,8.533333333333333,25.6,359.8,68.93333333333334
Toulouse_6297,44.25,15.125,8.1875,2.6875,3.5625,3.625,2.75,37.4375,19.375,3.0625,1.9305555555555556,33.25,9.0625,25.0625,355.125,68.75
Toulouse_6310,44.8235294117647,15.352941176470589,8.235294117647058,2.6470588235294117,3.6470588235294117,3.5294117647058822,2.7058823529411766,37.76470588235294,19.470588235294116,3.235294117647059,1.9346405228758168,32.470588235294116,8.823529411764707,25.0,355.88235294117646,69.23529411764706
Toulouse_6324,44.22222222222222,15.333333333333334,8.166666666666666,2.6666666666666665,3.611111111111111,3.4444444444444446,2.7777777777777777,37.0,19.055555555555557,3.5,1.882716049382716,32.666666666666664,8.833333333333334,24.833333333333332,351.55555555555554,69.16666666666667
Toulouse_6339,43.78947368421053,15.210526315789474,8.68421052631579,2.8421052631578947,3.6842105263157894,3.4210526315789473,2.7777777777777777,36.526315789473685,18.789473684210527,3.5789473684210527,2.0994152046783623,32.36842105263158,8.789473684210526,24.473684210526315,350.7368421052632,69.42105263157895
