,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Bastia_6065,33.0,15.0,10.0,1.0,9.0,2.0,3.0,28.0,14.0,5.0,1.0,37.0,7.0,18.0,217.0,62.0
Bastia_6094,39.5,15.0,7.0,2.5,4.5,3.5,3.5,33.5,12.5,3.5,1.0,25.5,6.0,27.0,239.0,61.0
Bastia_6105,47.0,14.0,8.0,3.3333333333333335,4.666666666666667,4.0,3.5,34.0,15.0,3.0,1.0,26.666666666666668,7.333333333333333,28.0,317.6666666666667,67.0
Bastia_6108,50.75,14.75,8.75,4.0,4.75,4.25,3.375,39.0,17.5,3.0,1.0,26.0,8.5,27.25,343.0,69.25
Bastia_6129,51.6,13.4,9.4,3.8,4.8,4.6,3.1,37.0,15.6,2.6,1.6,25.2,10.8,28.2,373.4,71.8
Bastia_6143,52.166666666666664,13.0,11.0,5.0,4.666666666666667,6.0,2.75,38.833333333333336,16.333333333333332,2.5,2.0,24.666666666666668,10.5,30.833333333333332,377.5,71.33333333333333
Bastia_6164,51.0,13.285714285714286,11.714285714285714,4.714285714285714,5.142857142857143,5.857142857142857,2.642857142857143,41.142857142857146,16.571428571428573,2.5714285714285716,2.4285714285714284,25.142857142857142,10.285714285714286,29.142857142857142,376.57142857142856,71.57142857142857
Bastia_6175,51.0,12.5,11.875,4.875,5.125,5.875,2.5625,40.5,16.5,2.5,2.375,24.75,9.75,29.375,381.375,71.75
Bastia_6185,50.666666666666664,12.555555555555555,12.0,4.888888888888889,5.444444444444445,5.777777777777778,2.5,42.111111111111114,17.666666666666668,2.3333333333333335,2.3333333333333335,25.444444444444443,9.444444444444445,28.11111111111111,375.55555555555554,71.33333333333333
Bastia_6196,49.7,12.0,12.0,4.7,5.6,5.7,2.35,40.0,16.7,2.2,2.7,25.8,9.6,27.4,372.4,72.0
Bastia_6225,47.72727272727273,12.363636363636363,11.909090909090908,4.454545454545454,5.7272727272727275,5.181818181818182,2.409090909090909,38.72727272727273,16.09090909090909,2.3636363636363638,2.6363636363636362,26.272727272727273,9.454545454545455,26.636363636363637,366.0,72.0
Bastia_6233,47.916666666666664,12.25,11.916666666666666,4.333333333333333,5.833333333333333,5.083333333333333,2.375,40.5,17.166666666666668,2.5,2.5,26.166666666666668,10.0,26.666666666666668,370.0,72.0
Bastia_6265,47.0,11.76923076923077,11.384615384615385,4.0,5.538461538461538,4.923076923076923,2.423076923076923,39.69230769230769,17.307692307692307,2.3846153846153846,2.4615384615384617,25.846153846153847,10.076923076923077,26.615384615384617,363.9230769230769,71.23076923076923
Bastia_6253,46.142857142857146,11.928571428571429,11.214285714285714,3.9285714285714284,5.5,4.785714285714286,2.392857142857143,39.5,17.214285714285715,2.4285714285714284,2.357142857142857,25.285714285714285,9.785714285714286,26.071428571428573,359.7142857142857,71.14285714285714
Bastia_6268,45.333333333333336,11.6,10.733333333333333,3.7333333333333334,5.333333333333333,4.733333333333333,2.3,39.53333333333333,17.066666666666666,2.4,2.2,25.8,9.6,25.933333333333334,355.0,70.53333333333333
Bastia_6296,45.25,11.4375,10.9375,3.625,5.1875,4.75,2.21875,40.375,17.0625,2.375,2.625,26.1875,9.5,25.8125,357.0625,70.375
Bastia_6311,44.470588235294116,11.470588235294118,10.588235294117647,3.588235294117647,4.9411764705882355,4.588235294117647,2.2058823529411766,38.94117647058823,16.41176470588235,2.235294117647059,2.5294117647058822,25.529411764705884,9.058823529411764,25.294117647058822,343.8235294117647,70.05882352941177
Bastia_6324,44.27777777777778,11.5,10.222222222222221,3.5555555555555554,4.722222222222222,4.444444444444445,2.138888888888889,39.55555555555556,16.666666666666668,2.3333333333333335,2.388888888888889,25.0,8.944444444444445,24.944444444444443,346.22222222222223,70.27777777777777
Bastia_6339,44.36842105263158,11.631578947368421,10.263157894736842,3.6842105263157894,4.631578947368421,4.473684210526316,2.1842105263157894,38.63157894736842,16.36842105263158,2.263157894736842,2.3684210526315788,24.68421052631579,8.947368421052632,24.842105263157894,347.94736842105266,70.63157894736842
