,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Caen_6066,54.0,13.0,12.0,6.0,6.0,10.0,1.0,35.0,23.0,0.0,4.0,24.0,7.0,28.0,477.0,82.0
Caen_6080,53.0,14.0,14.5,5.0,8.5,7.5,1.0,37.5,20.5,0.5,3.0,20.0,8.0,22.0,437.5,81.0
Caen_6100,46.333333333333336,12.333333333333334,14.0,3.6666666666666665,8.333333333333334,6.333333333333333,1.0,33.666666666666664,17.333333333333332,0.6666666666666666,3.3333333333333335,22.0,7.0,22.0,399.3333333333333,78.0
Caen_6115,44.75,12.0,13.5,3.5,8.0,5.75,1.0,35.5,18.5,0.75,3.0,24.5,7.75,20.75,385.25,75.5
Caen_6137,44.4,11.0,12.6,3.0,7.6,5.4,1.0,34.0,18.0,1.4,2.8,24.4,8.8,22.6,385.6,75.8
Caen_6151,42.333333333333336,11.0,12.5,3.6666666666666665,6.833333333333333,5.166666666666667,1.1666666666666667,32.0,16.5,1.3333333333333333,2.6666666666666665,26.5,9.666666666666666,22.0,370.1666666666667,75.16666666666667
Caen_6171,43.57142857142857,11.0,13.285714285714286,3.7142857142857144,6.714285714285714,5.142857142857143,1.0,33.142857142857146,16.714285714285715,1.5714285714285714,3.4285714285714284,26.428571428571427,9.428571428571429,21.142857142857142,379.0,75.71428571428571
Caen_6177,44.875,11.5,13.625,4.375,6.5,5.25,1.375,34.25,17.5,1.625,3.25,27.875,9.75,22.375,382.875,76.0
Caen_6193,45.77777777777778,11.11111111111111,14.222222222222221,4.888888888888889,6.666666666666667,5.111111111111111,1.4444444444444444,34.22222222222222,17.77777777777778,1.7777777777777777,3.0,27.22222222222222,9.444444444444445,21.444444444444443,388.44444444444446,76.44444444444444
Caen_6220,44.7,12.6,14.2,5.1,6.4,5.3,1.6,35.1,17.8,1.9,3.0,27.4,9.4,21.7,376.3,75.2
Caen_6257,44.72727272727273,12.909090909090908,14.272727272727273,5.181818181818182,6.363636363636363,5.2727272727272725,1.7272727272727273,35.54545454545455,19.09090909090909,1.9090909090909092,3.0,28.0,9.727272727272727,22.09090909090909,374.54545454545456,75.18181818181819
Caen_6243,44.833333333333336,13.333333333333334,13.416666666666666,4.833333333333333,6.0,5.083333333333333,1.6666666666666667,36.583333333333336,20.333333333333332,1.75,2.8333333333333335,28.833333333333332,10.083333333333334,22.25,378.9166666666667,75.08333333333333
Caen_6254,45.07692307692308,13.23076923076923,13.538461538461538,4.6923076923076925,6.153846153846154,4.923076923076923,1.6153846153846154,38.30769230769231,20.76923076923077,1.7692307692307692,2.923076923076923,29.23076923076923,9.846153846153847,22.153846153846153,381.61538461538464,75.0
Caen_6268,45.785714285714285,12.785714285714286,13.928571428571429,4.5,6.357142857142857,4.857142857142857,1.5714285714285714,39.214285714285715,21.071428571428573,1.7142857142857142,3.2142857142857144,28.428571428571427,10.071428571428571,23.214285714285715,389.42857142857144,75.35714285714286
Caen_6283,46.2,12.466666666666667,13.333333333333334,4.266666666666667,6.066666666666666,4.666666666666667,1.5333333333333334,39.53333333333333,21.733333333333334,1.8666666666666667,3.1333333333333333,28.8,10.2,23.533333333333335,394.2,75.13333333333334
Caen_6303,46.5,12.625,13.4375,4.25,6.1875,4.5,1.6875,40.5,21.75,2.0,3.0625,29.25,10.3125,23.875,396.125,75.375
Caen_6317,46.76470588235294,12.529411764705882,13.411764705882353,4.117647058823529,6.235294117647059,4.705882352941177,1.6470588235294117,42.0,22.88235294117647,2.235294117647059,3.1176470588235294,29.764705882352942,9.941176470588236,23.764705882352942,400.47058823529414,75.3529411764706
Caen_6325,46.833333333333336,12.055555555555555,13.444444444444445,4.166666666666667,6.277777777777778,5.055555555555555,1.6666666666666667,41.0,22.22222222222222,2.2777777777777777,3.0555555555555554,29.444444444444443,9.88888888888889,23.5,401.77777777777777,75.55555555555556
Caen_6339,46.89473684210526,11.789473684210526,13.31578947368421,4.052631578947368,6.2631578947368425,5.368421052631579,1.6842105263157894,40.473684210526315,21.789473684210527,2.473684210526316,3.0,29.31578947368421,9.68421052631579,23.42105263157895,405.5263157894737,75.89473684210526
