,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Metz_6066,48.0,13.0,6.0,1.0,5.0,4.0,2.0,33.0,20.0,2.0,1.0,35.0,3.0,24.0,353.0,76.0
Metz_6080,46.5,11.0,6.5,1.5,3.5,4.5,2.0,35.5,19.0,4.5,2.0,25.5,5.5,27.5,338.5,73.5
Metz_6105,46.666666666666664,12.666666666666666,8.333333333333334,2.3333333333333335,3.6666666666666665,3.3333333333333335,2.0,33.333333333333336,16.666666666666668,4.333333333333333,2.6666666666666665,23.0,6.333333333333333,27.0,368.6666666666667,75.33333333333333
Metz_6115,45.75,13.0,9.5,2.25,4.75,4.25,2.0,32.0,15.75,3.75,3.0,20.0,8.0,28.0,355.75,75.5
Metz_6137,42.6,13.8,9.4,2.8,4.2,4.2,2.4,29.4,14.2,3.8,2.8,22.4,8.0,26.8,346.4,76.2
Metz_6151,44.166666666666664,14.333333333333334,10.166666666666666,2.6666666666666665,4.333333333333333,3.8333333333333335,2.3333333333333335,31.166666666666668,14.833333333333334,3.5,3.5,21.5,7.833333333333333,26.0,356.3333333333333,76.83333333333333
Metz_6171,45.42857142857143,13.714285714285714,10.285714285714286,3.142857142857143,4.428571428571429,4.142857142857143,2.2857142857142856,31.285714285714285,15.142857142857142,3.4285714285714284,3.0,21.857142857142858,7.428571428571429,27.142857142857142,367.14285714285717,76.85714285714286
Metz_6300,45.0,13.375,10.875,3.125,5.0,4.5,2.375,32.375,15.25,3.375,3.0,23.875,7.375,26.125,372.0,76.625
Metz_6196,44.666666666666664,13.666666666666666,10.88888888888889,3.4444444444444446,4.888888888888889,4.666666666666667,2.3333333333333335,31.77777777777778,15.0,3.2222222222222223,2.7777777777777777,25.0,7.111111111111111,26.77777777777778,371.6666666666667,76.44444444444444
Metz_6226,45.0,14.1,10.4,3.5,4.6,4.6,2.2,33.4,16.0,3.2,2.5,26.4,7.0,26.6,376.8,76.3
Metz_6239,43.45454545454545,13.909090909090908,10.272727272727273,3.4545454545454546,4.636363636363637,4.181818181818182,2.090909090909091,34.45454545454545,16.181818181818183,3.090909090909091,2.3636363636363638,25.545454545454547,7.090909090909091,27.181818181818183,362.0,74.54545454545455
Metz_6244,43.75,13.916666666666666,10.583333333333334,3.4166666666666665,4.916666666666667,4.083333333333333,2.0,35.083333333333336,16.916666666666668,3.1666666666666665,2.3333333333333335,25.833333333333332,7.083333333333333,27.833333333333332,363.0,74.5
Metz_6254,43.92307692307692,13.538461538461538,10.538461538461538,3.230769230769231,5.076923076923077,4.076923076923077,1.9230769230769231,35.84615384615385,17.23076923076923,3.1538461538461537,2.3076923076923075,25.692307692307693,6.923076923076923,27.692307692307693,359.15384615384613,74.46153846153847
Metz_6268,44.142857142857146,13.5,10.714285714285714,3.2857142857142856,5.071428571428571,4.0,2.0,36.214285714285715,17.571428571428573,3.4285714285714284,2.2857142857142856,25.428571428571427,6.928571428571429,28.428571428571427,361.64285714285717,73.78571428571429
Metz_6281,44.733333333333334,13.4,10.6,3.2,4.933333333333334,4.0,2.0,35.666666666666664,17.666666666666668,3.2,2.4,25.266666666666666,6.8,28.2,368.26666666666665,74.46666666666667
Metz_6313,43.3125,13.375,10.375,3.125,4.875,3.8125,1.9375,34.5,17.0,3.1875,2.25,25.375,6.875,27.625,358.625,74.0
Metz_6310,43.705882352941174,13.294117647058824,10.235294117647058,3.0588235294117645,4.823529411764706,3.6470588235294117,1.8823529411764706,35.76470588235294,17.352941176470587,3.0588235294117645,2.235294117647059,25.41176470588235,7.117647058823529,28.058823529411764,361.7647058823529,74.17647058823529
Metz_6324,43.666666666666664,13.5,10.333333333333334,3.2777777777777777,4.666666666666667,3.888888888888889,1.8888888888888888,36.22222222222222,17.88888888888889,3.0555555555555554,2.2777777777777777,24.88888888888889,7.444444444444445,27.88888888888889,356.8333333333333,74.22222222222223
Metz_6339,44.73684210526316,13.631578947368421,10.526315789473685,3.4210526315789473,4.631578947368421,4.0,1.8888888888888886,35.78947368421053,17.68421052631579,3.1578947368421053,2.3684210526315788,24.36842105263158,7.2631578947368425,27.789473684210527,370.0,74.89473684210526
