,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Nancy_6067,46.0,18.0,9.0,2.0,7.0,4.0,4.0,34.0,18.0,4.0,3.0,36.0,11.0,27.0,319.0,76.0
Nancy_6080,54.0,13.5,14.0,2.5,8.5,4.5,3.0,35.0,16.0,4.0,4.5,33.5,9.0,29.0,418.0,80.5
Nancy_6101,50.666666666666664,12.333333333333334,12.333333333333334,2.3333333333333335,7.333333333333333,3.6666666666666665,3.0,42.666666666666664,20.666666666666668,4.0,3.6666666666666665,34.333333333333336,8.666666666666666,26.666666666666668,404.0,76.66666666666667
Nancy_6109,48.25,13.5,13.0,1.75,8.75,4.25,3.0,40.0,19.0,3.75,3.25,35.0,8.25,24.25,399.25,77.0
Nancy_6129,46.0,14.0,11.6,2.0,7.4,4.2,2.6,36.8,17.8,3.2,2.8,34.2,7.2,23.2,393.6,76.2
Nancy_6143,46.5,14.5,11.5,2.1666666666666665,7.333333333333333,4.166666666666667,2.6666666666666665,39.333333333333336,16.166666666666668,3.5,2.5,33.5,7.0,23.666666666666668,392.8333333333333,75.66666666666667
Nancy_6164,47.57142857142857,14.857142857142858,11.714285714285714,2.4285714285714284,7.142857142857143,4.571428571428571,2.4285714285714284,40.142857142857146,17.142857142857142,3.7142857142857144,2.5714285714285716,32.142857142857146,7.285714285714286,23.714285714285715,388.7142857142857,75.14285714285714
Nancy_6175,48.125,15.0,12.5,3.125,7.375,4.75,2.75,40.625,17.625,3.75,2.375,31.875,7.125,23.25,384.625,75.0
Nancy_6185,48.111111111111114,14.11111111111111,12.444444444444445,3.4444444444444446,7.111111111111111,4.444444444444445,2.5555555555555554,42.22222222222222,17.333333333333332,3.5555555555555554,2.2222222222222223,30.88888888888889,7.777777777777778,24.22222222222222,389.1111111111111,74.77777777777777
Nancy_6219,48.3,13.7,12.8,3.6,7.2,4.6,2.5,41.2,17.4,3.4,2.3,32.0,8.1,24.8,397.9,74.8
Nancy_6233,48.63636363636363,13.454545454545455,12.545454545454545,3.272727272727273,7.2727272727272725,4.7272727272727275,2.272727272727273,40.81818181818182,17.454545454545453,3.272727272727273,2.272727272727273,32.0,7.909090909090909,25.727272727272727,404.72727272727275,74.9090909090909
Nancy_6247,48.916666666666664,13.25,12.666666666666666,3.25,7.333333333333333,4.75,2.3333333333333335,41.0,17.666666666666668,3.1666666666666665,2.3333333333333335,31.166666666666668,8.25,25.666666666666668,409.4166666666667,75.25
Nancy_6261,49.46153846153846,13.153846153846153,12.461538461538462,3.076923076923077,7.3076923076923075,4.769230769230769,2.3076923076923075,41.46153846153846,18.23076923076923,3.230769230769231,2.1538461538461537,29.846153846153847,8.307692307692308,25.23076923076923,410.38461538461536,75.38461538461539
Nancy_6275,48.92857142857143,13.0,12.571428571428571,2.9285714285714284,7.357142857142857,4.785714285714286,2.4285714285714284,40.92857142857143,17.571428571428573,3.2857142857142856,2.357142857142857,28.928571428571427,7.928571428571429,25.142857142857142,401.64285714285717,74.71428571428571
Nancy_6282,48.53333333333333,13.2,12.666666666666666,3.2,7.133333333333334,5.0,2.3333333333333335,41.2,17.933333333333334,3.2,2.4,29.466666666666665,7.6,25.266666666666666,399.46666666666664,74.26666666666667
Nancy_6303,47.75,13.125,12.75,3.3125,7.1875,4.9375,2.3125,41.375,18.5,3.3125,2.3125,29.125,7.625,25.375,393.3125,73.75
Nancy_6316,46.705882352941174,12.882352941176471,12.588235294117647,3.235294117647059,7.0588235294117645,4.823529411764706,2.176470588235294,40.88235294117647,18.41176470588235,3.2941176470588234,2.2941176470588234,29.235294117647058,7.705882352941177,25.41176470588235,385.70588235294116,73.29411764705883
Nancy_6331,46.77777777777778,12.61111111111111,12.222222222222221,3.1666666666666665,6.833333333333333,4.833333333333333,2.111111111111111,40.77777777777778,18.055555555555557,3.4444444444444446,2.2222222222222223,29.555555555555557,7.722222222222222,24.833333333333332,388.44444444444446,73.27777777777777
Nancy_6345,46.421052631578945,12.68421052631579,12.31578947368421,3.263157894736842,6.7894736842105265,4.947368421052632,2.1052631578947367,40.31578947368421,17.842105263157894,3.3157894736842106,2.263157894736842,29.210526315789473,7.684210526315789,24.57894736842105,387.10526315789474,73.57894736842105
