,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Rennes_6073,51.0,11.0,4.0,2.0,2.0,3.0,4.0,31.0,13.0,1.0,2.0,22.0,9.0,33.0,535.0,78.0
Rennes_6095,51.5,11.5,4.5,3.0,1.0,2.5,3.0,36.5,16.0,2.5,1.5,28.5,12.0,25.5,515.5,78.5
Rennes_6105,52.666666666666664,11.333333333333334,7.333333333333333,3.6666666666666665,3.0,3.0,2.3333333333333335,32.0,16.0,2.3333333333333335,1.3333333333333333,30.333333333333332,13.333333333333334,26.0,486.3333333333333,79.33333333333333
Rennes_6114,55.75,11.0,8.75,3.5,4.5,3.75,2.25,33.5,17.5,2.0,2.25,30.75,13.0,25.5,506.75,80.0
Rennes_6130,55.2,11.8,10.0,3.6,5.2,4.6,2.0,32.6,17.4,1.6,2.4,30.6,13.8,26.8,506.8,80.2
Rennes_6144,55.333333333333336,11.333333333333334,10.0,3.6666666666666665,5.0,4.333333333333333,1.6666666666666667,35.0,17.833333333333332,1.6666666666666667,2.3333333333333335,30.833333333333332,13.833333333333334,27.333333333333332,505.0,80.16666666666667
Rennes_6164,55.57142857142857,11.142857142857142,10.142857142857142,3.4285714285714284,5.0,4.571428571428571,1.7142857142857142,34.142857142857146,17.0,1.8571428571428572,2.5714285714285716,30.714285714285715,13.714285714285714,27.285714285714285,520.0,80.71428571428571
Rennes_6170,54.375,11.5,10.25,3.375,5.125,4.5,1.75,34.125,17.125,2.0,2.5,29.25,13.0,27.0,503.375,79.125
Rennes_6179,54.55555555555556,12.222222222222221,10.555555555555555,3.4444444444444446,5.333333333333333,4.777777777777778,1.8888888888888888,34.333333333333336,16.666666666666668,1.7777777777777777,2.4444444444444446,29.88888888888889,12.555555555555555,25.77777777777778,507.77777777777777,79.44444444444444
Rennes_6192,55.7,12.5,10.7,3.5,5.5,4.9,1.8,35.0,17.0,1.8,2.3,31.5,12.7,25.1,513.8,79.4
Rennes_6219,54.90909090909091,12.727272727272727,10.909090909090908,3.3636363636363638,5.636363636363637,4.909090909090909,1.6363636363636365,34.36363636363637,16.272727272727273,1.9090909090909092,2.4545454545454546,30.818181818181817,12.272727272727273,24.272727272727273,514.1818181818181,79.81818181818181
Rennes_6233,54.916666666666664,12.5,10.5,3.0833333333333335,5.583333333333333,4.75,1.75,36.666666666666664,17.75,1.9166666666666667,2.3333333333333335,30.833333333333332,12.333333333333334,26.0,509.0833333333333,78.91666666666667
Rennes_6248,53.53846153846154,12.615384615384615,10.76923076923077,3.3076923076923075,5.6923076923076925,4.846153846153846,1.6923076923076923,35.46153846153846,17.076923076923077,1.8461538461538463,2.230769230769231,30.076923076923077,11.76923076923077,25.615384615384617,500.38461538461536,78.92307692307692
Rennes_6261,52.92857142857143,12.428571428571429,10.785714285714286,3.5,5.571428571428571,4.642857142857143,1.5714285714285714,34.785714285714285,16.785714285714285,1.8571428571428572,2.142857142857143,31.214285714285715,11.5,25.5,492.0,78.42857142857143
Rennes_6275,53.2,12.266666666666667,10.8,3.3333333333333335,5.666666666666667,4.4,1.6,35.4,17.266666666666666,2.2,2.2,31.866666666666667,11.866666666666667,26.333333333333332,494.53333333333336,78.66666666666667
Rennes_6297,52.0,12.0,10.5625,3.25,5.5625,4.375,1.5625,35.1875,16.9375,2.375,2.125,32.0,11.25,25.75,483.0625,78.1875
Rennes_6310,51.470588235294116,11.941176470588236,10.529411764705882,3.235294117647059,5.588235294117647,4.176470588235294,1.5294117647058822,35.294117647058826,17.11764705882353,2.5294117647058822,2.0588235294117645,32.11764705882353,11.294117647058824,26.235294117647058,476.5882352941176,77.88235294117646
Rennes_6332,50.94444444444444,12.0,10.5,3.2777777777777777,5.5,4.055555555555555,1.6111111111111112,35.72222222222222,17.333333333333332,2.4444444444444446,2.0555555555555554,32.0,11.0,26.055555555555557,471.72222222222223,77.77777777777777
Rennes_6345,50.94736842105263,11.842105263157896,10.947368421052632,3.3684210526315788,5.526315789473684,4.0,1.6111111111111112,35.0,17.05263157894737,2.789473684210526,2.3157894736842106,31.894736842105264,10.736842105263158,26.05263157894737,471.89473684210526,78.0
