,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SaintEtienne_6074,57.0,9.0,15.0,5.0,10.0,4.0,1.0,46.0,23.0,2.0,1.0,26.0,10.0,31.0,478.0,77.0
SaintEtienne_6081,60.0,9.0,15.5,4.0,9.0,5.5,1.5,42.0,24.5,2.0,3.0,26.5,12.0,28.5,470.0,76.0
SaintEtienne_6102,61.0,12.333333333333334,14.666666666666666,3.6666666666666665,8.666666666666666,5.0,1.6666666666666667,37.333333333333336,20.666666666666668,2.3333333333333335,2.6666666666666665,25.333333333333332,10.333333333333334,28.666666666666668,468.0,77.66666666666667
SaintEtienne_6109,61.75,13.5,13.25,3.5,7.25,4.75,2.0,36.5,19.5,2.25,2.75,25.5,9.0,26.5,473.5,79.75
SaintEtienne_6130,63.0,13.0,14.0,3.4,7.6,5.8,1.8,35.4,19.2,2.2,3.2,23.8,8.0,27.6,500.2,81.0
SaintEtienne_6143,59.166666666666664,12.666666666666666,13.0,3.1666666666666665,6.833333333333333,5.5,1.5,31.666666666666668,17.166666666666668,2.6666666666666665,3.1666666666666665,23.166666666666668,7.5,28.833333333333332,477.0,79.83333333333333
SaintEtienne_6165,55.714285714285715,12.571428571428571,12.285714285714286,2.857142857142857,6.857142857142857,4.857142857142857,1.7142857142857142,30.142857142857142,17.142857142857142,2.857142857142857,2.857142857142857,25.142857142857142,7.142857142857143,27.714285714285715,458.57142857142856,79.57142857142857
SaintEtienne_6175,53.375,11.625,11.625,2.875,6.375,4.5,1.5,30.25,16.625,3.375,2.625,27.125,7.375,27.125,443.0,78.625
SaintEtienne_6186,51.77777777777778,11.777777777777779,11.222222222222221,2.7777777777777777,6.111111111111111,4.444444444444445,1.3333333333333333,31.444444444444443,17.333333333333332,3.888888888888889,2.4444444444444446,27.666666666666668,7.888888888888889,27.22222222222222,434.44444444444446,78.33333333333333
SaintEtienne_6196,53.1,12.1,11.9,2.8,6.3,5.2,1.3,32.2,17.4,3.8,2.9,26.6,9.3,27.2,439.0,78.4
SaintEtienne_6227,53.27272727272727,11.727272727272727,12.0,3.0,6.363636363636363,5.2727272727272725,1.3636363636363635,33.45454545454545,17.545454545454547,3.8181818181818183,2.727272727272727,26.545454545454547,9.909090909090908,27.454545454545453,442.09090909090907,78.54545454545455
SaintEtienne_6241,51.416666666666664,12.166666666666666,12.083333333333334,3.25,6.333333333333333,5.5,1.4166666666666667,32.916666666666664,17.5,3.8333333333333335,2.5833333333333335,27.0,10.416666666666666,26.333333333333332,425.5,77.41666666666667
SaintEtienne_6248,52.15384615384615,12.23076923076923,12.076923076923077,3.3846153846153846,6.230769230769231,5.384615384615385,1.4166666666666667,31.692307692307693,16.923076923076923,3.6923076923076925,2.4615384615384617,27.53846153846154,10.0,26.53846153846154,439.7692307692308,78.07692307692308
SaintEtienne_6262,53.07142857142857,12.071428571428571,12.0,3.2142857142857144,6.285714285714286,5.357142857142857,1.3154761904761905,32.357142857142854,17.071428571428573,3.5714285714285716,2.5,27.357142857142858,10.285714285714286,27.0,449.2142857142857,78.21428571428571
SaintEtienne_6276,53.333333333333336,12.2,12.2,3.466666666666667,6.266666666666667,5.266666666666667,1.2277777777777779,32.86666666666667,16.933333333333334,3.6,2.4,27.6,10.0,26.4,450.06666666666666,78.53333333333333
SaintEtienne_6304,53.6875,12.1875,12.25,3.5,6.1875,5.4375,1.3385416666666667,33.3125,17.3125,3.5,2.375,28.3125,10.125,26.4375,450.5,78.25
SaintEtienne_6318,53.35294117647059,12.117647058823529,12.0,3.4705882352941178,5.9411764705882355,5.470588235294118,1.3186274509803921,33.529411764705884,17.352941176470587,3.3529411764705883,2.411764705882353,28.235294117647058,10.0,26.470588235294116,447.52941176470586,78.23529411764706
SaintEtienne_6330,53.72222222222222,12.222222222222221,12.166666666666666,3.5555555555555554,6.0,5.555555555555555,1.300925925925926,33.94444444444444,17.555555555555557,3.3333333333333335,2.4444444444444446,28.27777777777778,9.833333333333334,26.38888888888889,449.5,78.22222222222223
SaintEtienne_6339,52.31578947368421,12.052631578947368,12.0,3.473684210526316,6.052631578947368,5.526315789473684,1.2850877192982457,33.05263157894737,17.0,3.473684210526316,2.3157894736842106,28.31578947368421,9.421052631578947,26.05263157894737,441.05263157894734,78.42105263157895
