,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BayernMunchen_6093,69.0,12.0,18.0,2.0,11.0,7.0,4.0,42.0,28.0,2.0,5.0,21.0,12.0,20.0,667.0,85.0
BayernMunchen_6108,69.0,12.0,17.5,5.0,7.5,6.0,3.5,34.0,22.5,1.5,5.0,24.5,10.0,25.5,639.0,85.0
BayernMunchen_6129,66.66666666666667,11.666666666666666,16.333333333333332,5.0,7.666666666666667,6.0,3.6666666666666665,34.666666666666664,20.666666666666668,1.6666666666666667,3.6666666666666665,24.333333333333332,9.0,24.666666666666668,610.6666666666666,84.0
BayernMunchen_6143,67.75,10.25,16.25,5.75,7.25,7.0,2.75,34.5,20.75,1.75,3.25,23.25,9.25,21.75,677.75,85.25
BayernMunchen_6164,67.6,11.0,16.6,5.2,7.4,7.4,2.6,37.6,22.4,2.0,4.0,22.8,9.6,21.0,681.0,85.2
BayernMunchen_6177,68.33333333333333,11.333333333333334,16.333333333333332,5.333333333333333,7.0,7.0,2.5,36.5,22.0,2.0,4.0,23.666666666666668,9.666666666666666,21.166666666666668,688.3333333333334,85.5
BayernMunchen_6193,69.85714285714286,11.285714285714286,15.857142857142858,4.857142857142857,7.285714285714286,6.142857142857143,2.4285714285714284,36.285714285714285,21.571428571428573,2.0,3.7142857142857144,21.571428571428573,9.714285714285714,21.571428571428573,707.7142857142857,86.14285714285714
BayernMunchen_6225,70.5,10.75,15.5,4.875,7.125,6.75,2.375,36.5,21.875,2.0,3.5,22.875,9.5,20.875,729.125,86.125
BayernMunchen_6233,69.77777777777777,11.333333333333334,15.222222222222221,4.777777777777778,6.666666666666667,6.777777777777778,2.2222222222222223,35.888888888888886,22.0,2.111111111111111,3.7777777777777777,23.333333333333332,9.444444444444445,20.333333333333332,715.3333333333334,85.77777777777777
BayernMunchen_6247,70.0,11.6,15.3,4.6,6.9,6.5,2.1,37.4,21.9,1.9,3.7,23.1,9.7,22.1,716.5,85.2
BayernMunchen_6254,70.18181818181819,11.454545454545455,15.090909090909092,4.545454545454546,6.454545454545454,6.2727272727272725,2.1818181818181817,36.72727272727273,20.90909090909091,1.8181818181818181,4.0,23.09090909090909,10.181818181818182,22.363636363636363,717.0909090909091,85.45454545454545
BayernMunchen_6268,70.25,11.166666666666666,15.583333333333334,4.833333333333333,6.5,6.5,2.1666666666666665,36.416666666666664,20.416666666666668,1.8333333333333333,4.166666666666667,22.833333333333332,10.666666666666666,22.25,719.5,85.75
BayernMunchen_6283,70.15384615384616,11.153846153846153,15.846153846153847,4.923076923076923,6.6923076923076925,6.3076923076923075,2.1538461538461537,34.53846153846154,19.46153846153846,1.7692307692307692,4.076923076923077,22.46153846153846,10.76923076923077,21.846153846153847,724.3076923076923,86.07692307692308
BayernMunchen_6299,69.71428571428571,11.214285714285714,16.285714285714285,5.0,6.785714285714286,6.5,2.0714285714285716,34.0,19.142857142857142,1.8571428571428572,4.285714285714286,23.214285714285715,10.857142857142858,21.571428571428573,714.3571428571429,85.92857142857143
BayernMunchen_6310,69.86666666666666,11.266666666666667,16.6,5.066666666666666,7.066666666666666,6.333333333333333,1.9333333333333333,33.333333333333336,18.8,1.8666666666666667,4.266666666666667,24.066666666666666,11.266666666666667,21.866666666666667,716.4666666666667,86.13333333333334
BayernMunchen_6324,69.3125,11.1875,16.75,5.3125,7.0,6.1875,1.8125,32.5625,18.1875,1.9375,4.125,23.75,11.1875,21.5,709.25,86.25
BayernMunchen_6338,68.82352941176471,11.176470588235293,17.058823529411764,5.529411764705882,7.0588235294117645,6.176470588235294,2.0,31.88235294117647,17.529411764705884,1.9411764705882353,4.0588235294117645,24.0,11.117647058823529,21.705882352941178,700.3529411764706,86.23529411764706
