,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Augsburg_6080,48.0,15.0,13.0,2.0,7.0,2.0,1.0,40.0,21.0,4.0,4.0,15.0,5.0,23.0,397.0,80.0
Augsburg_6102,50.5,15.0,12.5,3.5,5.5,2.0,1.0,40.5,20.5,3.5,3.5,22.5,5.0,28.5,408.5,77.5
Augsburg_6108,55.666666666666664,12.333333333333334,14.666666666666666,4.333333333333333,7.0,2.3333333333333335,1.3333333333333333,48.666666666666664,27.0,2.3333333333333335,3.3333333333333335,20.0,5.333333333333333,25.666666666666668,474.0,79.66666666666667
Augsburg_6129,54.5,12.75,13.75,4.5,6.25,3.25,1.5,45.25,24.0,2.25,3.0,22.25,4.0,24.5,462.75,78.75
Augsburg_6143,49.4,13.0,12.2,4.2,5.6,3.4,1.6,43.0,21.8,2.8,2.6,24.0,4.0,22.0,427.6,77.0
Augsburg_6164,48.0,13.166666666666666,11.666666666666666,4.0,5.333333333333333,3.5,1.8333333333333333,42.166666666666664,21.166666666666668,3.0,2.5,23.0,3.6666666666666665,21.0,421.5,76.66666666666667
Augsburg_6179,46.857142857142854,12.857142857142858,11.714285714285714,3.857142857142857,5.428571428571429,3.7142857142857144,2.0,40.57142857142857,20.571428571428573,3.0,2.5714285714285716,24.142857142857142,3.5714285714285716,21.571428571428573,409.85714285714283,76.14285714285714
Augsburg_6192,46.125,13.25,11.25,3.5,5.5,3.625,2.0,39.625,19.75,3.0,2.375,24.875,3.625,20.875,416.875,76.625
Augsburg_6226,46.333333333333336,13.777777777777779,10.88888888888889,3.2222222222222223,5.222222222222222,3.6666666666666665,2.111111111111111,37.0,18.444444444444443,2.7777777777777777,2.5555555555555554,25.88888888888889,3.5555555555555554,21.666666666666668,420.8888888888889,77.0
Augsburg_6241,45.7,13.7,11.2,3.5,5.2,3.5,2.2,37.9,19.8,2.7,2.6,25.9,3.7,21.7,413.2,76.5
Augsburg_6253,46.18181818181818,13.545454545454545,11.454545454545455,3.727272727272727,5.2727272727272725,3.3636363636363638,2.272727272727273,38.81818181818182,20.181818181818183,3.090909090909091,2.5454545454545454,25.727272727272727,4.2727272727272725,21.818181818181817,415.45454545454544,76.27272727272727
Augsburg_6267,45.666666666666664,13.916666666666666,11.166666666666666,3.5833333333333335,5.25,3.1666666666666665,2.4166666666666665,40.666666666666664,21.083333333333332,3.0833333333333335,2.3333333333333335,26.75,4.25,22.083333333333332,404.5833333333333,74.58333333333333
Augsburg_6282,46.07692307692308,14.076923076923077,11.538461538461538,3.5384615384615383,5.615384615384615,3.1538461538461537,2.3846153846153846,42.53846153846154,22.307692307692307,3.0,2.3076923076923075,26.615384615384617,4.0,22.53846153846154,405.0769230769231,74.38461538461539
Augsburg_6300,46.785714285714285,14.214285714285714,11.642857142857142,3.642857142857143,5.642857142857143,3.142857142857143,2.4285714285714284,42.857142857142854,22.142857142857142,3.0,2.2857142857142856,26.142857142857142,4.285714285714286,22.5,410.7142857142857,74.42857142857143
Augsburg_6310,46.06666666666667,14.533333333333333,11.4,3.8,5.333333333333333,3.066666666666667,2.533333333333333,42.93333333333333,22.0,2.8,2.2,25.666666666666668,4.133333333333334,22.266666666666666,402.8666666666667,73.6
Augsburg_6325,46.6875,14.1875,11.8125,4.125,5.25,3.125,2.4375,42.5,21.8125,2.875,2.3125,24.625,3.9375,22.875,401.9375,73.3125
Augsburg_6338,45.294117647058826,14.352941176470589,11.411764705882353,4.0588235294117645,5.0588235294117645,3.0588235294117645,2.411764705882353,41.64705882352941,21.294117647058822,2.9411764705882355,2.176470588235294,25.176470588235293,3.764705882352941,22.470588235294116,391.4117647058824,72.3529411764706
