,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BayernMunchen_6079,64.0,7.0,25.0,14.0,11.0,8.0,0.0,23.0,14.0,2.0,7.0,18.0,6.0,29.0,777.0,89.0
BayernMunchen_6101,66.5,12.5,17.5,9.5,7.5,6.5,0.5,32.0,17.5,3.0,4.0,19.0,11.0,27.0,703.0,87.0
BayernMunchen_6105,69.66666666666667,11.333333333333334,17.0,8.666666666666666,8.0,6.333333333333333,0.6666666666666666,31.666666666666668,18.333333333333332,2.6666666666666665,3.3333333333333335,16.666666666666668,9.666666666666666,25.333333333333332,762.3333333333334,88.0
BayernMunchen_6115,69.25,9.5,18.25,7.25,10.75,7.25,0.75,29.5,16.5,2.25,3.75,15.75,12.0,24.0,745.25,88.0
BayernMunchen_6136,68.0,8.4,18.0,6.8,10.4,7.4,0.6,28.2,15.6,1.8,3.6,15.6,11.8,23.2,759.6,88.4
BayernMunchen_6150,67.66666666666667,8.166666666666666,18.5,6.5,10.666666666666666,7.5,0.5,26.666666666666668,14.833333333333334,1.8333333333333333,3.6666666666666665,17.166666666666668,12.0,24.333333333333332,742.5,88.0
BayernMunchen_6171,66.0,8.142857142857142,17.714285714285715,6.714285714285714,9.714285714285714,7.285714285714286,0.5,27.571428571428573,15.0,2.0,3.2857142857142856,18.714285714285715,11.571428571428571,23.714285714285715,720.7142857142857,87.14285714285714
BayernMunchen_6185,66.25,8.75,17.875,7.125,9.0,7.625,0.5625,27.375,14.5,2.125,3.5,17.75,11.0,23.625,718.75,87.375
BayernMunchen_6196,67.33333333333333,9.222222222222221,18.0,7.555555555555555,8.88888888888889,7.777777777777778,0.6111111111111112,27.88888888888889,14.88888888888889,2.111111111111111,3.6666666666666665,17.88888888888889,11.555555555555555,23.11111111111111,726.3333333333334,87.55555555555556
BayernMunchen_6240,66.6,9.7,17.5,7.2,8.7,7.8,0.65,28.1,14.8,2.1,3.4,18.9,11.6,24.6,713.4,87.1
BayernMunchen_6261,67.0909090909091,10.272727272727273,17.454545454545453,7.545454545454546,8.272727272727273,7.454545454545454,0.5909090909090909,27.727272727272727,14.818181818181818,2.0,3.272727272727273,18.09090909090909,11.545454545454545,24.363636363636363,716.4545454545455,87.36363636363636
BayernMunchen_6275,67.41666666666667,10.333333333333334,17.333333333333332,7.5,8.25,7.083333333333333,0.7083333333333334,28.583333333333332,15.333333333333334,2.1666666666666665,3.0833333333333335,18.75,11.583333333333334,24.083333333333332,713.4166666666666,87.25
BayernMunchen_6296,67.92307692307692,10.0,17.846153846153847,7.538461538461538,8.153846153846153,6.923076923076923,0.6538461538461539,28.0,15.0,2.1538461538461537,3.3076923076923075,18.53846153846154,11.615384615384615,23.23076923076923,721.8461538461538,87.46153846153847
BayernMunchen_6303,68.14285714285714,10.285714285714286,17.857142857142858,7.428571428571429,8.214285714285714,6.857142857142857,0.75,27.142857142857142,14.714285714285714,2.142857142857143,3.2857142857142856,19.857142857142858,11.714285714285714,22.642857142857142,727.4285714285714,87.78571428571429
BayernMunchen_6317,68.6,9.933333333333334,17.933333333333334,7.333333333333333,8.066666666666666,7.333333333333333,0.7666666666666667,27.666666666666668,15.4,2.2,3.533333333333333,19.933333333333334,12.066666666666666,23.333333333333332,729.2,87.66666666666667
BayernMunchen_6331,68.5,9.9375,18.3125,7.375,8.1875,7.6875,0.78125,27.25,15.0625,2.25,3.625,19.3125,12.375,23.1875,720.8125,87.75
BayernMunchen_6345,68.3529411764706,9.941176470588236,19.235294117647058,7.588235294117647,8.235294117647058,8.117647058823529,0.7941176470588235,27.176470588235293,14.882352941176471,2.5294117647058822,4.176470588235294,19.529411764705884,12.411764705882353,23.11764705882353,714.1764705882352,87.70588235294117
