,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
EintrachtFrankfurt_6080,50.0,11.0,11.0,4.0,6.0,7.0,2.0,50.0,23.0,3.0,1.0,16.0,8.0,25.0,349.0,77.0
EintrachtFrankfurt_6101,45.0,16.5,14.0,6.0,6.5,4.0,2.5,45.5,23.5,2.5,1.5,22.0,7.5,21.0,347.0,74.0
EintrachtFrankfurt_6108,48.666666666666664,16.0,13.0,5.333333333333333,5.666666666666667,4.0,3.0,43.333333333333336,22.333333333333332,2.0,2.0,22.333333333333332,8.0,21.666666666666668,407.0,77.33333333333333
EintrachtFrankfurt_6129,46.0,16.5,13.0,5.0,6.25,3.5,3.5,41.5,21.5,2.25,1.75,23.5,7.25,21.0,385.25,75.25
EintrachtFrankfurt_6150,46.4,17.2,12.0,4.2,5.4,3.6,3.4,44.2,20.4,2.0,2.4,21.4,7.0,19.8,401.0,75.6
EintrachtFrankfurt_6171,44.0,17.333333333333332,12.0,4.166666666666667,5.166666666666667,3.6666666666666665,3.5,44.166666666666664,20.666666666666668,2.3333333333333335,2.6666666666666665,23.5,6.666666666666667,19.5,380.0,73.0
EintrachtFrankfurt_6184,43.857142857142854,18.857142857142858,12.428571428571429,4.0,5.428571428571429,4.714285714285714,3.857142857142857,42.57142857142857,18.857142857142858,2.0,3.0,22.428571428571427,6.142857142857143,20.714285714285715,374.2857142857143,73.57142857142857
EintrachtFrankfurt_6195,45.375,18.25,12.0,4.0,5.25,4.875,3.75,43.75,19.125,2.5,2.75,23.125,6.75,21.125,383.375,73.625
EintrachtFrankfurt_6241,48.22222222222222,17.0,12.222222222222221,4.111111111111111,5.222222222222222,5.222222222222222,3.5555555555555554,43.666666666666664,18.666666666666668,2.2222222222222223,2.888888888888889,22.22222222222222,6.777777777777778,20.666666666666668,406.77777777777777,75.0
EintrachtFrankfurt_6254,48.5,16.9,12.1,3.8,5.3,5.1,3.6,46.7,20.2,2.9,2.9,21.9,6.7,21.8,406.6,74.4
EintrachtFrankfurt_6269,48.36363636363637,16.363636363636363,12.363636363636363,3.727272727272727,5.454545454545454,5.7272727272727275,3.4545454545454546,46.90909090909091,20.818181818181817,2.727272727272727,3.090909090909091,22.454545454545453,6.909090909090909,21.818181818181817,402.45454545454544,73.9090909090909
EintrachtFrankfurt_6282,48.583333333333336,16.583333333333332,11.916666666666666,3.5,5.416666666666667,5.583333333333333,3.25,48.0,21.25,2.5,2.9166666666666665,21.833333333333332,6.75,22.166666666666668,395.5833333333333,72.58333333333333
EintrachtFrankfurt_6296,49.69230769230769,16.307692307692307,12.23076923076923,3.5384615384615383,5.461538461538462,5.923076923076923,3.3076923076923075,46.69230769230769,20.53846153846154,2.3846153846153846,3.076923076923077,22.153846153846153,6.6923076923076925,22.23076923076923,408.7692307692308,73.61538461538461
EintrachtFrankfurt_6302,50.57142857142857,16.5,12.5,3.7857142857142856,5.642857142857143,5.785714285714286,3.2142857142857144,46.642857142857146,20.357142857142858,2.357142857142857,2.9285714285714284,22.214285714285715,6.857142857142857,22.714285714285715,419.35714285714283,74.07142857142857
EintrachtFrankfurt_6317,52.13333333333333,16.333333333333332,13.0,4.0,5.733333333333333,5.666666666666667,3.1333333333333333,46.0,20.266666666666666,2.4,3.1333333333333333,22.0,7.266666666666667,22.8,437.06666666666666,74.73333333333333
EintrachtFrankfurt_6331,52.0625,16.0625,12.625,3.875,5.6875,5.4375,3.0,45.5,19.6875,2.3125,3.1333333333333333,21.5625,7.1875,22.6875,438.9375,75.0625
EintrachtFrankfurt_6345,51.470588235294116,15.823529411764707,12.823529411764707,3.823529411764706,6.0,5.352941176470588,2.8823529411764706,45.705882352941174,19.941176470588236,2.3529411764705883,3.0666666666666664,22.764705882352942,7.470588235294118,23.294117647058822,434.7647058823529,74.6470588235294
