,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
FSVMainz_6095,30.0,19.0,12.0,6.0,5.0,8.0,1.0,39.0,20.0,1.0,1.0,15.0,4.0,19.0,231.0,61.0
FSVMainz_6108,33.5,15.5,10.5,5.5,4.0,7.0,2.0,46.0,24.0,2.0,1.0,19.5,5.0,26.5,260.5,57.5
FSVMainz_6130,38.666666666666664,16.666666666666668,11.333333333333334,5.333333333333333,5.0,7.0,2.3333333333333335,53.666666666666664,29.666666666666668,2.3333333333333335,1.0,18.666666666666668,6.666666666666667,23.666666666666668,281.6666666666667,60.333333333333336
FSVMainz_6143,43.0,16.0,12.75,6.0,6.0,6.5,2.0,54.75,28.75,2.25,0.75,20.0,9.25,26.5,320.5,62.75
FSVMainz_6164,41.4,17.0,12.4,6.0,5.6,5.8,2.4,52.4,26.6,3.6,0.8,22.4,8.0,24.0,312.8,63.4
FSVMainz_6177,39.166666666666664,16.166666666666668,12.0,5.666666666666667,5.333333333333333,5.0,2.5,48.833333333333336,24.0,3.5,1.0,22.333333333333332,7.666666666666667,22.5,305.5,64.16666666666667
FSVMainz_6192,41.57142857142857,15.571428571428571,12.714285714285714,6.0,5.428571428571429,5.142857142857143,2.4285714285714284,50.285714285714285,23.857142857142858,3.2857142857142856,1.5714285714285714,24.428571428571427,7.571428571428571,23.0,318.7142857142857,65.57142857142857
FSVMainz_6227,41.875,15.125,12.5,5.75,5.375,5.125,2.25,50.0,22.875,3.25,1.625,25.375,8.125,23.0,328.25,66.5
FSVMainz_6234,41.55555555555556,14.88888888888889,12.0,5.111111111111111,5.222222222222222,4.777777777777778,2.2222222222222223,51.333333333333336,24.22222222222222,3.2222222222222223,1.8888888888888888,25.444444444444443,7.666666666666667,23.333333333333332,328.1111111111111,65.88888888888889
FSVMainz_6246,42.2,14.4,11.6,5.0,5.0,4.9,2.1,50.2,23.6,3.5,1.8,26.9,7.3,23.3,336.4,66.5
FSVMainz_6254,44.09090909090909,14.363636363636363,11.454545454545455,4.7272727272727275,4.909090909090909,5.090909090909091,2.1818181818181817,49.72727272727273,23.636363636363637,3.3636363636363638,2.0,26.545454545454547,7.909090909090909,23.454545454545453,350.09090909090907,67.63636363636364
FSVMainz_6268,44.416666666666664,14.416666666666666,11.5,4.5,5.083333333333333,5.0,2.1818181818181817,49.0,23.5,3.4166666666666665,2.0833333333333335,26.0,7.5,23.416666666666668,346.0,67.83333333333333
FSVMainz_6283,44.92307692307692,14.076923076923077,12.0,4.538461538461538,5.384615384615385,5.384615384615385,2.1678321678321675,48.07692307692308,23.076923076923077,3.4615384615384617,2.230769230769231,26.076923076923077,7.846153846153846,23.846153846153847,349.6923076923077,68.23076923076923
FSVMainz_6300,44.785714285714285,14.214285714285714,12.5,4.428571428571429,5.714285714285714,5.571428571428571,2.4415584415584415,48.57142857142857,22.785714285714285,3.5,2.4285714285714284,25.857142857142858,8.214285714285714,24.142857142857142,345.64285714285717,68.28571428571429
FSVMainz_6310,45.266666666666666,13.933333333333334,12.8,4.333333333333333,6.066666666666666,5.666666666666667,2.3454545454545452,49.6,23.266666666666666,3.4,2.466666666666667,26.133333333333333,8.333333333333334,24.2,353.26666666666665,68.4
FSVMainz_6324,45.8125,13.625,13.0625,4.5625,6.0625,5.8125,2.2613636363636362,48.625,22.625,3.375,2.5,26.1875,8.25,24.4375,359.3125,68.875
FSVMainz_6338,46.88235294117647,13.764705882352942,13.529411764705882,4.764705882352941,5.9411764705882355,5.882352941176471,2.3636363636363633,47.705882352941174,22.41176470588235,3.2941176470588234,2.8823529411764706,25.41176470588235,8.176470588235293,24.941176470588236,364.52941176470586,69.58823529411765
