,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
RBLeipzig_6094,34.0,16.0,10.0,4.0,5.0,5.0,2.0,26.0,14.0,1.0,1.0,25.0,6.0,30.0,305.0,66.0
RBLeipzig_6105,38.0,15.5,9.5,4.5,4.0,5.0,1.5,43.0,24.0,0.5,1.0,26.0,7.5,27.5,357.0,65.0
RBLeipzig_6114,44.0,15.333333333333334,12.0,6.333333333333333,3.6666666666666665,5.333333333333333,1.0,42.0,23.0,0.6666666666666666,2.0,28.0,9.0,24.666666666666668,427.6666666666667,70.0
RBLeipzig_6137,48.0,16.0,14.5,6.25,5.75,5.5,1.75,42.25,24.0,1.0,2.5,29.25,9.25,23.75,464.0,73.0
RBLeipzig_6151,48.4,15.4,14.6,6.0,5.6,5.0,1.4,45.0,26.0,1.2,3.0,32.8,11.0,25.6,461.6,72.0
RBLeipzig_6178,48.333333333333336,15.5,14.5,5.666666666666667,5.333333333333333,5.5,1.3333333333333333,45.666666666666664,25.0,1.6666666666666667,3.3333333333333335,32.333333333333336,10.333333333333334,25.166666666666668,447.3333333333333,72.16666666666667
RBLeipzig_6192,50.57142857142857,14.714285714285714,14.428571428571429,6.0,5.428571428571429,6.0,1.2857142857142858,47.42857142857143,26.142857142857142,1.4285714285714286,3.142857142857143,31.0,9.857142857142858,25.0,469.42857142857144,73.42857142857143
RBLeipzig_6226,53.125,13.875,15.125,6.5,5.75,5.625,1.25,46.625,26.5,1.625,3.0,31.125,9.5,23.5,483.25,74.5
RBLeipzig_6233,54.0,14.222222222222221,15.0,6.333333333333333,5.666666666666667,5.777777777777778,1.4444444444444444,45.0,25.666666666666668,1.5555555555555556,3.111111111111111,31.11111111111111,9.11111111111111,23.333333333333332,490.44444444444446,75.22222222222223
RBLeipzig_6247,55.4,13.8,15.1,5.7,6.0,5.5,1.5,45.5,25.6,1.6,3.4,31.0,9.9,24.0,498.5,75.1
RBLeipzig_6261,55.09090909090909,13.909090909090908,15.090909090909092,5.7272727272727275,6.181818181818182,5.2727272727272725,1.4545454545454546,45.18181818181818,25.363636363636363,1.4545454545454546,3.4,32.27272727272727,9.636363636363637,24.545454545454547,502.72727272727275,74.72727272727273
RBLeipzig_6275,55.166666666666664,14.083333333333334,14.75,5.75,6.0,5.416666666666667,1.5833333333333333,44.75,24.416666666666668,1.6666666666666667,3.1999999999999997,32.333333333333336,9.25,24.75,503.25,74.91666666666667
RBLeipzig_6296,55.53846153846154,13.923076923076923,15.538461538461538,6.076923076923077,6.153846153846154,5.769230769230769,1.5384615384615385,44.53846153846154,24.384615384615383,1.6153846153846154,3.4923076923076923,31.76923076923077,8.923076923076923,24.0,505.2307692307692,75.53846153846153
RBLeipzig_6303,55.42857142857143,13.857142857142858,15.428571428571429,6.0,6.142857142857143,5.928571428571429,1.5714285714285714,43.642857142857146,24.0,1.7142857142857142,3.457142857142857,32.0,8.714285714285714,24.071428571428573,503.5,75.57142857142857
RBLeipzig_6310,55.4,14.2,15.266666666666667,6.0,6.0,5.933333333333334,1.5333333333333334,44.06666666666667,23.666666666666668,1.7333333333333334,3.4266666666666667,31.466666666666665,8.4,23.933333333333334,504.26666666666665,75.8
RBLeipzig_6324,56.1875,14.1875,15.25,5.8125,6.25,5.875,1.625,44.375,24.0625,1.625,3.3375,31.25,8.5625,24.75,505.4375,75.9375
RBLeipzig_6338,55.1764705882353,14.470588235294118,15.058823529411764,5.823529411764706,6.0588235294117645,5.647058823529412,1.588235294117647,43.0,23.470588235294116,1.7647058823529411,3.2588235294117647,31.176470588235293,8.470588235294118,24.176470588235293,497.2352941176471,76.23529411764706
