,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
WerderBremen_6095,53.0,14.0,10.0,1.0,6.0,0.0,2.0,50.0,23.0,3.0,3.0,27.0,8.0,22.0,400.0,74.0
WerderBremen_6105,46.5,14.5,11.5,4.0,5.5,1.5,2.0,48.5,22.5,3.5,2.0,26.0,8.5,24.0,368.0,71.5
WerderBremen_6108,44.333333333333336,15.333333333333334,13.0,4.0,7.333333333333333,3.0,1.6666666666666667,40.0,16.666666666666668,3.3333333333333335,1.6666666666666667,24.333333333333332,7.333333333333333,23.333333333333332,355.3333333333333,72.66666666666667
WerderBremen_6129,41.75,14.0,12.5,4.25,6.25,2.25,1.75,40.25,16.75,3.75,2.0,27.75,7.75,21.25,342.5,72.0
WerderBremen_6143,44.8,16.2,12.8,4.2,6.6,2.6,1.6,45.4,21.0,3.4,2.0,26.6,7.6,22.2,368.6,72.6
WerderBremen_6165,44.5,17.333333333333332,13.0,4.166666666666667,6.333333333333333,2.6666666666666665,1.5,43.333333333333336,20.5,4.0,2.5,25.333333333333332,7.0,22.0,370.6666666666667,73.16666666666667
WerderBremen_6178,45.0,17.428571428571427,13.0,4.142857142857143,6.285714285714286,2.7142857142857144,1.2857142857142858,44.857142857142854,21.285714285714285,4.0,2.5714285714285716,25.285714285714285,7.285714285714286,22.428571428571427,374.7142857142857,73.0
WerderBremen_6192,46.0,17.375,12.625,4.0,5.875,2.875,1.25,43.5,20.625,4.0,2.5,26.0,7.25,22.5,379.875,73.25
WerderBremen_6226,45.44444444444444,17.22222222222222,12.222222222222221,4.0,5.555555555555555,2.888888888888889,1.4444444444444444,42.55555555555556,20.22222222222222,4.222222222222222,2.3333333333333335,26.88888888888889,6.666666666666667,22.88888888888889,375.0,72.22222222222223
WerderBremen_6233,44.5,17.2,12.2,4.1,5.6,2.8,1.7,41.4,19.0,4.0,2.2,27.3,6.9,22.6,372.1,72.3
WerderBremen_6247,45.90909090909091,17.09090909090909,12.545454545454545,4.2727272727272725,5.363636363636363,3.3636363636363638,1.7272727272727273,42.0,19.545454545454547,3.8181818181818183,2.6363636363636362,26.454545454545453,7.2727272727272725,22.454545454545453,392.8181818181818,73.27272727272727
WerderBremen_6268,45.583333333333336,16.416666666666668,12.166666666666666,4.25,5.25,3.25,1.6666666666666667,41.583333333333336,19.666666666666668,3.75,2.4166666666666665,27.166666666666668,7.25,22.75,384.5,73.41666666666667
WerderBremen_6282,45.46153846153846,16.0,11.923076923076923,4.230769230769231,4.846153846153846,3.3076923076923075,1.6923076923076923,42.07692307692308,19.846153846153847,3.6153846153846154,2.6153846153846154,26.846153846153847,7.384615384615385,22.923076923076923,384.84615384615387,72.76923076923077
WerderBremen_6299,45.07142857142857,15.5,11.857142857142858,4.357142857142857,4.642857142857143,3.357142857142857,1.5714285714285714,41.857142857142854,20.142857142857142,3.5714285714285716,2.642857142857143,26.571428571428573,7.214285714285714,22.5,385.14285714285717,72.85714285714286
WerderBremen_6311,45.666666666666664,15.333333333333334,12.0,4.4,4.733333333333333,3.4,1.6666666666666667,42.333333333333336,20.666666666666668,3.533333333333333,2.6,26.8,7.266666666666667,23.333333333333332,390.3333333333333,72.73333333333333
WerderBremen_6324,45.4375,14.9375,11.8125,4.375,4.75,3.3125,1.625,42.1875,20.875,3.4375,2.4375,26.375,7.25,23.25,395.0625,72.9375
WerderBremen_6338,45.64705882352941,14.647058823529411,12.058823529411764,4.529411764705882,4.764705882352941,3.7058823529411766,1.588235294117647,41.11764705882353,20.294117647058822,3.4705882352941178,2.5294117647058822,27.11764705882353,6.882352941176471,23.0,399.47058823529414,73.58823529411765
