,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ACMilan_6080,41.0,15.0,12.0,3.0,6.0,4.0,6.0,18.0,12.0,4.0,3.0,13.0,8.0,15.0,402.0,81.0
ACMilan_6100,44.5,15.5,11.0,3.0,4.0,4.5,4.5,19.0,12.5,3.5,4.0,21.0,10.5,21.5,394.0,79.5
ACMilan_6109,42.333333333333336,14.333333333333334,11.333333333333334,2.3333333333333335,4.666666666666667,4.0,4.333333333333333,16.666666666666668,10.0,4.0,4.333333333333333,22.666666666666668,9.333333333333334,19.333333333333332,377.0,79.33333333333333
ACMilan_6130,45.75,14.0,12.5,3.0,4.75,3.5,3.75,19.75,10.0,4.0,4.75,21.75,9.25,18.25,403.75,80.25
ACMilan_6139,47.2,13.0,12.6,3.0,5.2,3.4,3.0,19.6,10.4,3.4,4.4,20.4,9.4,18.0,417.6,81.4
ACMilan_6151,47.333333333333336,13.166666666666666,12.5,3.5,5.333333333333333,3.6666666666666665,2.6666666666666665,19.333333333333332,9.833333333333334,3.8333333333333335,3.6666666666666665,21.166666666666668,8.5,17.333333333333332,416.8333333333333,81.66666666666667
ACMilan_6171,49.285714285714285,13.714285714285714,13.0,3.857142857142857,5.142857142857143,4.0,2.7142857142857144,20.142857142857142,10.285714285714286,3.7142857142857144,4.0,20.714285714285715,8.857142857142858,18.142857142857142,446.57142857142856,82.71428571428571
ACMilan_6187,49.625,14.875,12.25,3.75,4.75,4.0,2.625,20.625,10.125,3.625,3.75,21.0,8.75,19.25,445.875,82.0
ACMilan_6244,49.111111111111114,14.777777777777779,11.444444444444445,3.7777777777777777,4.333333333333333,4.555555555555555,3.0,20.555555555555557,10.444444444444445,3.7777777777777777,3.3333333333333335,21.555555555555557,9.0,19.22222222222222,436.55555555555554,81.55555555555556
ACMilan_6221,50.5,14.4,12.4,4.0,4.8,4.7,3.0,21.5,11.0,3.9,3.6,22.4,9.4,19.6,449.1,82.1
ACMilan_6234,51.45454545454545,14.272727272727273,12.454545454545455,4.090909090909091,4.818181818181818,4.909090909090909,2.909090909090909,22.727272727272727,11.272727272727273,3.8181818181818183,3.4545454545454546,23.09090909090909,9.0,20.181818181818183,460.0,82.36363636363636
ACMilan_6249,52.0,14.25,12.166666666666666,4.083333333333333,4.666666666666667,5.166666666666667,2.8333333333333335,22.583333333333332,11.5,4.25,3.3333333333333335,23.833333333333332,9.333333333333334,20.0,466.0833333333333,82.5
ACMilan_6262,51.92307692307692,14.461538461538462,12.23076923076923,4.230769230769231,4.615384615384615,5.384615384615385,2.8461538461538463,22.384615384615383,11.615384615384615,4.3076923076923075,3.3076923076923075,24.307692307692307,9.307692307692308,19.53846153846154,459.2307692307692,82.23076923076923
ACMilan_6274,51.142857142857146,14.928571428571429,11.785714285714286,4.071428571428571,4.428571428571429,5.142857142857143,3.0714285714285716,22.642857142857142,11.714285714285714,4.642857142857143,3.2142857142857144,24.571428571428573,9.071428571428571,19.357142857142858,454.92857142857144,81.92857142857143
ACMilan_6297,52.06666666666667,14.533333333333333,12.8,4.133333333333334,4.866666666666666,5.266666666666667,3.066666666666667,22.666666666666668,12.133333333333333,4.533333333333333,3.6666666666666665,25.266666666666666,9.666666666666666,19.8,461.1333333333333,82.13333333333334
ACMilan_6310,52.625,14.25,12.9375,4.25,4.8125,5.4375,3.0,22.75,12.4375,4.375,3.6875,25.875,10.0,19.9375,464.8125,82.3125
ACMilan_6325,53.294117647058826,14.235294117647058,12.941176470588236,4.411764705882353,4.647058823529412,5.764705882352941,3.0,23.0,12.588235294117647,4.235294117647059,3.7058823529411766,25.58823529411765,10.235294117647058,20.764705882352942,467.2352941176471,81.94117647058823
ACMilan_6338,53.333333333333336,13.88888888888889,12.944444444444445,4.388888888888889,4.611111111111111,5.722222222222222,2.888888888888889,23.055555555555557,12.777777777777779,4.333333333333333,3.7777777777777777,25.444444444444443,10.5,21.055555555555557,469.77777777777777,82.16666666666667
ACMilan_6353,53.94736842105263,13.842105263157896,13.210526315789474,4.526315789473684,4.578947368421052,5.7368421052631575,2.8947368421052633,22.68421052631579,12.578947368421053,4.473684210526316,3.9473684210526314,25.0,10.789473684210526,21.105263157894736,471.05263157894734,82.36842105263158
