,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Bologna_6081,52.0,12.0,10.0,2.0,6.0,3.0,2.0,11.0,4.0,6.0,2.0,32.0,9.0,24.0,427.0,85.0
Bologna_6101,45.5,9.5,9.5,2.5,4.0,3.0,1.5,11.0,4.0,6.5,3.0,27.0,10.0,19.0,431.0,83.0
Bologna_6109,43.333333333333336,8.666666666666666,9.0,2.6666666666666665,3.3333333333333335,3.3333333333333335,2.3333333333333335,17.666666666666668,5.666666666666667,6.0,3.0,31.0,9.333333333333334,19.0,403.0,79.66666666666667
Bologna_6130,40.5,10.5,9.0,3.0,2.5,2.5,2.5,18.75,5.75,6.25,3.5,30.5,8.25,18.25,363.25,77.0
Bologna_6140,41.2,11.2,8.8,3.2,2.4,2.8,2.8,21.2,7.6,5.6,3.2,30.6,6.8,18.8,377.4,77.2
Bologna_6151,42.0,10.833333333333334,9.5,3.5,2.8333333333333335,3.3333333333333335,2.3333333333333335,20.5,7.666666666666667,5.5,3.1666666666666665,28.833333333333332,6.666666666666667,19.0,383.8333333333333,77.5
Bologna_6180,42.285714285714285,11.714285714285714,9.142857142857142,3.142857142857143,3.2857142857142856,2.857142857142857,2.2857142857142856,21.857142857142858,8.285714285714286,5.857142857142857,2.7142857142857144,28.285714285714285,7.142857142857143,19.142857142857142,393.42857142857144,78.0
Bologna_6193,45.5,12.25,10.25,3.75,3.75,3.375,2.25,21.625,8.375,5.25,2.75,26.625,7.0,18.5,429.875,79.625
Bologna_6213,45.55555555555556,12.333333333333334,9.88888888888889,3.5555555555555554,3.5555555555555554,3.2222222222222223,2.2222222222222223,20.77777777777778,8.222222222222221,4.777777777777778,2.7777777777777777,27.22222222222222,7.111111111111111,18.11111111111111,435.3333333333333,80.22222222222223
Bologna_6219,46.0,12.5,10.3,3.9,3.7,3.4,2.4,21.7,9.2,4.9,2.7,26.3,7.4,18.9,434.2,79.8
Bologna_6234,46.36363636363637,11.636363636363637,10.0,3.727272727272727,3.727272727272727,3.272727272727273,2.5454545454545454,19.90909090909091,8.454545454545455,4.909090909090909,2.5454545454545454,26.3,7.4,17.363636363636363,400.45454545454544,79.8
Bologna_6248,45.416666666666664,11.833333333333334,10.083333333333334,3.5,4.0,3.3333333333333335,2.6666666666666665,20.083333333333332,8.833333333333334,4.666666666666667,2.4166666666666665,26.941666666666666,7.533333333333334,17.333333333333332,393.3333333333333,79.14999999999999
Bologna_6262,46.84615384615385,11.384615384615385,10.307692307692308,3.5384615384615383,4.0,3.230769230769231,2.5384615384615383,22.076923076923077,10.307692307692308,4.6923076923076925,2.6153846153846154,27.176923076923078,7.492307692307692,17.23076923076923,412.7692307692308,79.83076923076922
Bologna_6276,46.42857142857143,11.642857142857142,10.357142857142858,3.357142857142857,4.071428571428571,3.5,2.7142857142857144,22.928571428571427,10.428571428571429,4.714285714285714,2.7857142857142856,27.592857142857145,7.6000000000000005,17.357142857142858,408.7142857142857,79.34285714285714
Bologna_6297,45.8,11.733333333333333,10.0,3.2,4.0,3.3333333333333335,2.6666666666666665,23.2,10.8,4.733333333333333,2.6666666666666665,28.486666666666668,7.493333333333334,17.533333333333335,404.46666666666664,79.45333333333333
Bologna_6310,45.25,11.625,9.875,3.25,3.9375,3.4375,2.625,23.75,11.3125,4.5625,2.5,28.20625,7.4625,17.1875,398.6875,79.425
Bologna_6317,45.411764705882355,12.058823529411764,9.941176470588236,3.411764705882353,3.823529411764706,3.411764705882353,2.6470588235294117,23.470588235294116,11.176470588235293,4.294117647058823,2.5294117647058822,28.429411764705883,7.141176470588236,17.58823529411765,399.05882352941177,79.45882352941176
Bologna_6332,46.0,12.38888888888889,9.722222222222221,3.388888888888889,3.7222222222222223,3.2777777777777777,2.611111111111111,23.944444444444443,11.722222222222221,4.333333333333333,2.4444444444444446,28.23888888888889,7.2444444444444445,18.555555555555557,405.44444444444446,79.37777777777778
Bologna_6346,46.10526315789474,12.157894736842104,9.631578947368421,3.210526315789474,3.789473684210526,3.263157894736842,2.5789473684210527,23.842105263157894,11.578947368421053,4.2631578947368425,2.473684210526316,27.910526315789472,6.915789473684211,18.526315789473685,404.94736842105266,79.25263157894737
