,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Cagliari_6074,30.0,10.0,1.0,,1.0,1.0,3.0,24.0,6.0,3.0,0.0,43.0,5.0,23.0,203.0,67.0
Cagliari_6095,42.0,9.5,6.0,5.0,3.5,2.5,3.0,21.5,6.5,5.5,0.0,33.5,9.5,22.0,327.0,74.0
Cagliari_6105,41.0,10.333333333333334,4.666666666666667,2.5,3.0,1.6666666666666667,3.0,22.333333333333332,8.0,7.0,0.0,28.333333333333332,7.666666666666667,19.0,350.3333333333333,75.0
Cagliari_6130,39.25,10.75,6.25,3.6666666666666665,3.25,2.75,3.5,24.75,10.0,6.0,0.25,29.0,6.25,18.5,333.0,73.5
Cagliari_6140,40.2,9.8,7.8,4.0,3.8,4.2,3.4,26.8,11.6,6.4,0.8,27.2,7.2,19.8,340.2,74.6
Cagliari_6150,39.666666666666664,9.833333333333334,8.166666666666666,4.6,3.5,4.166666666666667,3.1666666666666665,26.666666666666668,12.5,6.0,0.8333333333333334,26.166666666666668,6.833333333333333,19.666666666666668,346.0,75.5
Cagliari_6164,40.714285714285715,11.0,8.571428571428571,4.166666666666667,4.142857142857143,4.857142857142857,3.142857142857143,29.857142857142858,14.714285714285714,5.285714285714286,0.8571428571428571,24.428571428571427,6.714285714285714,20.142857142857142,359.42857142857144,75.14285714285714
Cagliari_6179,40.0,11.875,8.25,3.857142857142857,3.875,4.5,3.375,28.75,14.25,4.75,1.0,24.625,6.125,20.25,353.5,74.375
Cagliari_6192,42.0,12.444444444444445,8.11111111111111,3.5,4.0,4.222222222222222,3.5555555555555554,29.555555555555557,15.333333333333334,4.222222222222222,1.1111111111111112,24.77777777777778,6.222222222222222,21.555555555555557,368.6666666666667,74.55555555555556
Cagliari_6213,42.2,12.4,8.0,3.2222222222222223,3.9,4.1,3.3,29.5,14.7,4.1,1.3,25.0,6.3,22.0,376.1,74.5
Cagliari_6227,42.36363636363637,12.636363636363637,8.0,2.9,3.909090909090909,4.090909090909091,3.272727272727273,30.90909090909091,15.181818181818182,4.181818181818182,1.5454545454545454,25.636363636363637,6.454545454545454,21.818181818181817,381.54545454545456,74.27272727272727
Cagliari_6241,42.666666666666664,13.083333333333334,7.916666666666667,2.909090909090909,3.6666666666666665,4.083333333333333,3.1666666666666665,30.166666666666668,14.75,4.083333333333333,1.6666666666666667,26.083333333333332,6.75,22.416666666666668,385.3333333333333,74.33333333333333
Cagliari_6255,42.30769230769231,13.846153846153847,8.076923076923077,3.0,3.6153846153846154,4.076923076923077,3.3846153846153846,31.0,14.846153846153847,3.8461538461538463,1.7692307692307692,26.615384615384617,6.538461538461538,22.076923076923077,376.53846153846155,73.92307692307692
Cagliari_6262,42.42857142857143,13.642857142857142,8.0,2.923076923076923,3.5714285714285716,3.857142857142857,3.2142857142857144,31.571428571428573,15.571428571428571,3.8461538461538463,1.7857142857142858,26.357142857142858,6.428571428571429,22.571428571428573,377.5,72.78571428571429
Cagliari_6276,41.666666666666664,13.266666666666667,8.333333333333334,3.0714285714285716,3.6666666666666665,3.8,3.066666666666667,31.133333333333333,15.266666666666667,4.1230769230769235,1.8,26.466666666666665,6.2,21.8,371.1333333333333,72.4
Cagliari_6297,41.9375,13.375,8.875,3.466666666666667,3.8125,3.8125,2.9375,31.625,16.0625,4.115384615384615,1.8125,26.625,6.0625,21.3125,371.6875,72.375
Cagliari_6318,42.76470588235294,13.470588235294118,9.058823529411764,3.4375,3.8823529411764706,3.7058823529411766,2.823529411764706,31.352941176470587,15.941176470588236,4.049773755656108,1.9411764705882353,26.352941176470587,5.882352941176471,21.058823529411764,378.52941176470586,73.05882352941177
Cagliari_6331,41.833333333333336,13.055555555555555,9.0,3.411764705882353,3.8333333333333335,3.611111111111111,2.6666666666666665,30.944444444444443,15.722222222222221,4.158119658119658,1.9444444444444444,26.055555555555557,5.888888888888889,20.72222222222222,376.44444444444446,73.05555555555556
Cagliari_6346,41.94736842105263,13.526315789473685,9.31578947368421,3.5555555555555554,3.9473684210526314,3.9473684210526314,2.789473684210526,30.05263157894737,15.526315789473685,4.097165991902834,1.9473684210526316,26.105263157894736,5.894736842105263,20.57894736842105,376.10526315789474,73.26315789473684
