,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Empoli_6081,62.0,19.0,13.0,4.0,3.0,5.0,3.0,27.0,15.0,1.0,6.0,29.0,12.0,22.0,504.0,84.0
Empoli_6102,58.0,13.0,9.0,3.0,3.0,5.0,3.0,29.0,15.0,3.0,3.0,31.5,9.5,21.0,487.5,82.0
Empoli_6109,59.0,11.0,9.0,3.0,3.3333333333333335,5.333333333333333,2.6666666666666665,27.333333333333332,12.333333333333334,2.3333333333333335,2.6666666666666665,30.666666666666668,9.333333333333334,24.0,505.6666666666667,81.66666666666667
Empoli_6130,58.25,12.5,7.25,2.5,2.75,4.5,3.0,24.75,12.0,2.5,2.0,29.0,8.0,22.75,501.5,82.5
Empoli_6140,54.4,11.8,7.2,2.4,2.6,5.2,2.8,23.6,11.6,3.6,2.2,27.8,9.0,22.8,478.2,81.6
Empoli_6151,53.0,11.666666666666666,7.5,3.0,2.6666666666666665,4.5,2.6666666666666665,24.0,11.5,4.0,1.8333333333333333,29.5,10.666666666666666,22.0,470.8333333333333,81.0
Empoli_6179,53.57142857142857,11.428571428571429,8.571428571428571,3.0,3.2857142857142856,4.857142857142857,3.142857142857143,24.428571428571427,11.571428571428571,3.857142857142857,2.142857142857143,28.428571428571427,9.714285714285714,23.142857142857142,475.7142857142857,81.0
Empoli_6186,52.625,12.125,8.0,2.875,3.0,4.5,3.25,23.875,11.5,3.75,2.0,26.625,8.875,23.5,466.125,80.0
Empoli_6195,50.666666666666664,11.88888888888889,7.444444444444445,2.6666666666666665,2.888888888888889,4.222222222222222,3.3333333333333335,23.666666666666668,11.333333333333334,4.222222222222222,1.7777777777777777,28.0,8.88888888888889,23.555555555555557,451.1111111111111,79.0
Empoli_6220,50.2,11.6,8.0,2.5,3.3,4.6,3.3,25.4,12.3,4.0,2.1,27.9,8.6,23.0,441.2,78.4
Empoli_6234,50.90909090909091,11.818181818181818,7.7272727272727275,2.5454545454545454,3.090909090909091,4.2727272727272725,3.090909090909091,26.545454545454547,13.181818181818182,3.909090909090909,2.0,27.727272727272727,8.363636363636363,23.363636363636363,447.90909090909093,78.63636363636364
Empoli_6248,50.666666666666664,11.916666666666666,7.75,2.75,3.0,4.083333333333333,3.0,27.333333333333332,13.666666666666666,4.083333333333333,1.9166666666666667,28.333333333333332,8.75,23.416666666666668,448.3333333333333,78.83333333333333
Empoli_6261,50.30769230769231,11.846153846153847,7.615384615384615,2.6153846153846154,3.0,3.8461538461538463,2.8461538461538463,27.384615384615383,13.23076923076923,4.153846153846154,1.9230769230769231,29.0,8.538461538461538,23.0,453.0,79.07692307692308
Empoli_6276,50.357142857142854,12.285714285714286,8.0,2.7142857142857144,3.2857142857142856,4.0,2.7142857142857144,27.285714285714285,13.571428571428571,4.214285714285714,1.8571428571428572,28.5,8.785714285714286,22.857142857142858,456.92857142857144,79.21428571428571
Empoli_6296,50.0,11.866666666666667,8.266666666666667,2.7333333333333334,3.6,4.0,2.6,27.0,13.533333333333333,4.133333333333334,1.8,27.6,8.933333333333334,22.866666666666667,453.06666666666666,79.6
Empoli_6310,49.0625,12.25,8.4375,2.875,3.5625,4.1875,2.75,26.5625,13.25,4.25,1.875,27.5625,8.625,22.5625,443.125,79.1875
Empoli_6318,48.411764705882355,12.529411764705882,8.529411764705882,3.0588235294117645,3.411764705882353,4.176470588235294,2.823529411764706,27.352941176470587,13.529411764705882,4.647058823529412,1.9411764705882353,27.764705882352942,8.470588235294118,22.647058823529413,435.47058823529414,78.76470588235294
Empoli_6339,48.666666666666664,12.444444444444445,8.722222222222221,3.0555555555555554,3.5555555555555554,4.222222222222222,2.7777777777777777,27.166666666666668,13.222222222222221,4.555555555555555,2.0,27.88888888888889,8.61111111111111,22.833333333333332,438.1666666666667,79.0
Empoli_6353,49.10526315789474,12.631578947368421,9.210526315789474,3.1052631578947367,3.8947368421052633,4.368421052631579,2.8421052631578947,27.842105263157894,13.789473684210526,4.473684210526316,2.0526315789473686,27.263157894736842,8.578947368421053,22.526315789473685,442.2105263157895,79.15789473684211
