,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Juventus_6080,49.0,5.0,13.0,5.0,5.0,2.0,2.0,26.0,14.0,1.0,3.0,28.0,12.0,21.0,489.0,84.0
Juventus_6102,50.5,11.5,11.0,3.5,4.5,3.0,2.5,31.5,15.0,1.0,3.0,22.5,8.0,15.0,465.0,83.5
Juventus_6108,51.0,11.0,12.333333333333334,4.666666666666667,5.0,5.0,2.6666666666666665,27.333333333333332,13.666666666666666,1.3333333333333333,2.6666666666666665,25.666666666666668,8.333333333333334,15.666666666666666,484.6666666666667,84.33333333333333
Juventus_6116,52.5,13.25,15.75,6.25,5.75,5.5,2.25,25.5,13.75,1.75,3.75,27.0,11.25,14.75,489.5,84.75
Juventus_6136,53.8,13.4,17.0,5.6,7.6,6.2,2.4,24.8,13.6,1.6,3.8,25.8,10.0,18.4,484.2,84.6
Juventus_6151,54.666666666666664,13.5,17.0,5.666666666666667,7.666666666666667,5.833333333333333,2.6666666666666665,24.5,13.5,1.5,3.6666666666666665,26.0,9.833333333333334,17.5,489.1666666666667,84.83333333333333
Juventus_6172,56.142857142857146,12.714285714285714,15.428571428571429,5.142857142857143,7.142857142857143,5.857142857142857,2.5714285714285716,26.0,13.714285714285714,1.8571428571428572,3.4285714285714284,26.142857142857142,9.571428571428571,18.142857142857142,495.7142857142857,84.71428571428571
Juventus_6186,55.125,13.5,15.5,5.375,7.375,5.5,2.5,24.625,13.125,1.75,3.0,25.25,9.25,18.75,487.25,83.875
Juventus_6244,57.888888888888886,13.222222222222221,15.666666666666666,5.888888888888889,7.0,5.0,2.3333333333333335,24.666666666666668,13.88888888888889,1.7777777777777777,2.888888888888889,24.88888888888889,9.222222222222221,19.444444444444443,527.4444444444445,84.44444444444444
Juventus_6220,57.3,13.9,15.0,5.5,6.7,5.2,2.6,23.2,13.1,2.0,2.9,25.3,10.0,20.4,518.9,84.0
Juventus_6234,57.09090909090909,13.818181818181818,15.090909090909092,5.545454545454546,6.7272727272727275,5.2727272727272725,2.4545454545454546,23.181818181818183,13.272727272727273,2.090909090909091,2.8181818181818183,25.09090909090909,9.818181818181818,20.0,521.1818181818181,83.9090909090909
Juventus_6248,57.583333333333336,13.833333333333334,15.083333333333334,5.416666666666667,6.833333333333333,4.916666666666667,2.6666666666666665,23.083333333333332,12.833333333333334,2.1666666666666665,2.75,24.75,9.833333333333334,19.333333333333332,531.5833333333334,84.25
Juventus_6269,58.15384615384615,14.23076923076923,14.615384615384615,5.230769230769231,6.461538461538462,5.076923076923077,2.6153846153846154,23.153846153846153,12.846153846153847,2.3076923076923075,2.8461538461538463,24.615384615384617,9.461538461538462,19.615384615384617,530.2307692307693,84.3076923076923
Juventus_6283,57.642857142857146,13.928571428571429,14.214285714285714,5.214285714285714,6.142857142857143,5.071428571428571,2.5,22.642857142857142,12.5,2.5,2.7857142857142856,24.714285714285715,10.0,20.214285714285715,530.1428571428571,84.21428571428571
Juventus_6297,56.4,13.6,13.533333333333333,4.933333333333334,5.866666666666666,4.866666666666666,2.3333333333333335,22.6,12.4,2.533333333333333,2.6666666666666665,24.933333333333334,10.2,20.2,526.4666666666667,84.0
Juventus_6310,56.75,13.5,13.5625,5.0625,5.9375,4.625,2.25,21.5,11.75,2.5,2.5,24.8125,10.375,19.75,531.8125,84.25
Juventus_6323,57.294117647058826,13.235294117647058,13.705882352941176,5.235294117647059,5.9411764705882355,4.9411764705882355,2.235294117647059,20.941176470588236,11.470588235294118,2.6470588235294117,2.4705882352941178,25.058823529411764,10.294117647058824,19.470588235294116,535.5294117647059,84.3529411764706
Juventus_6339,57.166666666666664,12.833333333333334,13.88888888888889,5.222222222222222,5.944444444444445,5.0,2.2222222222222223,21.27777777777778,11.555555555555555,2.7222222222222223,2.611111111111111,25.0,10.277777777777779,19.333333333333332,532.5,84.44444444444444
Juventus_6352,57.473684210526315,12.578947368421053,14.052631578947368,5.315789473684211,5.894736842105263,5.2631578947368425,2.1578947368421053,21.0,11.31578947368421,2.6315789473684212,2.736842105263158,24.263157894736842,10.31578947368421,19.42105263157895,535.2631578947369,84.57894736842105
