,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lazio_6074,40.0,16.0,3.0,2.0,1.0,2.0,1.0,26.0,13.0,3.0,2.0,29.0,3.0,16.0,256.0,69.0
Lazio_6095,44.0,15.5,7.0,2.5,3.5,1.5,3.0,33.0,14.0,3.0,2.0,23.0,5.0,23.0,346.5,73.5
Lazio_6104,45.333333333333336,14.333333333333334,11.333333333333334,3.3333333333333335,6.333333333333333,3.6666666666666665,3.3333333333333335,32.0,14.666666666666666,4.0,2.3333333333333335,26.666666666666668,6.666666666666667,22.333333333333332,349.0,74.33333333333333
Lazio_6115,47.5,13.75,12.25,3.75,6.0,5.0,2.75,29.75,13.25,3.75,3.0,31.5,7.5,23.0,387.25,77.0
Lazio_6137,46.8,13.8,12.6,4.2,6.4,5.0,2.6,28.2,13.4,3.4,2.4,32.2,7.4,22.8,389.6,77.4
Lazio_6150,44.833333333333336,14.0,11.666666666666666,4.0,6.0,4.5,2.5,26.0,12.666666666666666,4.0,2.0,31.833333333333332,7.5,20.833333333333332,386.5,77.5
Lazio_6172,47.0,14.571428571428571,12.571428571428571,4.428571428571429,6.714285714285714,4.571428571428571,2.2857142857142856,25.714285714285715,12.714285714285714,4.0,2.4285714285714284,29.857142857142858,8.0,22.0,408.14285714285717,78.42857142857143
Lazio_6185,46.125,14.625,12.125,4.75,6.125,4.625,2.5,26.0,13.625,4.0,2.25,31.625,8.375,21.625,400.75,77.875
Lazio_6196,46.22222222222222,14.222222222222221,11.666666666666666,4.666666666666667,5.777777777777778,4.444444444444445,2.4444444444444446,26.77777777777778,14.0,3.888888888888889,2.3333333333333335,32.111111111111114,9.444444444444445,21.22222222222222,399.8888888888889,77.88888888888889
Lazio_6227,45.9,14.7,11.6,4.4,5.6,4.4,2.5,25.1,13.1,3.5,2.6,33.0,9.7,20.8,406.9,78.7
Lazio_6241,46.81818181818182,14.818181818181818,12.363636363636363,5.090909090909091,5.545454545454546,4.363636363636363,2.3636363636363638,25.272727272727273,13.454545454545455,3.5454545454545454,2.5454545454545454,32.54545454545455,9.545454545454545,20.636363636363637,419.09090909090907,79.27272727272727
Lazio_6254,47.416666666666664,14.166666666666666,13.083333333333334,5.333333333333333,5.833333333333333,4.75,2.25,25.916666666666668,14.25,3.3333333333333335,2.6666666666666665,32.75,9.833333333333334,21.0,428.4166666666667,79.25
Lazio_6269,47.92307692307692,14.538461538461538,13.076923076923077,5.384615384615385,5.615384615384615,4.846153846153846,2.1538461538461537,26.153846153846153,14.692307692307692,3.3076923076923075,2.769230769230769,32.84615384615385,9.923076923076923,21.076923076923077,436.53846153846155,79.46153846153847
Lazio_6283,48.714285714285715,14.5,13.142857142857142,5.285714285714286,5.5,5.142857142857143,2.142857142857143,26.0,14.5,3.142857142857143,3.0,32.142857142857146,10.357142857142858,21.5,440.07142857142856,79.57142857142857
Lazio_6296,48.93333333333333,14.333333333333334,13.066666666666666,5.2,5.266666666666667,5.0,2.2666666666666666,25.866666666666667,14.4,3.066666666666667,3.2,32.06666666666667,10.6,22.0,443.8,79.4
Lazio_6310,49.5,14.25,13.5625,5.25,5.375,5.125,2.375,25.375,13.9375,3.125,3.5,31.5625,10.4375,22.3125,446.125,79.3125
Lazio_6325,48.588235294117645,14.0,13.588235294117647,5.352941176470588,5.176470588235294,5.117647058823529,2.4705882352941178,25.294117647058822,13.764705882352942,3.235294117647059,3.588235294117647,32.588235294117645,10.352941176470589,21.764705882352942,438.7647058823529,79.11764705882354
Lazio_6338,48.666666666666664,14.166666666666666,13.666666666666666,5.333333333333333,5.166666666666667,5.166666666666667,2.5,24.72222222222222,13.38888888888889,3.4444444444444446,3.611111111111111,32.5,10.166666666666666,21.88888888888889,439.44444444444446,79.38888888888889
Lazio_6353,49.1578947368421,14.105263157894736,13.421052631578947,5.2105263157894735,4.947368421052632,5.157894736842105,2.6315789473684212,24.94736842105263,13.526315789473685,3.3684210526315788,3.6842105263157894,31.68421052631579,10.0,21.736842105263158,441.2631578947368,79.36842105263158
