,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Bologna_6074,49.0,7.0,4.0,3.0,1.0,5.0,1.0,17.0,14.0,0.0,4.0,16.0,11.0,22.0,433.0,82.0
Bologna_6095,47.5,10.0,10.5,6.5,1.5,7.0,1.0,18.0,13.0,2.0,4.5,19.0,10.0,17.5,405.5,82.5
Bologna_6105,45.0,12.0,10.666666666666666,5.666666666666667,2.6666666666666665,5.333333333333333,1.0,19.333333333333332,12.0,2.3333333333333335,3.6666666666666665,21.333333333333332,9.333333333333334,21.0,393.0,80.0
Bologna_6116,44.5,11.0,9.5,5.0,2.5,5.75,1.0,19.25,12.5,2.5,3.0,20.0,10.5,21.5,384.5,79.0
Bologna_6137,44.8,11.0,10.4,4.8,3.8,6.0,0.8,19.4,12.2,2.4,2.6,23.6,10.2,20.4,383.8,79.4
Bologna_6143,44.5,10.5,9.5,4.333333333333333,3.5,5.333333333333333,1.1666666666666667,18.5,11.166666666666666,2.6666666666666665,2.3333333333333335,24.833333333333332,9.333333333333334,20.5,387.8333333333333,80.0
Bologna_6165,45.0,11.142857142857142,9.285714285714286,4.285714285714286,3.4285714285714284,5.142857142857143,1.1428571428571428,19.571428571428573,11.571428571428571,2.7142857142857144,2.142857142857143,25.0,9.142857142857142,21.142857142857142,395.14285714285717,79.42857142857143
Bologna_6172,45.875,11.625,8.875,4.0,3.5,5.25,1.625,20.625,11.875,2.375,2.25,24.625,8.875,21.5,403.0,79.375
Bologna_6186,46.77777777777778,11.88888888888889,10.444444444444445,4.0,4.333333333333333,5.444444444444445,1.6666666666666667,20.555555555555557,11.555555555555555,2.2222222222222223,2.888888888888889,24.22222222222222,8.666666666666666,22.22222222222222,406.6666666666667,79.33333333333333
Bologna_6244,47.6,12.0,11.5,4.2,4.8,5.6,2.0,20.5,11.1,2.3,3.2,24.6,8.8,21.9,409.6,79.9
Bologna_6227,47.18181818181818,11.909090909090908,11.181818181818182,4.181818181818182,4.7272727272727275,5.2727272727272725,2.0,20.363636363636363,11.090909090909092,2.272727272727273,2.909090909090909,24.636363636363637,8.727272727272727,21.727272727272727,404.8181818181818,79.27272727272727
Bologna_6240,47.166666666666664,11.75,11.416666666666666,4.166666666666667,4.916666666666667,5.083333333333333,2.0,19.5,10.5,2.25,2.9166666666666665,24.916666666666668,8.25,20.833333333333332,413.0,79.83333333333333
Bologna_6255,47.0,12.23076923076923,11.23076923076923,4.0,5.0,4.769230769230769,1.9230769230769231,20.846153846153847,11.076923076923077,2.3846153846153846,2.769230769230769,25.46153846153846,8.23076923076923,21.0,408.7692307692308,79.3076923076923
Bologna_6269,46.92857142857143,12.0,11.071428571428571,3.9285714285714284,5.0,4.5,1.9285714285714286,21.428571428571427,10.928571428571429,2.5,2.642857142857143,26.285714285714285,8.571428571428571,21.214285714285715,412.92857142857144,79.35714285714286
Bologna_6283,46.86666666666667,12.466666666666667,11.533333333333333,4.0,5.333333333333333,4.733333333333333,1.9333333333333333,21.466666666666665,10.866666666666667,2.533333333333333,2.6666666666666665,25.6,8.4,20.866666666666667,411.2,79.4
Bologna_6304,46.4375,12.5625,11.6875,4.0,5.25,4.75,2.0,21.25,10.75,2.5,2.8125,25.4375,8.625,20.75,409.5625,79.8125
Bologna_6325,46.294117647058826,12.588235294117647,11.647058823529411,4.117647058823529,5.176470588235294,4.764705882352941,1.9411764705882353,21.823529411764707,10.882352941176471,2.4705882352941178,2.7058823529411766,25.41176470588235,8.470588235294118,20.647058823529413,405.6470588235294,79.76470588235294
Bologna_6339,46.77777777777778,12.38888888888889,11.833333333333334,4.277777777777778,5.166666666666667,5.0,1.9444444444444444,21.61111111111111,11.166666666666666,2.5,2.7222222222222223,25.61111111111111,8.61111111111111,20.88888888888889,410.0,80.0
Bologna_6352,46.26315789473684,12.631578947368421,11.631578947368421,4.157894736842105,5.2105263157894735,4.894736842105263,2.0,21.31578947368421,11.052631578947368,2.6315789473684212,2.5789473684210527,25.789473684210527,8.368421052631579,20.157894736842106,406.7894736842105,79.84210526315789
