,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Marseille_5376,60,14,21,11,7,7,0,33,22,3,3,21,13,25,504,85
Toulouse_5376,42,10,9,5,3,7,3,32,18,4,1,20,2,23,354,70
Metz_5377,32,29,9,4,4,8,3,51,28,1,1,17,5,19,226,64
Lens_5377,53,16,9,4,2,2,None,33,19,1,3,21,6,30,468,74
Nantes_5377,57,17,14,2,8,6,2,41,21,0,4,24,9,21,394,79
Lorient_5377,47,12,13,2,6,7,1,15,8,5,5,15,10,20,534,90
Monaco_5377,60,15,13,7,4,4,1,31,14,3,2,33,11,21,546,80
Lille_5377,45,16,6,3,3,2,1,42,26,2,0,15,4,30,355,73
ParisSaintGermain_5377,68,8,16,8,5,3,None,20,11,3,3,25,28,19,761,91
Bordeaux_5378,44,18,3,2,1,1,3,37,13,None,0,26,5,19,367,78
Nice_5380,37,23,8,2,4,2,4,37,17,1,2,21,9,32,284,70
ParisSaintGermain_5380,65,16,8,2,2,5,3,19,10,4,4,15,8,32,525,82
Reims_5380,47,10,4,1,2,3,2,31,14,None,1,15,4,22,324,69
Guingamp_5380,51,21,11,6,3,4,4,32,17,None,2,17,7,24,361,68
EvianThononGaillard_5380,38,13,5,3,1,3,2,38,19,None,1,22,5,26,295,69
Bastia_5380,36,20,8,2,4,1,3,28,9,None,2,20,2,23,336,70
Rennes_5381,54,8,12,6,6,3,1,15,10,2,0,16,12,20,499,85
Lyon_5381,58,9,10,5,3,3,1,25,11,3,2,14,14,18,561,86
Caen_5381,53,8,13,2,8,0,0,47,25,2,3,20,8,31,471,77
SaintEtienne_5381,41,12,11,5,5,1,2,28,7,6,1,29,18,18,362,77
Bordeaux_5386,66,10,12,3,5,4,2,37,21,0,4,19,6,27,554,84
Marseille_5387,66,10,18,7,8,9,1,33,14,3,3,21,20,34,477,85
Montpellier_5387,43,16,7,2,3,3,3,33,11,1,2,25,13,35,309,67
Lens_5387,54,7,8,1,3,7,1,30,14,5,4,17,8,29,465,80
Lorient_5387,39,15,14,6,6,3,2,37,13,3,2,18,11,22,313,74
Metz_5387,46,24,8,3,4,3,5,40,19,0,1,15,1,31,329,64
Toulouse_5388,42,16,7,1,4,2,1,32,15,1,2,21,9,28,312,61
Nantes_5388,40,16,12,3,6,5,3,47,22,4,3,15,16,18,325,71
Lille_5388,52,20,12,2,6,1,4,21,16,3,4,24,9,19,459,85
Monaco_5388,41,16,15,5,6,7,2,24,12,1,4,17,15,22,392,81
ParisSaintGermain_5400,64,8,15,8,6,0,2,13,6,3,1,28,5,14,736,93
SaintEtienne_5401,52,15,15,6,8,7,2,25,10,1,1,23,8,30,491,82
Guingamp_5401,28,17,6,4,1,1,2,25,10,9,1,20,1,13,219,68
Rennes_5401,56,11,14,3,9,7,0,44,21,3,2,21,5,18,486,78
Bastia_5401,33,13,3,1,2,1,3,31,13,4,0,32,7,27,245,64
Reims_5401,57,14,12,6,4,2,4,37,17,3,2,37,9,22,492,84
EvianThononGaillard_5401,53,12,11,3,7,4,3,19,8,2,1,23,1,39,410,73
Toulouse_5402,47,22,7,1,4,3,3,35,14,3,2,53,13,21,348,76
Caen_5402,46,20,11,4,5,6,3,32,13,1,2,21,6,19,340,76
