,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HerthaBerlin_5386,43,18,12,9,1,3,2,46,25,1,2,15,11,22,365,69
WerderBremen_5387,52,13,18,7,7,10,0,56,24,2,4,20,7,37,371,61
BayernMunchen_5387,70,4,23,9,10,11,None,31,16,3,4,10,19,17,769,91
BorussiaDortmund_5387,64,10,17,3,7,8,2,73,34,4,7,18,9,41,486,71
BayerLeverkusen_5387,65,25,21,10,4,9,3,30,12,3,7,32,16,33,490,76
TSGHoffenheim_5387,41,18,20,8,6,5,3,39,17,2,6,29,5,18,375,73
EintrachtFrankfurt_5387,52,10,19,8,5,6,1,49,27,5,6,18,12,24,523,81
VfLWolfsburg_5388,54,15,15,4,9,4,0,36,18,1,2,16,10,27,471,78
BorussiaMonchengladbach_5388,64,12,18,10,4,2,0,43,22,1,4,20,7,19,687,85
BayernMunchen_5401,76,10,19,6,6,10,0,26,11,None,7,19,15,26,814,89
FSVMainz_5401,44,15,8,6,1,4,3,64,32,5,1,24,5,23,401,70
Hannover96_5401,54,15,11,4,3,7,1,66,34,1,4,17,5,21,514,77
SCFreiburg_5401,53,11,14,7,4,6,1,56,27,6,3,30,14,46,478,75
VfBStuttgart_5401,54,14,13,6,6,4,3,78,31,3,1,41,7,41,383,65
FCKoln_5401,37,11,5,2,2,3,1,41,20,2,1,47,8,19,326,64
Schalke_5401,45,21,7,3,3,0,1,59,34,4,1,24,7,23,384,72
HamburgerSV_5402,58,16,17,6,10,5,1,67,34,3,1,30,20,33,508,73
SCPaderborn07_5402,50,10,14,5,7,3,0,46,29,2,2,34,15,27,445,74
WerderBremen_5407,55,19,11,4,6,8,3,62,31,3,1,23,8,29,457,77
EintrachtFrankfurt_5408,52,17,21,13,5,3,5,59,30,5,3,47,14,22,413,69
Augsburg_5408,41,17,15,4,8,2,2,47,32,3,3,27,9,20,326,70
TSGHoffenheim_5408,56,14,19,5,12,6,2,57,29,1,2,44,11,28,476,77
HerthaBerlin_5408,44,15,15,6,7,4,0,82,37,3,2,30,9,29,316,60
BorussiaDortmund_5408,55,13,17,4,11,13,3,76,37,2,2,25,10,30,419,70
BayerLeverkusen_5408,54,8,24,7,9,8,1,62,33,1,8,39,12,27,416,72
VfLWolfsburg_5409,52,16,24,12,10,10,1,50,26,4,2,29,13,18,429,79
BorussiaMonchengladbach_5409,31,8,11,5,5,4,1,46,27,5,1,37,10,13,259,67
