,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Malaga_5708,55,19,25,5,13,7,3,22,6,2,7,16,7,19,371,79.78436657681941
RCDEspanyol_5709,33,19,4,2,1,5,2,29,20,3,1,34,7,21,267,66.29213483146067
DeportivoLaCoruna_5709,58,16,15,5,6,5,3,33,14,2,4,26,2,24,469,80
AtleticoMadrid_5709,58,11,14,3,8,4,2,38,12,1,3,21,11,24,614,84.36482084690553
RayoVallecano_5709,57,19,8,3,2,3,3,41,19,4,3,35,4,23,436,76.37614678899082
AthleticBilbao_5710,36,16,8,2,3,2,3,33,18,3,3,31,4,16,319,60.50156739811912
SportingGijon_5710,36,20,6,0,4,2,4,25,9,8,2,49,2,16,304,67.10526315789474
Levante_5710,37,12,11,2,5,4,1,28,11,4,2,15,7,21,254,69
RealBetis_5710,64,11,22,6,13,7,3,34,13,3,3,25,11,26,398,78.39195979899498
GranadaCF_5711,62,5,12,6,5,6,1,37,15,1,1,25,8,36,454,77.09251101321586
Villarreal_5715,58,10,14,4,8,2,1,33,15,1,2,32,9,22,466,79.39914163090128
RealSociedad_5716,58,10,12,1,9,6,4,31,11,2,2,18,9,22,505,82
FCBarcelona_5716,70,4,22,13,6,15,0,17,13,1,3,19,21,20,654,87.30886850152905
CeltaVigo_5716,60,7,11,7,1,5,3,25,9,0,3,27,5,21,672,85.71428571428571
RealMadrid_5716,66,12,21,11,6,11,3,11,9,1,4,23,9,24,630,90.63492063492063
Eibar_5717,47,14,9,8,0,11,2,47,29,1,1,29,7,19,358,67.59776536312849
Valencia_5717,54,13,12,5,3,5,4,37,24,2,4,19,6,37,394,75.63451776649747
Sevilla_5717,64,17,25,7,6,11,3,43,19,4,12,26,10,18,480,81.875
LasPalmas_5717,63,14,16,2,10,3,2,50,32,2,4,27,10,31,553,78.3001808318264
Getafe_5717,59,16,16,4,6,6,5,25,13,2,5,21,11,33,369,78.31978319783198
Levante_5729,51,12,14,4,7,5,3,46,18,2,3,19,8,25,404,77.97029702970298
RCDEspanyol_5730,53,19,14,3,6,5,2,15,5,2,5,23,6,14,479,88.10020876826722
SportingGijon_5730,41,16,16,8,4,5,3,41,16,2,4,34,5,21,380,70.52631578947368
AtleticoMadrid_5730,30,17,11,3,5,1,3,17,9,3,3,40,4,18,316,77.21518987341773
RealBetis_5730,49,12,9,2,6,2,6,28,10,3,1,20,3,18,313,70
GranadaCF_5731,52,16,13,2,7,8,2,20,14,2,4,21,12,29,375,78.13333333333334
AthleticBilbao_5731,54,12,14,6,6,12,1,45,28,2,2,29,8,28,435,77.01149425287356
CeltaVigo_5731,65,19,26,12,7,7,0,16,6,2,7,38,7,16,677,88.18316100443131
Malaga_5731,54,11,10,4,6,7,2,30,22,0,0,27,3,34,392,75.25510204081633
RayoVallecano_5732,64,12,8,2,4,5,2,40,16,5,2,13,5,39,551,81.30671506352087
Getafe_5736,48,18,10,4,5,4,5,27,16,3,1,20,5,25,297,69.36026936026936
RealMadrid_5737,67,9,20,10,8,10,1,12,6,3,2,40,13,31,607,87.47940691927512
Valencia_5737,65,17,22,5,7,7,4,22,9,1,10,22,7,20,526,86.88212927756653
Eibar_5737,40,13,9,3,3,1,2,29,15,4,3,36,8,22,452,72.12389380530973
RealSociedad_5737,48,15,10,3,7,7,2,31,13,3,0,23,11,23,396,80
Sevilla_5738,50,16,13,6,6,5,3,27,14,3,1,32,10,17,361,75.34626038781164
DeportivoLaCoruna_5738,63,11,19,9,5,8,3,28,11,1,5,34,6,34,497,79.27565392354124
Villarreal_5738,46,17,14,7,5,9,4,55,26,1,2,28,5,32,345,70.14492753623189
FCBarcelona_5738,70,8,21,8,8,4,0,19,10,3,5,21,13,16,672,89.28571428571429
LasPalmas_5738,49,13,8,2,6,3,3,55,27,4,0,28,6,33,384,66.14583333333333
AtleticoMadrid_5740,54,14,12,3,6,6,3,21,15,2,3,41,10,29,488,83.60655737704919
RCDEspanyol_5740,50,22,17,5,6,7,4,25,9,4,6,32,13,32,334,76.94610778443113
GranadaCF_5740,52,20,11,1,5,4,5,56,26,2,5,31,13,42,378,71.95767195767196
CeltaVigo_5741,43,19,18,5,8,5,2,24,10,6,5,41,13,18,377,76.657824933687
Levante_5741,59,13,12,2,6,4,2,37,17,2,4,22,14,36,450,76.44444444444444
RayoVallecano_5741,63,14,18,6,8,4,2,36,21,1,4,23,10,22,473,82.66384778012684
AthleticBilbao_5741,49,17,11,5,3,6,4,30,14,4,3,34,3,12,412,80.8252427184466
Malaga_5741,57,18,15,4,5,8,2,46,24,3,6,22,3,28,470,77.44680851063829
LasPalmas_5741,44,9,12,4,3,5,3,48,16,3,5,31,7,21,333,68.46846846846847
RealBetis_5742,57,11,9,2,7,3,3,33,15,1,0,26,10,22,495,78.38383838383838
Valencia_5743,46,19,12,5,7,11,3,29,11,3,0,39,15,27,315,77.77777777777777
FCBarcelona_5744,63,12,18,6,8,3,2,19,12,5,4,32,15,15,603,87.39635157545605
RealMadrid_5744,69,11,31,9,17,12,4,11,7,3,5,24,10,22,615,91.3821138211382
Sevilla_5744,50,9,17,8,5,6,1,29,15,3,4,24,5,25,384,77.34375
Villarreal_5744,47,11,5,2,2,1,2,31,15,4,1,31,3,22,508,79.33070866141732
Eibar_5744,36,25,10,3,2,4,5,40,18,1,5,36,6,16,295,58.644067796610166
SportingGijon_5745,55,11,19,10,5,10,1,38,19,3,4,38,13,20,499,83.56713426853707
DeportivoLaCoruna_5745,49,11,14,5,7,7,4,30,14,3,2,29,6,20,408,81.61764705882354
Getafe_5745,58,11,15,8,5,4,2,38,14,3,2,24,3,34,481,77.75467775467776
RealSociedad_5745,47,15,14,4,6,4,3,52,20,2,4,27,2,26,356,67
CeltaVigo_5750,69,11,18,7,8,9,1,35,19,2,3,33,10,17,539,79.96289424860854
Sevilla_5751,42,16,12,5,5,7,5,23,12,8,2,22,6,12,291,72.85223367697594
GranadaCF_5751,53,13,10,3,7,2,1,31,9,2,0,19,5,32,390,70.51282051282051
RCDEspanyol_5751,57,17,13,9,2,9,3,23,13,0,2,24,9,17,507,81.85404339250493
LasPalmas_5751,63,5,18,4,11,3,2,38,20,2,3,15,12,25,571,80.73555166374781
Malaga_5751,39,15,11,7,2,2,5,37,18,4,2,19,0,15,289,71
RayoVallecano_5752,67,13,23,9,11,8,4,33,17,4,3,24,4,35,525,81.71428571428571
AthleticBilbao_5752,54,12,16,7,5,11,0,25,13,3,4,39,2,23,424,79.24528301886792
Levante_5752,50,15,15,5,5,8,4,29,17,2,5,23,9,21,360,71.94444444444444
AtleticoMadrid_5752,49,19,18,4,7,5,6,33,20,1,7,33,14,23,469,82.94243070362474
RealMadrid_5765,55,8,20,6,11,4,1,28,13,5,2,27,15,13,552,89.1304347826087
Eibar_5765,41,16,14,4,7,2,3,38,23,4,3,35,6,30,319,67.08463949843261
