,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HullCity_6066,51,8,13,5,8,5,2,33,17,4,2,30,7,23,448,76
CrystalPalace_6066,53,12,5,2,3,3,2,41,21,2,3,34,8,21,415,72
Everton_6066,41,10,9,7,2,5,None,27,16,3,2,38,8,20,357,73
Burnley_6066,52,10,5,3,2,7,3,51,21,None,2,22,6,40,336,71
Middlesbrough_6066,49,18,7,2,5,9,3,49,21,0,4,33,10,20,353,74
Southampton_6066,61,8,4,3,1,6,1,25,9,0,8,21,10,25,579,85
ManchesterCity_6066,70,11,17,6,11,9,1,36,16,2,4,19,15,27,678,85
BournemouthAFC_6067,53,7,7,3,4,4,0,16,8,2,4,23,13,26,483,85
Arsenal_6067,49,13,8,4,4,5,3,38,23,3,1,32,8,25,485,79
Chelsea_6068,60,16,15,6,9,7,5,46,23,2,4,22,16,29,559,86
ManchesterUnited_6072,46,11,12,5,7,4,None,19,13,1,1,14,16,29,408,83
StokeCity_6073,42,12,8,3,5,7,3,43,21,2,2,34,14,28,364,73
SwanseaCity_6073,62,7,16,2,14,8,None,32,19,0,7,20,12,16,562,85
TottenhamHotspur_6073,51,19,16,4,12,10,3,22,14,1,6,42,10,18,441,80
Watford_6073,41,20,5,2,3,0,4,22,9,0,2,33,9,20,330,76
WestBromwich_6073,35,16,5,3,2,7,3,27,14,1,2,39,14,13,282,62
Burnley_6073,26,14,3,2,1,1,0,22,12,2,0,20,8,11,207,62
LeicesterCity_6073,46,11,4,0,4,2,1,39,16,1,5,44,5,27,360,72
SunderlandA.F.C_6074,51,11,19,6,13,8,1,35,18,1,7,23,21,27,401,77
WestHamUnited_6074,50,15,14,2,12,1,3,42,19,5,5,20,10,23,355,78
TottenhamHotspur_6080,49,11,11,4,5,5,3,19,14,2,2,25,11,27,420,73
Watford_6080,45,18,14,6,6,3,6,32,18,4,2,24,9,24,395,78
LeicesterCity_6080,53,14,13,6,5,4,2,36,20,2,2,29,9,28,409,75
Chelsea_6080,62,6,22,10,7,9,2,24,15,0,5,17,11,22,626,87
CrystalPalace_6080,54,15,24,5,12,10,3,30,22,2,7,24,14,21,447,85
Everton_6080,60,14,21,9,7,9,2,34,15,1,5,34,19,14,485,83
Southampton_6080,54,15,16,7,5,5,2,29,10,1,4,28,9,19,481,81
HullCity_6080,36,9,8,2,4,1,2,23,8,8,2,31,5,11,395,77
WestBromwich_6081,41,12,13,2,6,5,1,52,21,2,5,21,12,20,350,74
ManchesterCity_6081,67,5,22,5,10,5,1,37,15,1,7,35,18,25,587,87
ManchesterUnited_6094,40,15,14,3,6,4,4,36,22,4,5,35,16,16,376,75
Middlesbrough_6094,57,5,12,4,5,6,1,40,14,2,3,33,12,25,527,85
StokeCity_6094,40,13,15,2,6,10,3,34,19,4,7,31,9,21,327,72
Arsenal_6094,56,10,17,2,7,6,2,31,13,5,8,23,14,24,593,84
BournemouthAFC_6094,63,9,12,5,5,10,1,32,16,2,2,23,16,23,472,84
Burnley_6094,39,13,13,2,6,5,2,26,16,2,5,15,8,27,394,80
WestHamUnited_6094,57,10,19,4,11,4,2,31,16,4,4,21,10,30,441,86
Liverpool_6094,63,4,17,11,2,1,1,43,17,2,4,22,14,29,612,80
SwanseaCity_6095,45,17,6,2,2,1,3,32,14,5,2,27,5,24,399,79
SunderlandA.F.C_6096,33,11,11,2,1,5,1,15,10,6,8,21,12,12,286,73
Chelsea_6100,53,6,12,4,3,6,1,26,13,3,5,32,21,24,542,87
HullCity_6101,39,9,6,2,2,2,0,9,5,5,2,23,15,13,506,86
LeicesterCity_6101,59,10,14,6,3,7,0,43,18,2,5,19,9,34,517,76
ManchesterCity_6101,64,8,20,12,3,5,1,9,6,2,5,47,13,17,588,89
WestBromwich_6101,28,14,8,6,2,2,2,18,7,3,0,32,4,15,254,73
Everton_6101,52,5,11,6,4,6,2,38,17,0,1,27,20,16,541,84
Watford_6102,40,14,10,5,3,5,3,37,16,1,2,26,6,28,286,64
Southampton_6102,53,14,19,6,9,7,1,32,17,3,4,16,8,23,443,83
CrystalPalace_6102,56,15,14,8,2,10,2,40,19,3,4,32,17,18,466,82
TottenhamHotspur_6102,74,7,31,9,15,14,1,29,19,2,7,27,13,28,615,89
ManchesterUnited_6108,67,9,16,7,8,8,0,28,16,2,1,17,4,27,710,87
Middlesbrough_6108,41,14,6,2,2,2,2,31,15,3,2,49,8,22,389,73
StokeCity_6108,56,9,12,2,4,6,3,41,25,2,6,31,6,20,409,74
SunderlandA.F.C_6108,46,15,11,4,4,3,0,43,21,1,3,20,8,17,361,71
SwanseaCity_6108,42,15,13,5,8,2,2,22,11,1,0,31,13,16,388,77
BournemouthAFC_6108,53,10,12,1,7,5,2,25,12,2,4,26,9,26,421,80
Liverpool_6108,74,8,32,12,9,13,1,17,9,0,11,30,19,16,763,91
Arsenal_6108,50,9,14,5,5,9,0,28,11,2,4,28,11,20,534,82
WestHamUnited_6109,45,9,13,1,7,6,5,28,17,6,5,12,9,17,368,78
Burnley_6110,44,11,13,4,3,7,1,66,33,3,6,28,3,18,359,67
Everton_6114,56,16,13,3,6,10,5,45,23,1,4,32,15,28,401,75
SwanseaCity_6115,41,11,8,3,4,3,2,31,16,4,1,40,8,24,408,76
HullCity_6115,40,13,8,3,2,5,2,30,13,7,3,40,2,25,377,79
WestHamUnited_6115,40,13,19,2,4,4,2,37,16,2,6,15,10,28,318,77
Watford_6115,48,17,17,7,5,4,3,28,16,0,5,29,8,22,350,77
SunderlandA.F.C_6115,56,7,7,0,4,6,1,37,19,6,1,21,8,12,426,77
ManchesterUnited_6116,67,14,24,9,7,13,3,23,13,5,8,27,10,28,534,88
LeicesterCity_6116,38,9,9,1,5,3,1,39,18,5,3,20,5,20,395,73
TottenhamHotspur_6116,42,20,13,7,4,4,2,27,12,6,2,49,12,24,342,72
Burnley_6116,33,2,10,1,6,2,None,35,20,2,3,39,7,24,349,70
Chelsea_6129,55,6,16,6,6,8,1,37,21,0,4,24,16,25,550,83
ManchesterCity_6129,72,7,19,8,5,13,0,30,12,1,6,24,14,20,659,87
StokeCity_6129,56,10,18,6,4,6,1,26,15,1,8,24,8,16,480,82
WestBromwich_6129,28,14,8,4,3,5,2,21,8,7,1,32,9,17,230,61
Arsenal_6129,49,7,16,6,7,5,0,23,13,4,3,23,17,18,516,83
BournemouthAFC_6129,50,8,22,10,5,5,0,14,8,3,7,17,11,10,459,88
CrystalPalace_6129,56,12,12,3,8,7,1,42,22,3,1,19,5,29,406,75
Middlesbrough_6130,64,15,10,3,7,4,4,30,12,1,0,28,8,25,468,83
Southampton_6130,64,11,34,14,9,8,1,49,22,0,11,9,10,23,551,85
Liverpool_6131,65,14,9,3,3,3,0,42,10,1,3,37,10,26,623,81
BournemouthAFC_6136,38,10,8,1,3,7,2,11,7,4,4,33,9,19,323,72
Burnley_6136,34,16,9,3,4,2,2,41,17,7,2,26,1,19,286,67
SwanseaCity_6136,54,15,11,5,3,7,2,35,20,2,3,20,7,16,444,79
WestHamUnited_6136,65,10,20,3,9,6,2,19,13,2,8,19,17,25,543,87
Arsenal_6136,75,6,9,5,3,8,1,49,24,4,1,15,14,26,707,85
HullCity_6136,49,16,9,2,6,5,2,35,16,4,1,26,4,28,447,82
LeicesterCity_6136,45,10,17,4,8,8,None,34,17,6,5,34,10,16,400,74
Liverpool_6136,68,9,21,7,7,3,1,49,31,0,7,22,7,19,668,84
ManchesterCity_6137,65,11,14,3,7,10,3,32,17,1,4,27,16,28,585,84
Chelsea_6137,44,7,14,6,3,5,3,18,8,5,5,26,12,16,448,81
SunderlandA.F.C_6143,34,9,3,1,1,0,4,30,12,3,1,29,8,18,299,72
TottenhamHotspur_6143,61,11,22,5,11,8,3,42,30,0,6,15,13,36,496,82
Watford_6143,59,13,22,2,15,7,1,37,22,2,7,16,7,20,474,79
WestBromwich_6143,32,17,8,1,7,1,4,18,8,4,1,23,9,12,277,79
ManchesterUnited_6143,64,12,36,11,8,19,3,41,19,1,18,12,14,25,638,89
Middlesbrough_6143,40,7,11,3,6,4,2,26,10,3,2,46,13,20,358,76
CrystalPalace_6143,51,15,7,6,1,3,1,47,31,6,0,36,9,30,415,72
Everton_6144,47,15,17,6,4,8,2,22,13,3,7,25,13,8,407,82
Southampton_6144,63,13,9,1,5,7,None,33,18,5,3,36,9,24,485,84
StokeCity_6145,46,7,17,5,12,6,2,47,19,5,5,25,9,27,362,74
BournemouthAFC_6150,70,14,22,7,10,12,3,22,6,2,5,24,16,17,534,87
Burnley_6150,38,11,14,7,6,4,1,46,20,3,1,39,4,15,324,65
ManchesterCity_6150,71,7,25,7,11,8,1,31,17,2,7,32,17,23,631,87
WestHamUnited_6150,57,11,9,2,6,6,4,41,20,3,1,18,14,24,497,83
Chelsea_6150,60,5,21,9,5,4,0,25,9,0,7,32,18,19,686,90
Arsenal_6151,46,11,15,2,9,7,1,36,20,2,4,35,5,20,431,70
HullCity_6151,34,13,6,2,4,1,0,40,15,6,0,21,5,17,319,71
Liverpool_6151,60,14,28,17,9,6,1,33,14,7,2,34,6,21,563,79
SwanseaCity_6151,37,9,6,1,2,2,0,26,10,None,3,29,9,22,449,82
LeicesterCity_6151,59,8,5,2,3,5,0,59,23,3,0,24,14,30,520,73
ManchesterUnited_6164,45,14,12,5,5,10,3,34,11,0,2,30,11,30,444,80
Watford_6164,45,12,10,3,7,4,2,51,29,1,0,26,11,27,341,65
Southampton_6164,35,8,3,0,2,1,1,42,24,2,1,37,13,25,371,66
StokeCity_6164,51,17,14,6,5,3,3,49,28,1,3,33,16,29,364,72
SunderlandA.F.C_6164,42,9,11,4,3,2,3,28,21,7,4,19,6,19,375,79
CrystalPalace_6164,38,12,9,2,4,2,1,39,19,2,3,39,11,23,274,58
Everton_6164,62,13,14,6,6,10,5,29,21,2,2,19,13,30,490,78
TottenhamHotspur_6164,67,13,14,6,4,4,3,23,10,1,4,29,11,26,595,85
Middlesbrough_6165,42,13,12,1,7,2,2,25,13,2,4,30,15,14,450,81
WestBromwich_6166,45,12,16,6,8,4,None,54,26,2,2,12,8,23,401,78
Burnley_6171,33,8,10,5,0,5,2,55,23,3,5,14,5,19,267,54
SwanseaCity_6171,56,12,18,9,7,10,4,53,20,1,2,28,8,17,376,78
HullCity_6171,53,7,10,4,4,2,3,40,17,1,2,19,2,13,489,80
LeicesterCity_6171,41,15,11,3,6,2,4,51,23,0,2,27,10,31,331,64
Liverpool_6171,78,5,27,7,13,9,1,31,10,1,7,23,8,16,705,87
Chelsea_6171,46,13,9,5,3,3,2,32,13,5,1,39,7,21,388,77
Watford_6172,50,24,6,3,3,3,5,46,18,1,1,26,12,23,356,70
Arsenal_6172,52,12,13,4,9,3,3,28,14,2,6,39,11,22,467,82
ManchesterUnited_6172,68,16,19,8,11,8,3,36,26,1,2,26,9,25,612,88
Southampton_6172,53,11,16,7,9,5,0,42,19,1,3,32,13,18,462,79
ManchesterCity_6178,61,14,16,6,7,9,2,19,13,1,2,28,9,22,541,84
CrystalPalace_6178,42,11,9,4,3,4,3,45,22,3,2,43,5,27,349,71
StokeCity_6178,56,7,13,6,3,4,3,51,25,4,3,21,11,21,456,78
SunderlandA.F.C_6178,53,8,23,7,9,3,3,26,11,4,7,21,18,22,409,78
TottenhamHotspur_6178,60,11,28,15,7,5,0,25,14,0,6,22,18,25,577,85
WestBromwich_6178,41,12,11,3,8,3,2,46,28,4,0,17,8,21,301,60
WestHamUnited_6178,50,10,11,3,5,3,3,30,10,5,2,30,4,20,491,80
BournemouthAFC_6179,40,9,11,7,2,4,2,25,14,0,2,31,11,18,375,80
Everton_6179,45,13,13,6,4,6,2,48,21,1,3,31,11,24,379,68
Middlesbrough_6180,61,6,16,4,5,13,1,37,21,2,7,28,9,10,602,87
Watford_6185,47,11,11,6,4,2,2,44,23,2,1,24,14,25,355,73
HullCity_6185,56,16,15,6,7,4,2,41,22,3,2,29,6,25,447,79
